title,link,description,bloggername,bloggerlink,postdate
경기스마트<b>미디어</b>센터 <b>1인 미디어</b> <b>제작</b>실습 특강! 유튜버가... ,https://blog.naver.com/hope_city?Redirect=Log&logNo=221734393160,"대상으로 <b>1인 미디어</b> <b>제작</b>실습 특강을 진행했습니다. 교육은 다음과 같은 일정으로 진행됩니다. 이번... 이 밖에도 경기스마트<b>미디어</b>센터는 <b>1인</b> 방송, OTT 분야 특화센터로서 경기북부지역 벤처기업의 창업... ",의정부시 공식 블로그,https://blog.naver.com/hope_city,20191213
SNS부터 동영상 <b>제작</b>까지! 장애인 창업교육 '<b>1인 미디어</b>커머스... ,https://blog.naver.com/ocublog?Redirect=Log&logNo=222188173173,"<b>1인 미디어</b>커머스 크리에이터 양성과정에서 이틀 정도는 창업에 관련된 마인드셋, 성공사례, 정부 창업지원 프로그램 등 전반적인 창업 로드맵을 전해드리고, <b>미디어</b> 커머스에 관련된 실질적인 교육은 나머지... ",200만이 선택한 한국열린사이버대학교,https://blog.naver.com/ocublog,20201228
"홍소정] <b>1인 미디어</b> 시대, 크포TV와 한국삼촌이 콘텐츠 <b>제작</b>... ",https://blog.naver.com/seoulsba?Redirect=Log&logNo=222142313884,"라이브 방송이 진행된 곳은 <b>미디어</b>콘텐츠센터 내 위치한 <b>1인 미디어</b> 스튜디오입니다. <b>1인 미디어</b> 스튜디오를 간단하게 소개해드리자면 사진과 같이 6개의 스튜디오, 소품 창고, 대기실, 편집실로 구성되어... ",SBA,https://blog.naver.com/seoulsba,20201112
2020년 농업인 <b>1인 미디어</b> <b>제작</b> ㆍ 활용 심화 교육생 모집,https://blog.naver.com/geochanggun?Redirect=Log&logNo=221945465376,e-비즈니스 리더 양성 교육으로 농업인의 전자상거래 경영 기술 확산과 농업인 <b>1인 미디어</b> <b>제작</b> 심화교육을 통해 농업인 마케팅 능력을 향상하고자 그 목적을 가지고 있습니다. 1. 모집개요 가.... ,거창한거창,https://blog.naver.com/geochanggun,20200504
&lt;2020년 <b>1인 미디어</b> 오리지널 콘텐츠 <b>제작</b>지원 사업&gt; 안내,https://blog.naver.com/we_are_youth?Redirect=Log&logNo=221845194784,가능 - <b>1인미디어</b>콘텐츠창작자(940306) / <b>미디어</b>콘텐츠창작업(921505) ※ 홈택스에 공인인증서 로그인하여 사업자등록사항 화면 스크린샷 첨부 : 기존 동영상 플랫폼에 유통되지 않은 오리지널 콘텐츠 - <b>제작</b>... ,청년정책사용설명서,https://blog.naver.com/we_are_youth,20200309
"SBS 모바일 <b>제작</b>팀, 모비딕 잇의 옥성아 PD님의 <b>1인 미디어</b> 특강",https://blog.naver.com/seoularts_kr?Redirect=Log&logNo=221658779034,"쎈마이웨이,숏터뷰,99초 등 SBS 모바일 <b>제작</b>팀, 모비딕 잇의 옥성아 PD님의 <b>1인 미디어</b> 특강 안녕하세요... 특히나, 서울예술대학교 방송영상과 학생들은 <b>미디어</b> 쪽과 밀접한 관련이 있기에 더욱더 기대가 되는... ",서울예술대학교 공식블로그,https://blog.naver.com/seoularts_kr,20190925
과기부 <b>1인 미디어</b> 오리지널 콘텐츠 <b>제작</b>지원 사업 공고,https://blog.naver.com/dysnomia?Redirect=Log&logNo=221831407814,"가능 - <b>1인미디어</b>콘텐츠창작자(940306), <b>미디어</b>콘텐츠창작업(921505) - 홈택스에 로그인해서 사업자등록사항 화면 스크린샷 첨부 필요 * 기존 동영상 플랫폼에 유통되지 않은 오리지널 콘텐츠 - <b>제작</b> 지원금의 10... ",EMTI,https://blog.naver.com/dysnomia,20200312
정윤수 농부 강사의 농업인 <b>1인 미디어</b> <b>제작</b> 활용 심화교육,https://blog.naver.com/dosim189?Redirect=Log&logNo=222003131540,위해서는 시대의 조류를 무시할 수 없기에 농장을 두고 교육장을 찾는 이유입니다. 농사짓는 농부의 진솔한 모습을 동영상으로 잘 만들어보겠습니다 #정윤수강사 #농부강사 #<b>1인미디어</b><b>제작</b>활용교육 #<b>미디어</b>교육,"윤농부, 오지산골 농부로 살아가는 이야기",https://blog.naver.com/dosim189,20200616
"<b>1인 미디어</b> 컨텐츠<b>제작</b>교육, 각종 <b>미디어</b>교육 및 장비대여... ",https://blog.naver.com/majoongna?Redirect=Log&logNo=222433772252,요즘 <b>1인미디어</b> 컨텐츠 <b>제작</b>에 관하여 관심이 폭발하고 또한 <b>미디어</b> 컨텐츠 <b>제작</b>에 관한 장비와 기술이 발전함에 따라 쉬운 <b>미디어</b> <b>제작</b> 기술로 인해 더욱 <b>1인미디어</b> 서비스를 준비하는 분들이 상당히 많을... ,슈퍼드라이버,https://blog.naver.com/majoongna,20210716
<b>1인미디어</b> <b>제작</b>스튜디오... 이용한 <b>1인</b> 콘텐츠 <b>제작</b>... ,https://blog.naver.com/xenoglobal?Redirect=Log&logNo=222294980615,동서대학교 산학협력관 5516 Media Production Studio <b>1인 미디어</b><b>제작</b> 스튜디오 동서대학교는 비대면 영상... AnyStudio는 소형스튜디오에서 교수자 <b>1인</b>/셀프로 콘텐츠를 <b>제작</b>할 수 있는 시스템이고 필요할 경우... ,XENOGlobal,https://blog.naver.com/xenoglobal,20210401
