title,link,description,bloggername,bloggerlink,postdate
2019서울도시<b>건축</b>비엔날레 <b>전시회</b><b>관람</b> 일상 후기,https://blog.naver.com/jjurinii?Redirect=Log&logNo=221662199490,"이번에 서울에서 개최되는 2019 서울도시<b>건축</b>비엔날레의 소식을 듣고 9월 27일 금요일에 휴가까지 써서 서울도시<b>건축</b>비엔날레 <b>전시회</b> <b>관람</b>을 다녀왔다. 하지만, 휴가를 써가며 기대했던 것에 비해 후기는 짧다.... ",프린세쮸 다이어리,https://blog.naver.com/jjurinii,20190928
김해 클레이아크 미술관 <b>전시회</b> <b>관람</b> - 세계 최초 <b>건축</b>도자... ,https://blog.naver.com/polipoli37?Redirect=Log&logNo=221732445175,"클레이아크는 흙 clay와 <b>건축</b> architecture의 상호 협력을 의미하는 합성어라고 한다. 입장권을 구입하고 입구에 들어서니, 관계자분이 <b>관람</b>하는 동선을 설명해 주셨다. 안으로 들어서자 커다란 트리가 눈길을... ",나의 프로방스,https://blog.naver.com/polipoli37,20191210
DDP서울도시<b>건축</b>비엔날레 <b>전시회</b> <b>관람</b>,https://blog.naver.com/gudrb0318?Redirect=Log&logNo=221691130749,올라가시면 <b>전시회</b>가 시작됩니다 일단 입장을 하게되면 내리막길을 따라 쭉 걸어요 그럼 벽에 전시된 작품들을 <b>관람</b>하시며 가면되요 그럼 처음 들어왓던 입구로 돌아가게 된답니다 저걸 하나하나 자르고... ,행그님의블로그,https://blog.naver.com/gudrb0318,20191028
국내최대 <b>건축</b> 전문<b>전시회</b> '코리아빌드' 지금 무료<b>관람</b>... ,https://blog.naver.com/daitra?Redirect=Log&logNo=222010914808,국내 최대 <b>건축</b> 전문<b>전시회</b> '코리아빌드' 무료<b>관람</b> 신청 신청하기 : http://iryan.kr/t6b55buimf ※ 소문내기 활동을 통해 해당 광고업체로부터 경제적 대가를 받을수있습니다.,열려라 참깨!,https://blog.naver.com/daitra,20200624
<b>관람</b> [Web발신] (광고)국내 최대 건설/<b>건축</b>/인테리어 <b>전시회</b>... ,https://blog.naver.com/hjoo3737?Redirect=Log&logNo=222254760882,홈페이지: https://bit.ly/3dH7tkY 제목 국내 최대 건설/<b>건축</b>박람회 무료<b>관람</b> [Web발신] (광고)국내 최대 건설/<b>건축</b>/인테리어 <b>전시회</b> ‘2021 코리아빌드’ 사전등록 오픈! 무료<b>관람</b>과 다양한 혜택을 놓치지... ,보물섬 블로그,https://blog.naver.com/hjoo3737,20210224
한국<b>건축</b>산업 대전 2019/코엑스<b>전시회</b>/무료<b>관람</b>,https://blog.naver.com/gonggan-eroom?Redirect=Log&logNo=221708881250,코엑스에서 열리는 <b>전시회</b> 정보를 알려드립니다. 대한 <b>건축</b>사협회에서 주최하는... 전시 <b>관람</b>을 희망하는 분들은 사전등록 기간이 3일 남았으니 빨리 사전등록 신청하셔서 무료 <b>관람</b>하세요-!,청주인테리어 공간이룸,https://blog.naver.com/gonggan-eroom,20191115
"대구홈리빙페어:홈리빙&amp;생활용품<b>전시회</b>, <b>건축</b>인테리어<b>전시회</b>... ",https://blog.naver.com/hunimoya?Redirect=Log&logNo=222396110695,펫쇼는 동관 제1전시장에서 다른 3개의 <b>전시회</b>는 서관 제2전시장에서 <b>관람</b>했어요. 대구 <b>건축</b> 인테리어 <b>전시회</b>와 대구 홈리빙&amp;생활용품 <b>전시회</b>는 같은 홀이라 한번 입장하면 다 볼수 있어요. 부스 배치도 입니다.... ,아라비카 커피향기의 컬쳐홀릭,https://blog.naver.com/hunimoya,20210613
대구 <b>건축</b> 인테리어 <b>전시회</b> 박람회 행사 소개드려요,https://blog.naver.com/dodreamdi?Redirect=Log&logNo=222394098682,인테리어에 관심이 있으신 분들은 한 번쯤 요런 대구 <b>건축</b> 인테리어 <b>전시회</b> <b>관람</b>해보시면 좋을 것 같습니다. 도움이 되는 포스팅이었길 바라며 오늘 글은 여기에서 이만 줄이도록 할게요. (*해당 포스팅은... ,두드림인테리어,https://blog.naver.com/dodreamdi,20210611
[배재대/꿀팁]<b>건축</b>디자인 <b>전시회</b> 안내:D,https://blog.naver.com/paichaiuniv?Redirect=Log&logNo=222438095504,"있는 <b>전시회</b>들을 소개해드릴게요!! MBC <b>건축</b>박람회 동아전람 첫 번째로 동아전람에서 주최하는 MBC... 현장 매표 시 10,000원인데요 동아전람 홈페이지에서 무료 <b>관람</b> 신청을 할 수 있다고 합니다! &amp; &amp; &amp; &gt; &gt; 환영... ",최초에서 최고로! 배재대학교 공식블로그,https://blog.naver.com/paichaiuniv,20210720
뮤지엄 오브 컬러63 서울 미술<b>전시회</b> <b>관람</b> &amp; 빌딩 전망대 뷰,https://blog.naver.com/stiusworld?Redirect=Log&logNo=222415932879,오늘은 서울 미술<b>전시회</b> 소개를 해볼까 해요. 바로 뮤지엄 오브 컬러63 라는 <b>전시회</b> 인데요. 이름에서... 작품 <b>관람</b>하는 포만감이 더 풍만했습니다. 참고로 이곳은 레인보우 주제로 다양한 <b>건축</b> 요소를 표현한... ,"여행, 맛집, 방탈출을 즐기는 한 남자의 이야기",https://blog.naver.com/stiusworld,20210701
제주 <b>전시회</b> <b>관람</b> 후기 소암기념관 &lt;섬을 사랑한 예술가들&gt;,https://blog.naver.com/xmkc9664?Redirect=Log&logNo=222410566650,"&lt;소암 선생상 - 강요배&gt; 2017 장지에 목탄, 142x74 본관으로 돌아와서 제주 <b>전시회</b> <b>관람</b>을 시작했어요. 시작부터 강렬한 그림이 눈길을 사로잡았어요. 목탄의 느낌이 좋아서 사진으로 담아보려 했지만 잘 담지... ",인생 1회차,https://blog.naver.com/xmkc9664,20210626
"요시고 사진전 후기 (웨이팅 시간, <b>전시회</b> <b>관람</b> 꿀팁, 포토매틱... ",https://blog.naver.com/zomerrr?Redirect=Log&logNo=222411124043,함께하니 <b>전시회</b> <b>관람</b>이 더 풍부해져서 좋았다 국내뿐만 아니라 해외 전시에서도 한국어 가이드가 지원되니 다들 참고하세요 배우님 목소리가 너무 좋아서...... 계속 들었다 요시고 사진전은 <b>건축</b>... ,off the wall,https://blog.naver.com/zomerrr,20210626
"로마 이전, 에트루리아 <b>전시회</b> <b>관람</b> in 국립중앙박물관",https://blog.naver.com/minadie?Redirect=Log&logNo=221677885678,"그리고 한글 박물관 이야기는 따로 포스팅하기로 하고 오히려 요 로마 이전, 에트루리아 <b>전시회</b> <b>관람</b>에... 신전 <b>건축</b>은 흔적이 거의 남아있지 않은데요 건물의 기단 외엔 풍화되기 쉬운 재료로 만들어졌기... ",♡행복한 꼬마하늘♡,https://blog.naver.com/minadie,20191015
[<b>전시회</b><b>관람</b>] 서울시립미술관 서소문본관 SeMA (21.03.14),https://blog.naver.com/3768446?Redirect=Log&logNo=222283539605,오랜만에 <b>전시회</b>에 다녀왔다. 서울시립미술관 서소문본관 14일 예약 천경자 화백의 작품이 특히... 르네상스풍의 옛 대법원 파사드와 현대<b>건축</b>이 조화를 이룬 곳이다. SeMA 서소문본관 소개글 중에서... ,inmymind,https://blog.naver.com/3768446,20210322
[정보/<b>건축</b>박람회] 일산... 2021 코리아빌드 무료로 <b>관람</b>하세요-,https://blog.naver.com/lady621?Redirect=Log&logNo=222274972731,"빌드 <b>관람</b>포인트는!! 01. 국내 최대 스케일의 건설,<b>건축</b>,인테리어 박람회 국내외 우수 <b>건축</b> 기술 및 내외장재 전문 기업 약950개사, 2800부스가 참가하는 큰규모의 전문 <b>전시회</b>에요 02. 집에 대한 모든 것이... ",소소니의 기록 공간 ♬,https://blog.naver.com/lady621,20210314
일산 킨텍스 <b>전시회</b> 일정 MBC <b>건축</b>박람회 다녀옴,https://blog.naver.com/materialz?Redirect=Log&logNo=221627161231,미리 예약을 했으면 무료 <b>관람</b>이 가능했을텐데 킨텍스 <b>전시회</b> 일정을 늦게 봐서 만원씩 입장료를 내고 갔다. 입장료 만원으로 MBC <b>건축</b>박람회와 동아전람 이라는 곳에서 함께 주최하는 기타 잡다한 <b>전시회</b>까지... ,개념은 안드로메다로...,https://blog.naver.com/materialz,20190824
2020년 농촌<b>건축</b>대전&amp;농촌계획대전 온라인 <b>전시회</b>를... ,https://blog.naver.com/mifaffgov?Redirect=Log&logNo=222131275248,"kr ▼<b>건축</b>대전 온라인전시▼ ▼계획대전 온라인전시▼ <b>전시회</b> <b>관람</b> 이벤트 1. 공모전 퀴즈 이벤트 - 참여방법 : 전시 <b>관람</b> 후 ’메뉴-이벤트‘에서 퀴즈 참여 * 문항내용 : 공모전 주제, 공모대상지역 등 3... ",새농이의 농림축산식품 이야기,https://blog.naver.com/mifaffgov,20201101
킨텍스 <b>전시회</b> / 동아전람 킨텍스 박람회 개막 첫날 - MBC <b>건축</b>... ,https://blog.naver.com/lyu1388?Redirect=Log&logNo=222341122485,주로 MBC <b>건축</b>박람회가 주축이 돼오던 것과는 달리 이번 박람회는 9개 박람회를 한꺼번에 묶어서 동시에... 이번 일산 킨텍스 <b>전시회</b>를 <b>관람</b>하기 위해서는 모든 전시장을 돌아본다기보다는 입장하기 전 내가... ,재학이여정,https://blog.naver.com/lyu1388,20210507
[김포아트빌리지] 아트센터 <b>전시회</b> &lt;다시만날세계&gt; 무료<b>관람</b>,https://blog.naver.com/0307khy?Redirect=Log&logNo=222359325406,ㅎㅎ 삼남매 데려간 보람이 여러모로 있었습니다 전시 <b>관람</b>후 씽씽카 좀 타다가 집으로 왔어요~~ 여기 뒤로 한옥마을도 있다고 해요 다음엔 거기도 꼭 가봐야겠죠!? 김포 아이랑 가볍게 다녀오기 좋았던 <b>전시회</b>... ,그녀가 그리는 하루,https://blog.naver.com/0307khy,20210521
"대구리빙페어:대구홈리빙&amp;생활용품<b>전시회</b>,<b>건축</b>인테리어<b>전시회</b>... ",https://blog.naver.com/hunimoya?Redirect=Log&logNo=222389340247,13 대구엑스코 동관 대구엑스코와 부산 벡스코에서도 하는 <b>건축</b>인테리어<b>전시회</b> 전시품목 내 외부 인테리어에 대한 품목들이 많아요. <b>관람</b>안내 사전등록은 행사 1주일전까지라서 마감되었더라구요 국제 차... ,아라비카 커피향기의 컬쳐홀릭,https://blog.naver.com/hunimoya,20210608
<b>전시회</b> 추천_용인 기흥... 디지털명화전! 첫째와 <b>관람</b>했어요,https://blog.naver.com/junioryj?Redirect=Log&logNo=222251797135,"마지막으로 <b>건축</b>의 설계, 벽화, 스테인 글라스등 모두 자신의 구상에 의한 로제드 드 방스 성당을... 좋은 <b>전시회</b>라서 <b>관람</b> 추천해드려요 아이뮤지엄 디지털명화 [색채의 마술사 : 앙리마티스] 전시기간 : 2020.11.... ",달콤제인 삼남매사랑방,https://blog.naver.com/junioryj,20210222
대구입시미술학원 근대 <b>건축</b> 드로잉화 <b>전시회</b> 참관 러시,https://blog.naver.com/edu-naeil?Redirect=Log&logNo=222388035115,"시민의 근대 <b>건축</b>에 대한 인식을 제고할 수 있는 이번 <b>전시회</b>의 <b>관람</b> 시간은 평일은 오전 10시부터 오후 6시까지, 주말은 오전 10시부터 오후 5시까지이다. 전시는 누구나 <b>관람</b> 가능하며, 동부도서관... ",에듀 내일,https://blog.naver.com/edu-naeil,20210607
제주 서귀포 가볼만한곳 이중섭미술관에서 <b>전시회</b> <b>관람</b>하기,https://blog.naver.com/chungha66?Redirect=Log&logNo=222282251348,이중섭미술관은 곡선 형태의 <b>건축</b>물이라 미술전시관으로는 전시하는 데 어려움이 있는 곳입니다. 이번 전시물은 제가 그동안 이중섭미술관에서 본 다른 <b>전시회</b> 보다 저의 취향에 맞는 그림들이 많아서 저는... ,놀멍쉬멍 제주이야기 green,https://blog.naver.com/chungha66,20210418
대구 <b>건축</b>인테리어 <b>전시회</b> &amp; 홈리빙 생활용품 <b>전시회</b> 일정 !,https://blog.naver.com/aymdawn?Redirect=Log&logNo=222387629317,파악하고 <b>건축</b>관련 정보를 얻고 싶으신 분이라면 놓칠 수 없는 <b>전시회</b>!  <b>관람</b> 일정은 상/하로 나뉘어져 2021년 하반기에만 두 번 개최됩니다  대구(상) 2021.06.10(목)~6.14(일) 대구(하) 2021.10.21(목)~10.24(일) 또한... ,집꾸미기 하자고,https://blog.naver.com/aymdawn,20210607
■ 일산 킨텍스 <b>건축</b><b>전시회</b><b>관람</b> - 36회 MBC<b>건축</b>박람회... ,https://blog.naver.com/sstsms?Redirect=Log&logNo=220107702868,■ 일산 킨텍스 <b>건축</b><b>전시회</b><b>관람</b> - 36회 MBC<b>건축</b>박람회 전시장의 모습들 여러 가지 아이디어들을 찾으러 <b>건축</b><b>전시회</b>는 종종 들리는 편이지만 일산 킨텍스 <b>전시회</b>는 찾아볼 기회가 좀처럼 나지 않았는데 마침... ,꿈많은 초보농군의 역사유산과 전원생활이야기,https://blog.naver.com/sstsms,20140829
