title,link,description,bloggername,bloggerlink,postdate
<b>검도</b>동호회 정기훈련 (신규멤버합류와 게스트<b>참여</b>),https://blog.naver.com/shoushou5?Redirect=Log&logNo=222407004164,이날은 합동연무 후 동호회 회칙도 정하고 앞으로 우리가 어떤방향으로 갈지 많은 이야기도 나눴는데요~ 부산의 <b>검도</b>동호회 하면 신켄! 이 떠오르는 날까지 열검하겠습니다 <b>참여</b>하실분은 언제든지 문의주세요~,해심검도관,https://blog.naver.com/shoushou5,20210623
문정해동<b>검도</b> 제6회 해동<b>검도</b>          서울시협회장배 대회 <b>참여</b>,https://blog.naver.com/gumdosan?Redirect=Log&logNo=221678094979,ㅋ 자원봉사자분들과 함께 저의제자 시각장애인 <b>검도</b> 동호회 회원분들의 안마봉사단~^^ 대회운영진 대회전날 새벽까지 대회준비하고 현수막치고 각자 집으로 가는길에~^^ #송파체육입시 #해동<b>검도</b>... ,송파문정 해동검도,https://blog.naver.com/gumdosan,20191015
"힘들지만 재미있는 수련, <b>검도</b>",https://blog.naver.com/umkumdo?Redirect=Log&logNo=221904777244,수련에 <b>참여</b>하시라는 관장님의 적극적인 태도(?)에 또 한 번 감동하게 되었습니다. 하지만 그날은 선약이 있어서 어쩔 수 없이 다음날부터 수련을 하게 되었지만요. [역시 힘든 운동]15년 만에 다시 시작한 <b>검도</b>는... ,ONE 도장,https://blog.naver.com/umkumdo,20200412
2019 어르신 <b>검도</b>교실 대회 및 페스티발,https://blog.naver.com/sekenshoji?Redirect=Log&logNo=221587255520,jpg 대구 남구 대덕노인복지관의 강당 <b>검도</b>장에서도 많은 어르신들이 <b>검도</b>교육에 <b>참여</b>하고 계시고 2016년 전국 어르신<b>검도</b>대회에서 대덕복지관 어르신팀이 입상을 하시기도 했습니다.... ,세현상사 SEHYUN KEN-DO,https://blog.naver.com/sekenshoji,20190716
인천장애인<b>검도</b>동호인생활체육대회…170여명 <b>참여</b>,https://blog.naver.com/handicapinews?Redirect=Log&logNo=221586062416,또한 장애인과 비장애인에게 <b>검도</b>대회에 <b>참여</b>할 수 있는 기회를 제공해 지속적인 생활체육 <b>참여</b>율을 높이도록 했다. 인천시장애인<b>검도</b>회 이보영 회장은 “단순한 기술의 습득보다는 무도인으로서 예의와... ,장애인생활신문 블로그,https://blog.naver.com/handicapinews,20190715
[<b>검도</b>회보(117호)-승단기(5단부)]마음의 병을 고치다/전서연(5단),https://blog.naver.com/hanulkum?Redirect=Log&logNo=222108937922,"사범 연수에 <b>참여</b>하여 여성사범님들의 열정도 느끼고, 시합에 출전하여 서로 격려와 응원을 주고받으며 입상도 하고, 심판법, 조선세법 등 시험에 도전하면서 삶의 에너지를 얻었습니다. 예전에는 <b>검도</b>수련... ",구름바라기2,https://blog.naver.com/hanulkum,20201007
<b>검도</b>시합(<b>검도</b>대회)은 어떻게 참가하나요,https://blog.naver.com/sskumdo_1993?Redirect=Log&logNo=222049061691,"기본은 자치구 소속 도장에 소속된 <b>검도</b>인이 <b>참여</b>를 하는 것이지만 간혹 타 구 소속 도장의 검우들을 초청하거나, 희망하는 검우 누구나 시합에 참가할 수 있도록 운영하는 등 참가자격은 자치구별로 자유롭게... ",대한검도회 성심검도관,https://blog.naver.com/sskumdo_1993,20200804
"익산시, 학교밖청소년 ‘<b>검도</b> 체험 기회’ 제공",https://blog.naver.com/hiksanin?Redirect=Log&logNo=222233435748,이번 프로그램은 대한체육회가 주최·대한<b>검도</b>회가 주관하는 사업으로 학교밖청소년지원센터에 소속된 청소년들 대상으로 <b>검도</b> 수련 <b>참여</b>의 기회를 제공하고 건전한 여가활동을 보장하기 위해 마련됐다.... ,익산시 공식 블로그,https://blog.naver.com/hiksanin,20210205
(9세) 성북구청 어린이 <b>검도</b>체험교실,https://blog.naver.com/kke1119?Redirect=Log&logNo=221773346213,"이번엔 <b>검도</b>체험교실도 생겼고, 마침 시간도 비어 <b>참여</b>. 성북구청 <b>검도</b>팀은 처음이라서 아이들이 <b>검도</b>이론 듣는 동안 잽싸게 검색해보니 지난해 상반기에 창단되어 채 1년이 안 되었으니 생소했던 것이었다.... ",삼식군,https://blog.naver.com/kke1119,20200116
[동아리 인터뷰] <b>검도</b> 동아리 '검우회'를 만나다!,https://blog.naver.com/mymnu?Redirect=Log&logNo=222108423407,마침 학교에 <b>검도</b> 동아리가 있다는 것을 알게 되어 가입하였고 <b>검도</b>가 재미있어서 열심히 활동에 <b>참여</b>하다 보니 현재 검우회 회장직을 맡게 되었습니다. 4.운동 일정은 어떻게 되나요? 운동 장소는 어딘가요?... ,국립목포대학교 공식 블로그,https://blog.naver.com/mymnu,20201006
2019.6.16. 성북구회장기 <b>검도</b>대회,https://blog.naver.com/soulbird?Redirect=Log&logNo=221572435060,거의 8년 만의 <b>검도</b>시합 <b>참여</b>가 맞구나. 상대의 검력이 글지 않아 보이고 나의 그 동안의 공백은 너무 컸고 수련량이 부족했고 나이 들었고 자세는 나빠졌고. 나머지 두 경기가 더 있으나 이것만 올려야겠다.... ,즐거운 상상가 부지런한 활동가 : captain jake,https://blog.naver.com/soulbird,20190627
<b>검도</b>지도자 강습회 참가 하다.,https://blog.naver.com/saulabi3?Redirect=Log&logNo=222365360535,대한<b>검도</b>회 새로운 집행부가 들어서면서 심사 규정과 강습회 내용도 대폭 수정이 되었다. 이미... 강습회 시작시 서병윤 선생님께서 이 어려운 <b>검도</b>를 지금까지 10년 20년 30년이상 해오신 여러분들과 나는 모두... ,힐링이 필요할때 검도 한판!!,https://blog.naver.com/saulabi3,20210525
제17회 순천시 생활체육대축전 <b>검도</b>대회,https://blog.naver.com/ok535?Redirect=Log&logNo=222431202514,"예전 같으면 가족들과 응원단 등 대단한 성황을 이루었을 것인데 코로나19로 80여 분이 <b>참여</b>, 방역 수칙을 준수하며 조심스럽게 대회를 진행하였습니다. <b>검도</b>는 정신 수양과 신체 단련을 목적으로 하는... ",순천 시민의 삶을 바꾸는 유능한 경제 전문가,https://blog.naver.com/ok535,20210714
2012년 15회 세계<b>검도</b>선수권 온라인 관전 후기 - 현대 <b>검도</b>의... ,https://blog.naver.com/rockum?Redirect=Log&logNo=222283065038,<b>검도</b> 종주국인 일본은 이번 대회를 생중계 하고 SNS에도 적극 <b>참여</b>하는 등 켄도의 보급에 큰 관심을 가지고 또 노력하고 있습니다. 지금 주된 논쟁은 심판의 편파 판정과 일본 선수들의 이기기 위한 경기 운영... ,rockum님의 블로그,https://blog.naver.com/rockum,20210321
<b>검도</b>의 신체적 이점과 정신적 이점에 대해.,https://blog.naver.com/umkumdo?Redirect=Log&logNo=221679478318,"게다가 <b>검도</b>처럼 같이 몸 전체가 한 번에 <b>참여</b>하는 다른 스포츠는 거의 없습니다. 짧은 시간에 극도의 힘을 내기 위해 순발력을 내면서, 매일 헬스한 다음날 처럼 근육이 당기는 느낌을 받을 수 있습니다. 이... ",ONE 도장,https://blog.naver.com/umkumdo,20191016
[파주치매전담형주야간보호센터] 재활<b>검도</b> 배우기,https://blog.naver.com/pjcare1?Redirect=Log&logNo=222407582800,재활<b>검도</b> 강습에 <b>참여</b>중이신 어르신들:) 오늘도 건강한 삶을 영위하시는 어르신들입니다:) 파주치매전담센터에는 어르신들 재활<b>검도</b> 강습시간이 있습니다. 왕년에 도내 입상경력을 자랑하는 어르신도... ,파주치매전담형주야간보호센터,https://blog.naver.com/pjcare1,20210623
