title,link,description,bloggername,bloggerlink,postdate
[<b>공연</b>후기]<b>국악</b>쇼 썬앤문 (<b>관람</b>팁),https://blog.naver.com/kjy62520?Redirect=Log&logNo=221730097981,"만남 #<b>전통</b> #<b>국악</b>가락 에 더해지는 #락 , #팝 , #일렉트로닉 음악! 역동적 #비트 를 따라 #무대 를 가득 채우는 화려한 #영상 #홀로그램효과 ! #포토존 도 마련되어 있어서, <b>공연</b> 마치고 <b>공연</b>장 밖으로 나와서... ",피아노치는 맘과 sk남매의 일상,https://blog.naver.com/kjy62520,20191207
"온라인으로도 <b>관람</b>하는 <b>국악</b>과 <b>전통</b>춤, 명품<b>공연</b> 팔일(八佾)... ",https://blog.naver.com/chf_news?Redirect=Log&logNo=222349365246,"즐기는 <b>관람</b> 방법도 다양해졌습니다. 물론 <b>공연</b>자와 연주자들의 몰입도가 최고에 달한 현장에서 <b>공연</b>을 직접 볼 수 있다면 더할 나위없겠지만, <b>국악</b>과 우리 <b>전통</b>춤을 여러 플랫폼을 통해 생중계로 즐길... ",월간문화재,https://blog.naver.com/chf_news,20210514
야외에서 즐기는 <b>전통</b> <b>국악</b> <b>공연</b>,https://blog.naver.com/noosps?Redirect=Log&logNo=222378865047,<b>공연</b>을 <b>관람</b>하였습니다 비록 멀리 앉아있었어도 <b>전통</b> <b>국악</b> <b>공연</b>의 음악과 소리들이 멀리 퍼져 나간다는 장점으로 인해 마음껏 즐길 수 있었습니다 첫 시작으로는 대북 모듬북 <b>공연</b>으로 두드림을 역동적인 힘과... ,모두캐스팅 노실장,https://blog.naver.com/noosps,20210601
할 수 있는 세가지 행복! 산책+<b>전통</b>체험+<b>국악</b>야외<b>공연</b>,https://blog.naver.com/msunh?Redirect=Log&logNo=222358812535,산책+<b>전통</b>체험+<b>국악</b>야외<b>공연</b> 지하철 4호선 충무로역에서 도보로 5분이면 갈 수 있는 남산골한옥마을. 오랜만에 남산골한옥마을 방문하고 커다란 세가지 행복을 느끼고 왔습니다. 지하철 4호선 충무로역 에서... ,써니연의 미소담은 이야기,https://blog.naver.com/msunh,20210520
[<b>관람</b>기록] 시민청 <b>국악</b>밴드 소름 <b>공연</b>,https://blog.naver.com/sarasala?Redirect=Log&logNo=222407408809,6월 23일 수요일 오후 12시부터 50분 #<b>국악</b>밴드소름 의 <b>공연</b>을 보러 다녀왔다.^^ #시민청 소식지를 메일로... <b>국악</b>의 대중화라는 측면에서 많은 시도를 하는 것 같았다.^^ 한편으로는 시원하게 뻗는 <b>전통</b> <b>국악</b>을 한... ,수지인세상♥,https://blog.naver.com/sarasala,20210623
"[주간일정] 흥과 <b>전통</b>의 멋, <b>국악</b> <b>공연</b>",https://blog.naver.com/gugak1951?Redirect=Log&logNo=221652736840,"품격, <b>전통</b>과 흥이 살아있는 토요명품<b>공연</b>! 9월 21일 <b>공연</b>은 농익은 <b>국악</b>의 매력을 가득 담은 무대로... 있는 <b>국악</b>동화 키재기 자를 선물로 드립니다! ※ 패키지 최초<b>공연</b> <b>관람</b> 시 제공합니다. 다담 &lt;남들은 가지... ",국립국악원 공식 블로그,https://blog.naver.com/gugak1951,20190919
일상/서도소리/<b>국악</b>/민요/<b>전통</b>/<b>공연</b>/<b>공연</b><b>관람</b>/대회/자격증... ,https://blog.naver.com/khsk3210?Redirect=Log&logNo=222185217691,"코로나가 심해지기 전 학교기업 아리를 통해 아동<b>국악</b>교육지도사 과정을 수료하여 자격증을 받게 되었고, 계속 미뤄지고 꼬이고 겹치는 <b>공연</b>들이 있었지만 열심히 임하였으며, 틈틈이 <b>공연</b>을 보며 배웠고, 각종... ",Adorable,https://blog.naver.com/khsk3210,20201225
"<b>전통</b>예술! &lt;오예: 오늘의 예술, 5분 예술 - <b>국악</b>관현악&gt; &amp; <b>공연</b>예... ",https://blog.naver.com/ntok2010?Redirect=Log&logNo=222102005568,"통해 <b>전통</b>예술을 가볍고 재미있게 만나볼 수 있는 맛보기 교육 프로그램입니다. <b>공연</b> 및 전시 <b>관람</b>이... be/SEeG_lmlEZM 첫 번째 주제였던 창극에 이어 &lt;오예:오늘의 예술, 5분 예술&gt;의 두 번째 주제는 바로 <b>국악</b>관... ",국립극장 공식 블로그,https://blog.naver.com/ntok2010,20200928
<b>전통</b>문화관 토요상설<b>공연</b>. 실내<b>관람</b> 야외<b>관람</b> 모두 가능... ,https://blog.naver.com/crystal_aria?Redirect=Log&logNo=222357666680,"<b>공연</b>을 한다고 해요.(<b>국악</b>방송 진행자 왈) 그래도 서석당도 넓습니다. <b>공연</b>은 1시간 동안 진행됩니다. <b>전통</b>문화관 사이트를 보니 <b>공연</b> 프로그램 공모를 해서, <b>공연</b>자를 선정하는 것 같더군요. 이 날 <b>관람</b>한... ",내 취미는 돌아다니기,https://blog.naver.com/crystal_aria,20210520
야외 <b>국악</b><b>공연</b>-경주,https://blog.naver.com/zibb?Redirect=Log&logNo=222403882949,"<b>국악</b><b>공연</b> <b>관람</b> 경주로 여행을 했어요. <b>국악</b><b>공연</b>이 있어서 <b>공연</b>도 보았고요. 파란 하늘, 예쁜 흰 구름... * 태평무나라의 평안과 태평성대를 기리는 뜻을 춤으로 표현한 한국 <b>전통</b> 무용이다. 동작이 섬세하고... ",zibb님의 블로그,https://blog.naver.com/zibb,20210620
"<b>전통</b>음악의 치유와 위로,2021 젊은<b>국악</b> 단장 제작<b>공연</b>... ",https://blog.naver.com/kimjajoong?Redirect=Log&logNo=222434888675,"젊은<b>국악</b> 단장 제작<b>공연</b>’ 7월 <b>공연</b> <b>전통</b>음악을 통한 치유와 위로, 창작집단 Nyk &lt;새로운 명상법... 따른 <b>공연</b>장 운영지침에 따라 안전거리를 준수하여 운영된다. 훨체어석 예매 및 <b>관람</b>은 유선으로... ",한국사진방송 공식블로그,https://blog.naver.com/kimjajoong,20210717
<b>국악</b>상설<b>공연</b> 광주가족나들이추천해요.,https://blog.naver.com/heestories?Redirect=Log&logNo=222401986335,"장르 <b>국악</b> 기간 2021-06-01 ~ 2021-06-30 시간 매일 오후5시 (일,월 휴관) 장소 광주<b>공연</b>마루 <b>관람</b>연령... <b>전통</b>적인 색깔을 가지고 있으면서 대중음악과 같은 친숙함이 느껴지는 곡으로, 열두달의 아름다움을... ",놀지 않으면 앓아눕는 블로그,https://blog.naver.com/heestories,20210618
[대전<b>국악</b><b>공연</b>]21년 명작을... 다채로운 <b>전통</b>춤의 세계를... ,https://blog.naver.com/vndanf7?Redirect=Log&logNo=222386750073,다채로운 춤의 세계를 엿볼 수 있는 좋은 기회 놓지 마세요 많은 <b>관람</b> 부탁드립니다 자세한 내용은... 명무들의한바탕 #대전2021<b>전통</b>춤 #대전무용제 #강성노 #<b>국악</b>타악마루공감 #대전소극장고도 #대전<b>국악</b><b>공연</b>,국악타악마루 '공감',https://blog.naver.com/vndanf7,20210606
[<b>공연</b>] 아이와 함께하는 퓨전<b>국악</b> <b>공연</b>! &lt;토요상설<b>공연</b> : 승승장구&gt;,https://blog.naver.com/gjgjcf?Redirect=Log&logNo=222350922040,매주 토요일 오후 3시부터 시작되는 <b>국악</b><b>공연</b>을 한 번이라도 <b>관람</b>해보신 분들이라면 매주 단골처럼 <b>전통</b>문화관에 끌리듯 다녀온다고 해요. ‘우리 것이 좋은 것이여~’ 라는 말이 저절로 나올 정도로 신명나는... ,광주문화재단 블로그,https://blog.naver.com/gjgjcf,20210514
"광주<b>국악</b>상설<b>공연</b>, 6월 온라인 <b>공연</b> 추천 해요!",https://blog.naver.com/ysrhl18?Redirect=Log&logNo=222393695296,세 번째는 <b>전통</b>악기의 참맛 ‘민요의 향연’이었습니다. 우리나라 <b>전통</b> <b>국악</b>악기의 정수를 맛볼 수... 방구석1열에서 <b>관람</b>해봐도 좋을거같아요^^ #광주문화예술회관 #광주<b>공연</b>마루 #<b>공연</b> #광주<b>국악</b>상설<b>공연</b>... ,랑랑이네,https://blog.naver.com/ysrhl18,20210611
[<b>국악</b>앙상블 아띠누리]... 함께하는 &lt;찾아가는<b>전통</b>문화<b>공연</b>... ,https://blog.naver.com/addinuri?Redirect=Log&logNo=222386292147,<b>공연</b>은 모두 코로나19로 지친 여러분들을 위하여 유성구에서 주최되어진 <b>공연</b>입니다 또한 <b>공연</b> <b>관람</b>... <b>국악</b><b>공연</b> #<b>국악</b>수업 #<b>국악</b><b>공연</b> #문의 #찾아가는<b>전통</b>문화<b>공연</b> #유성온천의봄감성페스타,국악앙상블 아띠누리,https://blog.naver.com/addinuri,20210605
[온라인 무료 <b>국악</b> <b>공연</b>] 깜냥깜냥 락락놀이 coming soon~!,https://blog.naver.com/swggm?Redirect=Log&logNo=222121221068,내에 <b>관람</b>해보시기 바랍니다! #온라인<b>공연</b> #온라인 #<b>공연</b> #포스트코로나 #코로나 #코로나<b>공연</b> #뮤지컬 #판소리 #<b>국악</b> #<b>국악</b><b>공연</b> #코로나19 #수원<b>공연</b> #수원 #광교 #광교박물관 #수원광교박물관 #박물관 #<b>전통</b>... ,수원광교박물관,https://blog.naver.com/swggm,20201021
한옥에서 보낸 하루 | +사회놀이책 연계 +<b>전통</b><b>국악</b><b>공연</b><b>관람</b>,https://blog.naver.com/syys486?Redirect=Log&logNo=220702205896,+ <b>전통</b>문화체험 + <b>전통</b> <b>국악</b><b>공연</b> <b>관람</b> <b>국악</b><b>공연</b>을 <b>관람</b>하러 나섰어요. 앞쪽에 다양한 체험거리도 준비되어 있어서.. <b>공연</b> 전부터 신나게 놀수 있었지요. 특히 투호놀이는 언제해도 경쟁심이 생기며 던지고 또... ,여니표㉿,https://blog.naver.com/syys486,20160505
2017년 11월 21일-<b>전통공연</b>'묵향'<b>관람</b> 번개,https://blog.naver.com/miyazuka?Redirect=Log&logNo=222009066555,전체적인 <b>관람</b>평은 한국적 <b>전통</b>에 녹아든 <b>공연</b>이라 너무 아름답고 좋았는데 군무가 조금은 완벽하지 않아서 아쉬웠다고나 할까요?? 놀그림자가 워낙 K-POP 아이돌 취향이라 맨날 아이돌 칼군무를 보다가 여백이... ,霞影이의 놀자! 꽉끼게! 자신있게...,https://blog.naver.com/miyazuka,20200622
