title,link,description,bloggername,bloggerlink,postdate
"[더<b>그림</b>] 학생<b>참여</b> 벽화봉사, 벽화체험 봉사<b>활동</b>",https://blog.naver.com/ideakim76?Redirect=Log&logNo=221804852358,"행사 완료 [더<b>그림</b>] 학생<b>참여</b> 벽화봉사, 벽화체험 봉사<b>활동</b> [더<b>그림</b>] 학생<b>참여</b> 벽화봉사, 벽화체험 봉사<b>활동</b> 해가 넘어갈 때 즈음 벽화가 완성 되었습니다 벽화를 함께해준 무녀도초 학생들과 선생님들 모두들... ",더그림벽화봉사_벽화전문기업,https://blog.naver.com/ideakim76,20200211
<b>활동</b> <b>참여</b>로 완성된 동덕여자고등학교 옹벽 꽃<b>그림</b>벽화,https://blog.naver.com/morphinart?Redirect=Log&logNo=221695974205,"개략적으로 완성된 스케치 위에 다가 학생들 각자의 스타일이 반영된 꽃<b>그림</b>을 열심히 그리고 있는 중이다. 벽화 <b>참여</b><b>활동</b>에 앞서 간단한 시범을 보였지만, 아이들의 자유분방함은 우리의 통제를 저멀리... ",몰핀아트가 그리는 유쾌한 그림 세상!,https://blog.naver.com/morphinart,20191102
워홀 ] :Day104 &quot;<b>그림</b> 그리기&quot; 체험 <b>활동</b>에 <b>참여</b>해보자 ⊙,https://blog.naver.com/i0475833?Redirect=Log&logNo=221760379621,"그리고 <b>그림</b> 그리기 <b>활동</b> 체험하고 싶어서 커뮤니티 센터로 고 ! 구글에서 검색해서 어떤 포스터 보고, 정말 호기심 하나로만 찾아갔는데 생각보다 할 수 있는 것들이 다양하게 있어서 신기했다 다들... ",⊙ 방꾸적 마음대로 ⊙,https://blog.naver.com/i0475833,20200105
*글<b>그림</b>사랑님과의 <b>그림</b>책 3.3.3이벤트 <b>참여</b> <b>활동</b> 모음,https://blog.naver.com/yhee0724?Redirect=Log&logNo=222079866843,모두 웹툰과 <b>그림</b>이 콜라보 된 형식의 <b>그림</b>책이랍니다... 아직 신생 작가이지만 제주의 특성을 잘 살릴 의미 있는 책인것 같아요~♡♡♡ #김성라 작가님의 '귤사람' 속에서... ...모두 7인의 <b>참여</b>로 여러 쌤들과... ,사피엔스와의 대화,https://blog.naver.com/yhee0724,20200904
시각장애인을 위한 촉각 <b>그림</b> 만들기 봉사<b>활동</b> <b>참여</b>,https://blog.naver.com/hoil1964?Redirect=Log&logNo=221991201634,"김호일 사무국장은 &quot;시각장애인들에게 있어서 촉각은 정보습득에 있어 상당히 중요한 역할을 한다.&quot; 며,&quot;인하라이온스클럽 회원과 함께 만든 촉각<b>그림</b>을 전시함으로써 시각장애인들에게도 색다른... ",solomonedu.net,https://blog.naver.com/hoil1964,20200605
2019 의정부 학부모 학교<b>참여</b> <b>활동</b>발표회 현장에 가다!,https://blog.naver.com/hope_city?Redirect=Log&logNo=221747467051,학교에는 다양한 단체와 개인의 <b>참여</b>가 필요하다 하시며 학부모님들의 노고를 치하하고 다양한 <b>활동</b>을... 사전공연으로 발곡초의 책 읽어주는 엄마들 책 소리에서 까까먹고 맴맴이라는 <b>그림</b>자극을... ,의정부시 공식 블로그,https://blog.naver.com/hope_city,20191230
★ SH 어린이 <b>그림</b>그리기 대회 ★ 온라인 <b>참여</b>하기! “집에서도... ,https://blog.naver.com/together_sh?Redirect=Log&logNo=221981510034,서울주택도시공사의 대표적인 사회공헌<b>활동</b>인 어린이 <b>그림</b>그리기 대회가 코로나19로 올해는... 그래서 저도 직접 <b>참여</b>해 보았습니다! 8절 도화지에 다양한 미술도구를 사용하여 <b>그림</b>을 그려 스마트폰 등으로... ,서울주택도시공사,https://blog.naver.com/together_sh,20200528
광주·전남지역 학생들 <b>참여</b>하세요! 「환경사랑 <b>그림</b>그리기... ,https://blog.naver.com/ysgpr?Redirect=Log&logNo=221659097016,야외 나들이하기 딱 좋은 가을에 나들이도 하고 유익한 행사 <b>참여</b>도 가능한 '환경사랑 <b>그림</b>그리기... 보전하는 <b>활동</b>에 적극 <b>참여</b> 유도하려는 취지입니다. 접수 방법은 사전접수 또는 당일 현장접수도... ,영산강유역환경청 블로그,https://blog.naver.com/ysgpr,20190925
및 <b>그림</b> 공모전] 대전 시민이라면 누구나 <b>참여</b> 가능! 장애 인식... ,https://blog.naver.com/ihannam?Redirect=Log&logNo=222277473551,"장애인 인식 개선을 위한 수기 및 <b>그림</b> 공모전 공모주제 - 국가 및 지방자치단체, 지역사회 등... 스케치북<b>그림</b>은 우편접수, 테블릿 <b>그림</b>파일은 이메일 접수 - 주 소: 대전광역시 대덕구 한남로 51... ","대전 · 충청 1등 사립대학, 한남대학교 공식블로그",https://blog.naver.com/ihannam,20210326
체험학습 유치원 꽃정원 꾸미기놀이 학부모<b>참여</b>수업 원예<b>활동</b>,https://blog.naver.com/miyaa1212?Redirect=Log&logNo=222403035229,"원예<b>활동</b> 식물디자인공방 MIMI그라스 유치원 찾아오는 체험학습, 함께하기 좋은, 그래서 학부모<b>참여</b> 수업에 좋은 꽃정원꾸미기 놀이입니다. 미술 원예 융합교육으로 형형색색의 꽃을 만지고 <b>그림</b>을 그리는... ",원예통합교육 미미그라스,https://blog.naver.com/miyaa1212,20210619
"MSG워너비 커버변경 요청, 하준수 <b>참여</b> <b>그림</b>",https://blog.naver.com/leeby0524?Redirect=Log&logNo=222432548687,"MSG워너비 커버변경 요청, 하준수 <b>참여</b> <b>그림</b> MSG워너비의 앨범 커버에 대한 우려가 커지고 있다네요... 하카소로 <b>활동</b>하고 있는데요 여러 개그맨들 그리면서 유튜브도 화제가 되고 있고 이번에 MSG워너비... ",감성폭주,https://blog.naver.com/leeby0524,20210715
[더<b>그림</b>]학생<b>참여</b> 벽화봉사!학교에서 특별한 <b>활동</b>!,https://blog.naver.com/ideakim76?Redirect=Log&logNo=222300779818,학생 <b>참여</b> 벽화봉사 <b>활동</b> 코로나19로 인하여 학생들의 외부<b>활동</b>이나 다양한 체험<b>활동</b>에 많은 제약이... 벽화는 단순히 <b>그림</b>이 들어가서 예쁜것에서 그치는 것이 아닌 그 공간과 분위기까지 변화를 주는... ,더그림벽화봉사_벽화전문기업,https://blog.naver.com/ideakim76,20210406
샘표 맛있는추억을그리다 어린이<b>그림</b>대회 <b>참여</b>!,https://blog.naver.com/topncrystal?Redirect=Log&logNo=221933438456,라는 메시지를 확산하기 위해 <b>그림</b>대회나 전시회 등 다양한 <b>활동</b>을 실시할 계획이에요. 올해도 2020년... 이 어린이<b>그림</b>대회에 <b>참여</b>한 어린이의 78%가 가족과 함께한 식사를 맛있는 추억으로 그렸는데요.... ,크리스탈 라이프스타일,https://blog.naver.com/topncrystal,20200428
여름미술<b>활동</b>- Jellyfish Salt Painting 소금<b>그림</b>,https://blog.naver.com/lux0607?Redirect=Log&logNo=222067682359,그러다 보니 가끔 도서관 프로그램에 <b>참여</b>를 하기도 했었지요. 작년 도서관에서 여름 미술<b>활동</b>으로 Jellyfish Salt Painting을 한 적이 있었어요. 해파리 <b>그림</b>에 글루를 바르고 소금을 뿌린 후에 물감을 입히는... ,친절한 혁명가의 tiNY house,https://blog.naver.com/lux0607,20200822
"여름철 안전하게, 청소년<b>활동</b> <b>참여</b>하자!",https://blog.naver.com/yapyouth?Redirect=Log&logNo=221602400026,&quot; 틀린<b>그림</b>찾고 신고·인증수련<b>활동</b> <b>참여</b>다짐 메시지를 작성해보세요! 추첨을 통해 총 150분께 푸짐한 선물을 드립니다. 이벤트<b>참여</b>방법 * 하단의 파란색 응모하기 버튼을 클릭하면 응모페이지로 이동됩니다... ,청소년수련활동 신고ㆍ인증제,https://blog.naver.com/yapyouth,20190801
