title,link,description,bloggername,bloggerlink,postdate
온라인 <b>글짓기</b> 대회 <b>참여</b>하기,https://blog.naver.com/guri912?Redirect=Log&logNo=222075745974,#전국초등학생 #서민금융<b>글짓기</b>대회 #초등독서교육 어느날 아이가 보는 어린이 신문을 오려들고 서민 금융 <b>글짓기</b> 대회에 참가한다고 했다. 한 참 #열두살에부자가된키라 를 읽고 어떻게 하면 돈을... ,꽃자매엄마,https://blog.naver.com/guri912,20200831
전국 초등생 대상 제1회 서민금융 <b>글짓기</b> 대회에 <b>참여</b>하세... ,https://blog.naver.com/seominkinfa?Redirect=Log&logNo=222023528033,&quot;어느 날 내게 100만원이 생긴다면 어떻게 쓸까?&quot; &quot;나는 받은 용돈을 이렇게 써요!&quot; &quot;우리 가족의 저축방법은...!&quot; 전국 초등학생이라면 누구나 <b>참여</b>할 수 있는 <b>글짓기</b> 대회에 <b>참여</b>해보세요! 심사를... ,서민금융진흥원,https://blog.naver.com/seominkinfa,20200707
누구나 <b>참여</b> 가능한 ‘제1회 서민금융 <b>글짓기</b> 대회’ 개최,https://blog.naver.com/cuf1105?Redirect=Log&logNo=222025551697,전국 초등학생 누구나 <b>참여</b> 가능한 서민금융 <b>글짓기</b> 대회는 ① 어느 날 100만 원이 생겼다. ② 용돈을 잘 관리하는 나만의 비결 ③ 우리 가족의 즐거운 저축 생활 등 3가지 주제 중 하나를 선택하여 산문 또는... ,신협블로그,https://blog.naver.com/cuf1105,20200709
제 17회 전국 청소년 저작권 <b>글짓기</b> 대회 <b>참여</b>해봐요!,https://blog.naver.com/hmr6853171?Redirect=Log&logNo=222433922223,&lt;출처: 인스타그램 detizen_no.1&gt; <b>참여</b>하실 분들 위해 <b>글짓기</b> 대회 링크도 함께 걸어두고 가겠습니다! 기간 여유있으니 관심 있는 분들은 <b>참여</b>해보시길 바래요~ 제17회 전국 청소년 저작권... ,ꕥ문화예술협동조합 해마루ꕥ,https://blog.naver.com/hmr6853171,20210718
전통시장 <b>글짓기</b> 공모전 &quot;가장 Fun한 전통시장 이야기&quot;에 <b>참여</b>... ,https://blog.naver.com/hope_city?Redirect=Log&logNo=222029362146,"의정부시 청소년 재단에서는 전통시장 <b>글짓기</b> 공모전 &quot;가장 Fun한 전통시장 이야기&quot;를 주최합니다. 출처: pixabay.com 전통시장 이야기를 주제로 하는 산문, 운문, 편지글, 수필 등 자유형식의 <b>글짓기</b>... ",의정부시 공식 블로그,https://blog.naver.com/hope_city,20200713
원주시 청소년 자원봉사 <b>글짓기</b> 대회 <b>참여</b> 안내,https://blog.naver.com/wjcvc?Redirect=Log&logNo=221652775253,원주시자원봉사센터(센터장 선우영수)는 제2회 원주시 청소년 자원봉사 <b>글짓기</b> 대회를 다음과 같이 개최합니다. 산문과 시 분야이며 10월 4일까지 작품을 이메일(*********@*****.***)이나 방문(원주시... ,원주시자원봉사센터 블로그,https://blog.naver.com/wjcvc,20190919
누구나 <b>참여</b>할 수 있는 글쓰기 <b>글짓기</b> 공모전 | 지하수 짧은글... ,https://blog.naver.com/chohy113?Redirect=Log&logNo=222152012070,"또는 무언가 결과가 나올 수 있을만 한게 뭐가 있을까 생각하다가 글씨기, <b>글짓기</b> 공모전에 <b>참여</b>해보고자 마음먹었습니다. 지금 신춘문예 접수이기도 한데요. 이게 참 처음부터 그런 것만... ",글짓는 여행자 해영의 기록하는 삶,https://blog.naver.com/chohy113,20201123
법률선진신문 제 7회 학교폭력예방 <b>글짓기</b> 대회 <b>참여</b> 후기,https://blog.naver.com/yournight03?Redirect=Log&logNo=222151262922,"제 7회 전국 초•중•고교 학생 국회견학, 학교폭력예방 <b>글짓기</b>, 토론회 및 법특강이 지난 11월 9일(월)에 국회의사당에서 열렸습니다. 좋은 기회를 통해 가게 되어 뜻 깊었는데요. 서울을 갈때마다... ",전인혜작가 블로그,https://blog.naver.com/yournight03,20201122
"5월 5월 부평공원에서, 제7회 ‘부평사랑 <b>글짓기</b> 대회’가... ",https://blog.naver.com/withbupyeong?Redirect=Log&logNo=222349095771,“<b>글짓기</b> 대회는 처음 <b>참여</b>해 보는데요. 그래도 어렵지 않게 글이 잘 써졌어요.” 조민채 친구를 응원하는 가족 모두의 격려가 뜨거웠어요. 2시 넘어 글쓰기를 시작한 부평 남 초등학교 박세인 친구는 작년에... ,부평구청 블로그 공감부평,https://blog.naver.com/withbupyeong,20210513
북서울꿈의숲에서 강북가족<b>글짓기</b>대회 <b>참여</b>,https://blog.naver.com/kokhappy?Redirect=Log&logNo=221691693106,북서울꿈의숲 강북<b>글짓기</b>대회에 지난 달 <b>참여</b>했는데 강북<b>글짓기</b>대회 수상작발표는 엊그제 나와 수상을 못한 저의 아들은 낙심..한 지라ㅜ 강북<b>글짓기</b>대회 수상자는 소속한 초등학교로 직접 상장이 가더라구요.... ,지혜로운 뇨자,https://blog.naver.com/kokhappy,20191029
제 17회 전국 청소년 저작권 <b>글짓기</b> 대회 <b>참여</b>해봐요!,https://blog.naver.com/haemaruv?Redirect=Log&logNo=222437137714,&lt;출처: 인스타그램 detizen_no.1&gt; <b>참여</b>하실 분들 위해 <b>글짓기</b> 대회 링크도 함께 걸어두고 가겠습니다! 기간 여유있으니 관심 있는 분들은 <b>참여</b>해보시길 바래요~ 제17회 전국 청소년 저작권 <b>글짓기</b> 대회... ,문화예술협동조합 해마루,https://blog.naver.com/haemaruv,20210719
강북 가족 <b>글짓기</b> 대회 <b>참여</b>중,https://blog.naver.com/nonkkalkomi?Redirect=Log&logNo=221661831496,초3아들은 <b>글짓기</b>하고 6살 딸램은 구경하고 체험하기로 처음 <b>참여</b>하는거에요. 무언가를 기대하는것이 아닌 나와서 책이읽고 독후감쓰고 이게 계기가 되어서 조금더 용기도 내고 자신감도 가질수 있으면... ,"육아, 교육 그리고 뷰티",https://blog.naver.com/nonkkalkomi,20190928
어휘력 향상을 위한 짧은 <b>글짓기</b> :: 어휘도 배우고 아이 생각도... ,https://blog.naver.com/lettertohoon?Redirect=Log&logNo=221986226259,"한 달 어휘공부를 완성하고나면 작은 보상도 잊지 않았다 처음 미션을 시작할 때에는 엄마, 아빠도 짧은 <b>글짓기</b>에 함께 <b>참여</b>했더랬다. 사전에 쓰인 딱딱한 예문 대신 엄마, 아빠가 쓴 글을 예시로 보여주고... ",공부하는 엄마 꿈꾸는 아이,https://blog.naver.com/lettertohoon,20200601
청호나이스 기술.과학 그림 <b>글짓기</b> 대회,https://blog.naver.com/goodjang0309?Redirect=Log&logNo=222387912956,엄마랑 동생은 셀카 찍고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 동생이 진도가 훨씬 빠르네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오~~ 동생 그림이 진도도 빠르고 뭔가 과학적이에요 ㅋㅋㅋ 이번 대회는 어른들도 <b>글짓기</b> 대회에 <b>참여</b>할 수... ,﹏장크네﹏,https://blog.naver.com/goodjang0309,20210607
전국초중학생발명<b>글짓기</b>공모전 시상식 <b>참여</b>/서울대치동... ,https://blog.naver.com/haw086?Redirect=Log&logNo=221752924705,"슬기는 특히 2년 연속 상위상으로 시상식에 <b>참여</b>하게 되었습니다 이번 대회에서 과학발명동아리 Little Newton은 <b>글짓기</b> 부문 장희운(특허청장상), 장슬기(전국경제인연합회회장상), 김나경... ",과학고 나온 초등교사 하우영의 달보드레한 교실❤️,https://blog.naver.com/haw086,20191229
강남구 어린이 <b>글짓기</b>·그림 작품 공모,https://blog.naver.com/alicegangnam?Redirect=Log&logNo=221873802382,"강남구 어린이 <b>글짓기</b>·그림 작품 공모 코로나19 감염증 관련 어린이들의 위생과 안전을 위해 어린이집, 유치원 휴관 연장 및 학교 개학 일정이 연기됨에 따라 각 가정에서 <b>참여</b>할 수 있는 <b>글짓기</b>... ",강남구청 공식 블로그,https://blog.naver.com/alicegangnam,20200326
축제(<b>글짓기</b>-그림그리기-골든벨) 분야 38명 수상... ,https://blog.naver.com/shkonews?Redirect=Log&logNo=222408417017,"<b>글짓기</b> 분야에서 최우수상을 수상한 9학년 박진서 학생은 “글을 쓰면서 통일의 필요성을 깨닫고 배운 것이 많은데, 상까지 받게 되어서 <b>글짓기</b>에 <b>참여</b>하길 잘했다고 생각했어요”라고 수상 소감을... ",상해한인신문 Shanghai Korean News,https://blog.naver.com/shkonews,20210624
"효인성문화원, 언택트 ‘인성함양 <b>글짓기</b>대회’ 개최",https://blog.naver.com/tynews?Redirect=Log&logNo=222159518307,"처음 시도하는 <b>글짓기</b> 대회였지만 <b>참여</b>한 학생들이나 집행부에서도 생소했지만 번거로움은 없었다. 오히려 더 차분하게 글을 쓸 수 있는 환경을 조성했다고 자부했다. 이 대회는, 전국에 재학 중인 초. 중. 고... ",토요저널,https://blog.naver.com/tynews,20201201
제14회 강북 가족 <b>글짓기</b> 대회 참가자 모집,https://blog.naver.com/hopegb?Redirect=Log&logNo=222371318913,VCR □ 강북구가 전국의 초등학생을 대상으로 ‘제14회 강북 가족 <b>글짓기</b> 대회’를 개최하고 참가자 200명을 모집합니다. □ <b>참여</b>를 희망하는 학생은 6월 16일까지 ‘서울특별시 공공서비스 예약’... ,강북구청 공식블로그,https://blog.naver.com/hopegb,20210528
