title,link,description,bloggername,bloggerlink,postdate
활용 분야 확대가 눈에 띄는 AI <b>기술</b> 평가와 투자 <b>공부</b>,https://blog.naver.com/kiyukk?Redirect=Log&logNo=222416726717,주니 <b>공부</b>가 된다. 물론 모든 것은 조언이고 결정은 온전히 내 영역이며 책임도 자신만이 진다는 것은 잊지 말아야 할 일이다. AI가 단일<b>기술</b>이 아니라 경제와 산업 다분야에서 활발하게 활용되며 권력을... ,The Coloured Universe,https://blog.naver.com/kiyukk,20210701
30대 자격증 지금은 <b>기술</b>을 <b>공부</b>할때!,https://blog.naver.com/sunkh10?Redirect=Log&logNo=222426200792,그래서 <b>공부</b>를 하고 있습니다 아직은 합격까지는 못한 상황이고요 천천히 준비중에 있어요 쉬운건... 차라리 <b>기술</b>쪽이 더 낫다고 보고요 전기나 안전쪽이 대세죠 요즘은.. 여튼 그래서 학은제를 일단 해야했어요... ,진또배기,https://blog.naver.com/sunkh10,20210709
지게차운전기능사 필기 <b>공부</b> <b>기술</b>,https://blog.naver.com/soldier7712?Redirect=Log&logNo=222421231244,"<b>기술</b>을 가지고 있으면 그래도 현장에서 나름 인정받을 수 있었거든요. 저도 이쪽 분야에서 나름 일을 열심히하고 인정받고 싶은 생각이 있다보니, 더욱 해당 자격증이 끌리더라고요. 하지만 20년이 넘도록 <b>공부</b>... ",회사 가기 싫다~ 캠핑 가자!,https://blog.naver.com/soldier7712,20210705
플러그파워(PLUG)와 수소전지 MEA <b>기술</b>을 <b>공부</b>하다가... ,https://blog.naver.com/ingforme?Redirect=Log&logNo=222119727744,"수소 <b>기술</b>에 대해 <b>공부</b>하고 연구하면서 느낀건데요. 현재 국내 시장에서는 동진세미켐과 비나텍이 있고, 미국 Gore와 영국의 존슨메티가 있다네요. 4차 산업 관련 G valley에서 자료 보고 알았어요. 수소전지... ",Perfect Makes Easier,https://blog.naver.com/ingforme,20201019
"美의원, &quot;미국서 中유학생 과학<b>기술</b> <b>공부</b> 금지해야&quot;",https://blog.naver.com/tech-plus?Redirect=Log&logNo=221931841924,"미국 유력 국회의원이 중국 유학생들이 미국에서 과학<b>기술</b> <b>공부</b>를 하는 것을 막아야 한다면서 비자 발급을 재검토해야한다고 제안했다. 톰 코튼 상원 의원(공화당, 아칸소)은 26일(현지시간) 방송 인터뷰를... ",테크플러스,https://blog.naver.com/tech-plus,20200427
<b>공부</b>의 <b>기술</b>-이상욱,https://blog.naver.com/ganimani?Redirect=Log&logNo=222404526718,"키워나가는 <b>기술</b> <b>공부</b>할때 나다움이 중요 나와의 거리두기, 자기합리화 하지않기 작은 습관의 힘, 작은 성공의 힘 현실적인 이정표를 세워라. 노력은 배신하지 않는다. 북액션 이책을 읽고 나에게 맞는... ",2023년 모지스처럼,https://blog.naver.com/ganimani,20210620
&lt;절대 배신하지 않는 <b>공부</b>의 <b>기술</b>&gt;을 읽고,https://blog.naver.com/ojs5119?Redirect=Log&logNo=222374781316,절대 배신하지 않는 <b>공부</b>의 <b>기술</b> 저자 이상욱 출판 웅진지식하우스 발매 2021.02.23. 2021. 5.30.일 오늘 일기 독서 일기 절대 배신하지 않는 <b>공부</b>의 <b>기술</b> 책을 읽었다. 공인중개사 자격증을 <b>공부</b>하고 있어서 이 책을... ,꿈을이루기위해공부하는여자,https://blog.naver.com/ojs5119,20210530
절대 배신하지 않는 <b>공부</b>의 <b>기술</b>.. 복습이 답이다.,https://blog.naver.com/nalnary94?Redirect=Log&logNo=222384322841,"&lt;절대 배신하지 않는 <b>공부</b><b>기술</b> p.17&gt; 반복학습을 위한 패턴을 만들어라! 자신이 <b>공부</b>하는 일수에 맞춰 1,3,6,13중 뺄 수 있는 숫자를 빼보라는 것인데요. 빼서 나오는 숫자에 해당하는 날에 <b>공부</b>했던 내용을 오늘... ",보물상자의 인생북테크,https://blog.naver.com/nalnary94,20210604
우리의 미래를 찾아서: (프롤로그) 미래<b>기술</b>을 죽기살기로 <b>공부</b>... ,https://blog.naver.com/barbarian_research?Redirect=Log&logNo=222022222245,그래서 미래<b>기술</b>을 죽기살기로 <b>공부</b>합니다 고수익 종목 발굴을 위해 저는 미래<b>기술</b> <b>공부</b>에 가장 공을 들입니다. 단순히 '열심히'라는 마음을 넘어 '죽기살기'로라는 심정으로 미래<b>기술</b> 기업을 발굴하려 합니다.... ,바바리안 리서치,https://blog.naver.com/barbarian_research,20200706
집에서 방울토마토 키우기(재배<b>기술</b> <b>공부</b>),https://blog.naver.com/terildo?Redirect=Log&logNo=222324111803,인공수정(수분) #방울토마토 #방울토마토키우기 #집에서방울토마토키우기 #cherrytomato #아이 #식목일 #실습 #모종 #재배<b>기술</b> #<b>공부</b> #조언 #검색 #집 #물 #햇볕 #뿌리 #줄기 #꽃 #3가지과제 #과제 #곁순제거 #분갈이... ,terildo story,https://blog.naver.com/terildo,20210426
