title,link,description,bloggername,bloggerlink,postdate
2021 KBL 프로<b>농구</b> 드래프트 <b>참가</b>선수 그리고  얼리!,https://blog.naver.com/jenesis97?Redirect=Log&logNo=222098600988,"여기에 한양대3년 오재현선수,1년 정희현선수도 드레프트 <b>참가</b> 신청을 한다고 합니다. 코로나의 영향으로 올해 대학<b>농구</b> 그리고 어쩌면 내년까지 경기 할 수도 없을 듯 하니 선수들 kbl 지원 붐이 일어나지... ",주원패밀리,https://blog.naver.com/jenesis97,20200925
3x3 KXO 코리아투어 <b>참가</b> <b>농구</b>팀 프리뷰,https://blog.naver.com/tjrwhdxo92?Redirect=Log&logNo=222015534436,위의 <b>참가</b>팀외에 충북<b>농구</b>협회 박카스 팀메이커 등이 <b>참가</b>할수도있을것 같습니다 아직 확정된것은 아니지만 최소 7팀에서 많게는 10개팀까지 참여할수있을것 같은데요 KXO와 코리아투어에서는 좋은성적은 곧... ,30to_koba,https://blog.naver.com/tjrwhdxo92,20200629
<b>농구</b>대회 원주제스트 선수 심판으로 <b>참가</b>한 쭌이아빠,https://blog.naver.com/longbear34?Redirect=Log&logNo=221773834640,홍천무궁화배 생활체육 <b>농구</b>대회 <b>참가</b>한 쭌이아빠! 2019년 11월의 한 주말! 강원도 홍천에서 무궁화배생활체육<b>농구</b>대회가 개최되었슴돠~ 쭌이아빠가 속해 있는 원주<b>농구</b>동아리 제스트도 참석하게 되어서... ,쭌이아빠의 평범한 일상!!,https://blog.naver.com/longbear34,20200116
이승민 <b>농구</b>교실 초등 고학년 대회 <b>참가</b> 후기!,https://blog.naver.com/lee58926?Redirect=Log&logNo=222309136674,"지난 4월 11일 진동 삼진 체육관에서 열린 2021 경상남도 유소년 연맹 회장배 춘계 <b>농구</b> 대회 초등 고학년부에 <b>참가</b>하였습니다. 초등 고학년부인데 저희는 선수 8명에 6학년 3명, 5학년 5명으로 비교적 어린... ",우리 아이 키크는 창원NO.1 이승민 농구교실!!,https://blog.naver.com/lee58926,20210414
[KT소닉붐 유소년 <b>농구</b>교실 명지점 - <b>농구</b>대회<b>참가</b> (남자초등부),https://blog.naver.com/jocks22?Redirect=Log&logNo=222415759380,"이번 2021년 전국 유소년 하모니 <b>농구</b>리그 클럽부에 <b>참가</b>한 남자초등부를 소개합니다~ 아쉽게도 좋은성적은 받지못했지만, 경험을 발판삼아 더 뛰어오를날을 기대해주세요^^! 그리고 대회장에서의 모습들을... ",KT소닉붐농구교실명지점,https://blog.naver.com/jocks22,20210630
[다산/남양주/구리] 2020 스터프배 점프볼 유소년 <b>농구</b>대회 <b>참가</b>!,https://blog.naver.com/real_choi30?Redirect=Log&logNo=221779959509,바로 스터프배 점프볼 유소년 <b>농구</b>대회였는데요^^ 이번 대회 취지는 성적이나 순위보다는 <b>참가</b>한 팀끼리의 친목과 선의의 경쟁을 통해 좋은 추억을 만드는데 있었습니다^^ 하지만 <b>참가</b>팀 모두 실력이... ,팀 리얼 농구교실 블로그,https://blog.naver.com/real_choi30,20200121
월드컵월드컵 위한 미국 <b>참가</b>를 FIBA <b>농구</b> 국 대회 <b>농구</b>  그읏,https://blog.naver.com/lqfaxkx_4fzd?Redirect=Log&logNo=221620016281,있었던 상황에서 밝힌 31일자로 선수들의 미국 SF 예정인 국가대표팀에 <b>참가</b>하게 <b>농구</b> 월드컵 의사를 자신이야말로 개막될 행사에 NBA 소속되어 <b>참가</b>하고... ,lqfaxkx_4fzd님의블로그,https://blog.naver.com/lqfaxkx_4fzd,20190818
18회 우정사업본부장배 전국 휠체어 <b>농구</b>대회 <b>참가</b>,https://blog.naver.com/ocublog?Redirect=Log&logNo=221584145016,"한국열린사이버대, 18회 우정사업본부장배 전국 휠체어 <b>농구</b>대회 <b>참가</b> 한국열린사이버대학교는 최근 재학생들이 '제18회 우정사업본부장배 전국 휠체어 <b>농구</b>대회'에 <b>참가</b>했다고 28일 밝혔다. 전국... ",200만이 선택한 한국열린사이버대학교,https://blog.naver.com/ocublog,20190712
송림중학교 3학년 용인시 <b>농구</b> 대회 <b>참가</b> 포스팅!,https://blog.naver.com/kyk7197007?Redirect=Log&logNo=221705889933,처음으로 <b>참가</b>한 <b>농구</b> 대회에서 꼭 1승은 달성하고 마무리하자는 조상기 코치님과 송림중 3학년 친구들! 마지막 용인 청소년 수련관 팀과의 경기에서 승리를 위해 사활을 걸었습니다. 마지막 경기에서는... ,KYK스포츠아카데미,https://blog.naver.com/kyk7197007,20191113
11-14 <b>농구</b> 경기 <b>참가</b>,https://blog.naver.com/chbstwo?Redirect=Log&logNo=222145047058,"다시 <b>농구</b>를 재개한지 거의 1달이 되어가는 지금. 가장 큰 성과는 슈팅이 점차 좋아지고 있고, 폐활량이 이전처럼 점점 좋아지고 있다는 점이다. 하지만 오늘 경기에서 가장 문제로 부각되는 점은 바로... ",운동하는 아재(Connecting the Dots),https://blog.naver.com/chbstwo,20201115
