title,link,description,bloggername,bloggerlink,postdate
어린이라는 세계 책 선물 / 아기 <b>도예</b> 특별<b>활동</b> / 아기 끙아주스... ,https://blog.naver.com/qlhi4?Redirect=Log&logNo=222424862867,"썬더,, <b>도예</b>시간에 접시랑 그릇 만든다고 하던데 알림장 보면 다 무너져가는 그릇 보임 잘 좀 만들어봐... 특별<b>활동</b> <b>참여</b> 덕분에 외부강사님들이랑도 시간 잘보내고 오는 썬더,, 문센 안가봤지만 얼집에서... ",썬더맘 일상로그,https://blog.naver.com/qlhi4,20210708
"부평구청소년수련관, 자녀와 함께 소통하며 <b>참여</b>하는 <b>도예</b>... ",https://blog.naver.com/withbupyeong?Redirect=Log&logNo=222037423339,"부평구청소년수련관은 관내 청소년 자녀를 둔 부모를 대상으로 청소년 자녀와 함께 소통하며 <b>참여</b>할 수 있는 청소년<b>활동</b> 체험으로 <b>도예</b>, 목공 교육을 진행합니다. 8월 4일부터 시작하는 이번 교육은 총... ",부평구청 블로그 공감부평,https://blog.naver.com/withbupyeong,20200721
"<b>참여</b> 작가 인터뷰(4) 손세은, 전설희, 토림<b>도예</b>, 유남권... ",https://blog.naver.com/designpress2016?Redirect=Log&logNo=221729093441,"일상에 윤기를 더하는 사물들 일상에 윤기를 더하는 사물들 - (<b>참여</b>작가)손세은, 전설희, 토림<b>도예</b>... 옻의 반짝이는 흑빛에 매료되어 작품 <b>활동</b>을 지속하고 있다. 이번에 선보인 &lt;옻합 시리즈&gt;는 실크스크린... ",네이버 디자인,https://blog.naver.com/designpress2016,20191206
[외부단체수업] 안양서초등학교 전학년 <b>도예</b>체험 / 부모<b>참여</b>수... ,https://blog.naver.com/clayhwang?Redirect=Log&logNo=221577003277,안양단체<b>도예</b>체험 #자유학기 #특별<b>활동</b> #진로적성체험 #5G마을체험 #5G체험학습장 #경기도교육청지정체험학습장 안녕하세요 황공방입니다. 오랜만에 블로그 포스팅을 올립니다^^ 정신없이 일하다보니...흑흑... ,"도자기 제작 및 교육의 메카 ""황공방""",https://blog.naver.com/clayhwang,20190703
"자녀와 함께 소통하며 <b>참여</b>하는 <b>도예</b>, 목공 교육",https://blog.naver.com/hhwjin?Redirect=Log&logNo=222037980353,"부평 관내 청소년 자녀를 둔 부모님들~~ 부평구청소년수련관에서 관내 청소년 자녀를 둔 부모를 대상으로 청소년 자녀와 함께 소통하며 <b>참여</b>할 수 있는 청소년<b>활동</b> 체험으로 <b>도예</b>, 목공 교육을 진행한다... ",아띠뜰,https://blog.naver.com/hhwjin,20200722
자립지원체계 구축] 구로구 거점사업  - 가족 <b>도예</b> <b>참여</b>자 모집,https://blog.naver.com/slowlearners?Redirect=Log&logNo=222407709238,"서울시<b>참여</b>예산 [느린학습자 자립지원체계 구축] 구로구 거점사업을 진행하고 있는 구로여성회에서는 부모와 자녀간 소통,협업,공감을 위한 창작<b>활동</b>으로 가족 <b>도예</b> 체험에 <b>참여</b>하실 가족을... ",느린학습자시민회 공식 블로그,https://blog.naver.com/slowlearners,20210623
호세요양원 봉사<b>활동</b> - <b>도예</b>교실,https://blog.naver.com/phl1867?Redirect=Log&logNo=221606214908,"호세요양원에서 어르신들을 위한 봉사<b>활동</b>에 <b>참여</b>했다. 이번 프로그램은 <b>도예</b>교실이다. 어르신들이 직접 흙을 만지면서 멋진 작품을 만들어냈다. <b>도예</b>는 흙의 촉감을 느끼면서 긴장이 완화되어 정서적, 심리적... ",daily,https://blog.naver.com/phl1867,20190805
다문화어울림문화지원사업--<b>도예</b>문화<b>활동</b>♡♡,https://blog.naver.com/ishfsc06?Redirect=Log&logNo=222154433139,지난11월11일(수) &lt;익산시건강가정 ·다문화가족지원센터&gt; 에서 다문화어울림문화지원사업으로 '<b>도예</b>문화<b>활동</b>'프로그램을 진행했습니다. 이 프로그램 대상은 익산시 거주 8세이상 누구나 <b>참여</b>... ,익산시건강가정다문화가족지원센터,https://blog.naver.com/ishfsc06,20201125
온라인으로 만나는 어린이<b>도예</b>(5~12세),https://blog.naver.com/seochowomen?Redirect=Log&logNo=222409968349,"그 중에서도 [어린이<b>도예</b>]는 <b>참여</b>하는 많은 어린이들에게 만족도가 높은 강좌인데요. 흙으로 도자기를... 했는데, <b>도예</b>로 만든 카네이션 브로치 너~~~무 멋지죠? 이렇게 보시는 바와 같이, 같은 <b>활동</b>을 했지만... ",서초여성가족플라자,https://blog.naver.com/seochowomen,20210625
"부모<b>참여</b><b>도예</b>수업, <b>도예</b><b>활동</b>, 서울도자기체험... ",https://blog.naver.com/sweetsong10?Redirect=Log&logNo=221659318293,그래도 아름다운 모습은 다같이 봐야겠죠~?^^ 부모<b>참여</b>수업 포스딩입니다! 아이와 마주보며 소통하는 <b>참여</b>수업! 날씨도 좋고! 도자기도 만들기 좋다! 도자기 방문체험 전문! 도유도자기와 맞춤형 체험으로... ,도유 도자기,https://blog.naver.com/sweetsong10,20190926
