title,link,description,bloggername,bloggerlink,postdate
<b>독서</b>논술 <b>참여</b>하고 한우리<b>독서</b><b>토론</b>논술로 신학기준비 탄탄하게!,https://blog.naver.com/jihye7822?Redirect=Log&logNo=221787431310,초등학교 입학하며 긴장하던 울아들 모습이 아직도 눈에 선한데 벌써 새학기준비를 해야 한다니 정말 시간이 빠르네요 요즘 울아들은 한우리<b>독서</b><b>토론</b>논술 수업 열심히 <b>참여</b>하고 있어요^^ 겨울방학 동안... ,밤곰이,https://blog.naver.com/jihye7822,20200128
2012.06.19. 나즈마의 &lt;세일즈맨의 죽음&gt; <b>독서</b><b>토론</b> <b>참여</b>후기,https://blog.naver.com/bs40828?Redirect=Log&logNo=221611196747,"나밍님이 진행하신 2012년 6월12일 &lt;세일즈맨의 죽음&gt; <b>독서</b><b>토론</b> <b>참여</b> 후기 쓴 것입니다. 원문: https://cafe.naver.com/readbook/1560836 나즈마의 아서 밀러 &lt;세일즈맨의 죽음&gt; <b>독서</b><b>토론</b> 후기 -같은 책 다시 읽기, 그리고 같은... ",나즈마의 별빛나는이야기,https://blog.naver.com/bs40828,20190809
[한우리] 한우리<b>독서</b><b>토론</b>논술 체험단으로 발대식에 <b>참여</b>! 예비... ,https://blog.naver.com/jalsalabose?Redirect=Log&logNo=221733249856,정말 정말 정말 정말 정말 운이 좋게 한우리<b>독서</b><b>토론</b>논술 체험단에 뽑혀 발대식에 참석했다. 영등포구청역에서 그리 멀지 않은 곳에 있는 한우리 본사 입구에 체험단 발대식을 알리는 배너가 보였다. 체험단... ,멀리보자!!,https://blog.naver.com/jalsalabose,20191210
"2019  하반기 책통자 개강ㅡ학부모멘토링,<b>독서</b><b>토론</b><b>참여</b>",https://blog.naver.com/lhry0?Redirect=Log&logNo=221642716694,"비경쟁<b>독서</b><b>토론</b>을 접하실 수 있도록 해드리는데요. 첫시간에 반장도 뽑으시고, 한학기동안의 <b>토론</b>진행등을 정해신답니다. 2 학기에는 1 학기 <b>참여</b>자분들이 많아서, 척척 진행하시네요. 첫 멘토링 책은 &lt;책으로... ",책.미.녀의 책 수다,https://blog.naver.com/lhry0,20190908
[제19회대한민국<b>독서</b><b>토론</b>논술대회]<b>참여</b> 신청하세요,https://blog.naver.com/gilbutschoolbook?Redirect=Log&logNo=221870576158,친구들 <b>참여</b>해 보면 좋은 경험이 될 거 같아요. 참가비도 물론 무료입니다.^^ ------------------------------------------------------ 제19회 대한민국 <b>독서</b><b>토론</b> 논술대회 예선 2020년 5월 4일 ~ 6월 5일 본선 2020년 7월 17일... ,길벗스쿨 교양팀 블로그,https://blog.naver.com/gilbutschoolbook,20200324
"오랜만에 <b>독서</b><b>토론</b>, 교보북살롱 베타테스트 <b>참여</b>",https://blog.naver.com/nhju2748?Redirect=Log&logNo=222267717942,"일요일 오후 8시 ~ 10시까지 zoom으로 진행된 교보북살롱의 '낭독&amp;<b>독서</b><b>토론</b>' 프로그램에 <b>참여</b>하였다. 아직은 정식 론칭 전이고, 에디터 su 기자단 대상으로 베타테스트를 한다길래 얼른 신청했었다. (살짝... ",PGIAH♡_ah_lm7,https://blog.naver.com/nhju2748,20210307
초등<b>독서</b>논술 웅진씽크빅 생각<b>토론</b>투게더 화상수업 <b>참여</b>후기,https://blog.naver.com/yangjinss?Redirect=Log&logNo=221866598154,"초등<b>독서</b>논술 웅진씽크빅 생각<b>토론</b>투게더 화상수업 <b>참여</b>후기 글, 사진 / 양진쓰 겨울방학이 끝나기가 무섭게 긴 봄방학을 보내고 있는 3월 아이들과 계획도 세우고 더 없이 알차게 보내고 싶었는데, 마음처럼... ",yangjinss daily,https://blog.naver.com/yangjinss,20200322
초등 <b>독서</b><b>토론</b> 서술형도 걱정없는 한솔 플라톤!,https://blog.naver.com/pm2622?Redirect=Log&logNo=222252092254,"현재 방문 초등 <b>독서</b><b>토론</b> 수업으로 한솔교육의 플라톤을 시작하였는데, 가정에서만 이뤄지는 수업이 아닌, 소규모 학원처럼 학습도 가능하고 원격 화상으로도 <b>참여</b>할수 있기때문에 학교에 가지 못하더라도... ",다채라월드,https://blog.naver.com/pm2622,20210222
&lt;감정사용설명서&gt; <b>독서</b><b>토론</b> <b>참여</b>! Feat. 화성시정신건강복지센터,https://blog.naver.com/jh19820713?Redirect=Log&logNo=222405144254,"발견한 <b>독서</b>모임 모집공지가 있어 예전에 대기신청을 해두었던것이 <b>참여</b> 가능하다고 연락이 왔다! 오예~ 그 책은 바로바로, 감정사용설명서 저자 롤프 메르클레|도리스 볼프 출판 생각의날개 발매 2020.03.07.... ",간결한 삶,https://blog.naver.com/jh19820713,20210621
"정책인문학 <b>독서</b><b>토론</b>, 청년들과 '공정'을 말하다",https://blog.naver.com/with_pen?Redirect=Log&logNo=222368360294,"다른 청년들도 <b>독서</b><b>토론</b>에 <b>참여</b>하여 생각을 넓혀가기를 바랍니다.&quot;라며 이번 <b>토론</b>에 <b>참여</b>한 소감을 밝혔습니다. 여러분은 능력주의가 정말 공정하다고 생각하시나요? 아니라면, 정말 공정한 세상을 만들기 위해... ",부산광역시교육청,https://blog.naver.com/with_pen,20210526
