title,link,description,bloggername,bloggerlink,postdate
"CONNECT, BTS 서울 동대문 <b>디자인</b> 플라자 <b>전시회</b> <b>관람</b> 후기",https://blog.naver.com/namnaraum?Redirect=Log&logNo=221796589378,"&lt; CONNECT, BTS 서울 동대문 <b>디자인</b> 플라자 <b>전시회</b> <b>관람</b> 후기 &gt; BTS의 현대 미술 전시 프로젝트인 CONNECT, BTS 서울 편이 지난 1월 28일 오픈하였다. 동대문 <b>디자인</b> 플라자에서 진행되는 본 <b>전시회</b>는 사전 예약으로만... ",남다른 남나르,https://blog.naver.com/namnaraum,20200204
인천리빙<b>디자인</b>페어 : <b>전시회</b> <b>관람</b>과 체험후기,https://blog.naver.com/yum128?Redirect=Log&logNo=222126124747,인천리빙<b>디자인</b>페어 관련 가장 좋았던 전시 내용관련 베스트와 내년 전시 관련 내용도 추가로 포스팅할 예정입니다! #인천리빙<b>디자인</b>페어 #리빙페어<b>관람</b>후기 #<b>디자인</b>하우스 #서울리빙<b>디자인</b>페어,Lucky Yum House,https://blog.naver.com/yum128,20201025
상상마당 앨런 플레처 미술<b>전시회</b> <b>디자인</b> 전공자가 <b>관람</b>... ,https://blog.naver.com/drawinart?Redirect=Log&logNo=221718113407,"미술 <b>전시회</b>! 정말 <b>디자인</b> 전공자라면 이번 전시를 통해 배우는 게 많겠다고 생각했답니다. 다만, 책이나 엽서 등이 모두 유리로 갇힌 테이블에 전시가 되어 있어서 <b>관람</b>하기가 불편했고 아이들은 테이블이... ",드로윈아트,https://blog.naver.com/drawinart,20191125
"주말, 동대문<b>디자인</b>플라자 <b>전시회</b> <b>관람</b> / 팀랩: 라이프... ",https://blog.naver.com/destiny7518?Redirect=Log&logNo=222149599380,"(일) 시간 / 10:00 ~ 20:00 장소 / 동대문<b>디자인</b>플라자 (DDP) 요금 / 성인 기준 : 20,000원 _ &quot;Life is Beautiful&quot; &quot;생명은 아름답습니다.&quot; _ 이제야 남겨보는 지난 10월의 <b>전시회</b> 감상 후기 체온 측정과 손 소독 후 티켓을... ",Stars in the blue sky,https://blog.naver.com/destiny7518,20201120
투탕카멘:파라오의 비밀 <b>전시회</b> <b>관람</b> 팁(오디오 가이드)... ,https://blog.naver.com/danyob?Redirect=Log&logNo=222409203431,저처럼 지치실 때까지 사진 찍지 마세요...ㅎㅎㅎ 또 마지막으로 <b>전시회</b> <b>관람</b>이 오래 걸린 이유가... 비밀 <b>전시회</b> 기념품샵 구경입니다. 액자인데 집에 무난하게 걸어둘 수 있는 <b>디자인</b>입니다.선물용으로도... ,"나무야, 소풍가자!",https://blog.naver.com/danyob,20210624
4650 <b>디자인</b>하우스! 감성 돋는 갤러리에서 <b>전시회</b> <b>관람</b>하고... ,https://blog.naver.com/kimyounggeoroo?Redirect=Log&logNo=222166285723,"이런 오래된 기기들도 만나볼 수 있었다 햇살 맛집 4650 <b>디자인</b> 하우스 요즘 코로나 때문에 <b>전시회</b> 같은 곳도 가기가 꺼려지는데, 이곳은 프라이빗하게 <b>관람</b>할 수 있고, 발열 체크도 철저히 하는 곳! (내부... ",거루의 일상,https://blog.naver.com/kimyounggeoroo,20201209
뉴욕 여행 #16 : 뉴욕 루이비통 <b>전시회</b> <b>관람</b>,https://blog.naver.com/ex_nee?Redirect=Log&logNo=222090875390,시간대에 <b>관람</b>하는 <b>관람</b>객들이 별로 없어서 여유롭게 <b>관람</b>이 가능했다 뉴욕의 메트로를 테마로 해둔... 루이비통 <b>디자인</b> 드레스들이 나오는 섹션으로 <b>전시회</b>는 마무리 된다 나오면 이렇게 가방끈같은걸 직접... ,센로그,https://blog.naver.com/ex_nee,20200917
동대문 <b>디자인</b> 플라자(DDP)... (teamLab : LIFE) <b>전시회</b> <b>관람</b>후기,https://blog.naver.com/dbswjddk1227?Redirect=Log&logNo=222106325790,소영이 덕분에 국제갤러리 파도 전시를 알게됐는데 <b>관람</b> 타이밍을 놓쳐서 아쉬워하던 중 DDP의 팀랩 <b>전시회</b>를 추천받아서 다녀왔다 동대문 <b>디자인</b> 플라자에서 전시중인 팀랩 : 라이프(teamLab : LIFE) 입구에 있던... ,야트막한 마음 언저리,https://blog.naver.com/dbswjddk1227,20201004
6월 <b>전시회</b> 사전 예약 오픈!... <b>디자인</b> 플라자)에서 <b>관람</b>해... ,https://blog.naver.com/sungdevilsh?Redirect=Log&logNo=222371384661,대중들을 위해서 무료 전시라고 해요  <b>관람</b>을 위해서는 공식 예약 사이트에서 사전 예약이... Maker <b>전시회</b>를 통하여 가장 가까운 거리에서 만나볼 수 있기를 바라봅니다  DDP(동대문 <b>디자인</b> 플라자)에서 진행이... ,쭈's Diary,https://blog.naver.com/sungdevilsh,20210528
[우정아트센터] 빈센트 반고흐를 만나다 <b>전시회</b><b>관람</b>,https://blog.naver.com/my_victoria?Redirect=Log&logNo=221630321681,지난 주말에는 신랑과 함께 #우정아트센터 에서 열린 #빈센트반고흐를만나다 #<b>전시회</b> 를 <b>관람</b>하고... 불변의 진리같다는 생각 :) 마고노자의 프로포즈링은 6프롱과 4프롱 두 가지 <b>디자인</b>으로 나와있어요. 최상급... ,빅토리아의 참새방앗간♡,https://blog.naver.com/my_victoria,20190827
뮤지엄 오브 컬러63 서울 미술<b>전시회</b> <b>관람</b> &amp; 빌딩 전망대 뷰,https://blog.naver.com/stiusworld?Redirect=Log&logNo=222415932879,"오늘은 서울 미술<b>전시회</b> 소개를 해볼까 해요. 바로 뮤지엄 오브 컬러63 라는 <b>전시회</b> 인데요. 이름에서... 캐릭터 <b>디자인</b>을 접목한 곳입니다. 단순히 그림으로 끝나는것보단 아무래도 미디어아트, 팝아트 를... ","여행, 맛집, 방탈출을 즐기는 한 남자의 이야기",https://blog.naver.com/stiusworld,20210701
