title,link,description,bloggername,bloggerlink,postdate
"시각<b>디자인</b>과, 환경의 날을... 환경을 위한 배려’봉사<b>활동</b> <b>참여</b>",https://blog.naver.com/ysueroomy?Redirect=Log&logNo=222001385128,"봉사<b>활동</b>에 <b>참여</b>한 시각<b>디자인</b>과 양희준 학생(2학년, 21세)은 “이번 봉사<b>활동</b>을 통해 환경보호실천에 동참할 수 있어 행복했다”며 “다음에도 자신의 재능 기부를 통해 누군가에게 도움이 되고 싶다”고... ","학생의 성장을 돕는 교육혁신의 중심, 연성대학교",https://blog.naver.com/ysueroomy,20200615
시각<b>디자인</b>계열 초곡초등학교... 재능기부 봉사<b>활동</b> <b>참여</b>,https://blog.naver.com/sunlindae?Redirect=Log&logNo=221694850287,"선린대학교 시각<b>디자인</b>계열이 지난 10월 8일(화), 13일(일), 20일(일) 초곡초등학교 실내벽화그리기... 이번 벽화그리기 봉사<b>활동</b>에 <b>참여</b>한 재학생들은 “수업과 졸업작품전 등 바쁜 일정에도 불구하고... ",선린대학교 공식블로그,https://blog.naver.com/sunlindae,20191101
평택 동화어린이집 행사 특별<b>활동</b>키트 부모<b>참여</b> 가족원예수업,https://blog.naver.com/miyaa1212?Redirect=Log&logNo=222404802647,어린이집 행사 부모<b>참여</b> 가족원예수업 테라리움 만들기 특별<b>활동</b> 식물<b>디자인</b>공방 MIMI그라스 평택에 있는 동화어린이집으로 부모<b>참여</b>수업에 사용할 테라리움 특별<b>활동</b> 키트가 배송되었네요. 96가족들과... ,원예통합교육 미미그라스,https://blog.naver.com/miyaa1212,20210621
2021 제5기 <b>디자인</b>솔루션 랩 <b>참여</b>학생 모집,https://blog.naver.com/hope_city?Redirect=Log&logNo=222417457733,"우수 <b>참여</b>기업에게는 <b>디자인</b> 결과물과 함께, 전문 디자이너의 컨설팅 기회도 제공됩니다. 사업개요... 패키지 <b>디자인</b>, 포장 <b>디자인</b>, 앨범 커버 ○ 지원내용 1) <b>디자인</b> 솔루션 랩 수료증 제공 2) 프로젝트 <b>활동</b>... ",의정부시 공식 블로그,https://blog.naver.com/hope_city,20210702
"제주도, 2021년 도민<b>참여</b> 정책<b>디자인</b> 본격 가동",https://blog.naver.com/happyjejudo?Redirect=Log&logNo=222380568386,- 제주도·서귀포시 국민<b>디자인</b>단 구성 완료 …<b>디자인</b>프로세스 진행 중 - - 국민<b>디자인</b>단 <b>활동</b> 통해... 국민<b>디자인</b>단을 구성하고 정책 과정 전반에 함께 <b>참여</b>해 공공 서비스를 개발·개선시켜 나가는 국민 <b>참여</b>형... ,제주특별자치도,https://blog.naver.com/happyjejudo,20210602
fa::bility 공모전 <b>참여</b><b>활동</b> [ 넥타이 <b>디자인</b> 공모전 ],https://blog.naver.com/e-fashion?Redirect=Log&logNo=221663680802,국제대학교 e-패션학과 전공 동아리 fa::bility 에서 [ 넥타이 <b>디자인</b> 공모전 ]에 <b>참여</b>에 관한 <b>활동</b>을 시작합니다. 관심있는 학우들의 많은 <b>참여</b> 부탁드려요~~ 상세한 응모방법은 다음과 같습니다. 1) 작품... ,kookje e-fashion.net,https://blog.naver.com/e-fashion,20190930
'함께하는 사랑밭' 국내 기부/NGO 단체 봉사<b>활동</b> <b>참여</b>했어요~,https://blog.naver.com/jihye7822?Redirect=Log&logNo=221659728179,한 <b>디자인</b>이 되어있어요~~ 블루톤 어깨 끈이랑 컬러링이 잘 어울리는 거 같아서 이렇게 보니 더 예쁜 듯... 봉사<b>활동</b> <b>참여</b>하게 되었는데요 오늘 행사를 <b>참여</b>하면서 느낀 건 봉사는 멀리 있는 게 아니구나... ,밤곰이,https://blog.naver.com/jihye7822,20190926
AnsonChen이 <b>디자인</b>에 <b>참여</b>한 '진주 목걸이... ,https://blog.naver.com/allproducer?Redirect=Log&logNo=222366325147,DJ<b>활동</b>도 하고있죠. 해당 배우는 #남자진주목걸이 를 하는 부분으로 &quot;성별 상관없이&quot; 남자도 진주목걸이가 잘어울리는 모습을 보여주고 있었는데 <b>디자인</b> <b>참여</b>까지한 #진주목걸이... ,"""global contents media"" allproducer",https://blog.naver.com/allproducer,20210525
"[더그림] 학생<b>참여</b> 벽화봉사, 벽화체험 봉사<b>활동</b>",https://blog.naver.com/ideakim76?Redirect=Log&logNo=221804852358,"시안 <b>디자인</b> 콘셉트 학생<b>참여</b> 벽화봉사, 벽화체험 봉사<b>활동</b> 시안은 무녀도의 풍경을 넣어달라는 요청이 있으셨습니다 섬이 많은 무녀도의 풍경을 보고 저희 더그림이 아이들에게 어울리는 그림체로 작업을... ",더그림벽화봉사_벽화전문기업,https://blog.naver.com/ideakim76,20200211
삼화페인트 캔 업사이클 <b>디자인</b>공모전에 <b>참여</b> 해보세요~!,https://blog.naver.com/samhwa2016?Redirect=Log&logNo=222020138629,환경보호 <b>활동</b>에 적극 <b>참여</b>해보시는건 어떨까요? 삼화페인트 페인트 캔 업사이클 <b>디자인</b> 공모전 업사이클링을 통한 제품화 및 <b>디자인</b>공모전에 관심 있는 사람이라면 누구든지 <b>참여</b>할 수 있어요~! 캔... ,삼화페인트 공식블로그,https://blog.naver.com/samhwa2016,20200703
대학생 대외<b>활동</b> :: 청소년<b>참여</b>위원회 서포터즈 모집,https://blog.naver.com/bookcot?Redirect=Log&logNo=222311191879,"콘텐츠 <b>디자인</b>) - 청소년 자치 <b>참여</b><b>활동</b> 퍼실리테이터 (총회, 정례회, 임시회 등 정책제안과정 진행 및 <b>참여</b>) - 청소년 및 청년멘토와 교류 ■ <b>활동</b>기간 2021년 5월 ~ 2021년 12월 (8개월) ■ <b>활동</b>지역... ",ggumjirak.org,https://blog.naver.com/bookcot,20210415
<b>디자인</b> 관련전공 관심있는 학생 <b>참여</b>할만한 대회,https://blog.naver.com/drsjay?Redirect=Log&logNo=222005077357,막연히 [<b>디자인</b>] 전공에 관심이 있을 경우 그러나 구체적으로 방향을 정하기 어려울 경우 머리 속에 생각하고 있는 것들을 자료 검색을 통해 배경 지식을 넓힌 후 대회 <b>참여</b>나 교내외 <b>활동</b>에 적극적으로 <b>참여</b>해... ,닥터에스제이의 허.심.탄.회.한 교육이야기,https://blog.naver.com/drsjay,20200618
[생활SOC RCC]안산화랑초등학교 통학로 담장벽화 봉사<b>활동</b> <b>참여</b>,https://blog.naver.com/caulincplus?Redirect=Log&logNo=222337050594,오늘은 중앙대학교 LINC+사업단의 안산화랑초등학교 통학로 담장벽화 봉사<b>활동</b> <b>참여</b> 소식을 전달해 드리겠습니다. 안산화랑초 통학로 담장벽화 봉사<b>활동</b> 중앙대학교 예술대학 실내환경<b>디자인</b>전공 학생들이... ,중앙대학교 링크사업단,https://blog.naver.com/caulincplus,20210504
"4월, 예술<b>활동</b>증명 받고 다양한 복지사업에 <b>참여</b>하세요!",https://blog.naver.com/cbfc1130?Redirect=Log&logNo=221864104918,"4월, 예술<b>활동</b>증명 받고 예술인 복지 사업에 <b>참여</b>하세요! 예술<b>활동</b>증명 관련 Q&amp;A! Q1.... 문학 / 미술(일반, <b>디자인</b>공예, 전통미술) / 사진 / 건축 / 무용 / 음악(일반, 대중음악) / 국악 / 연극 / 영화 / 연예... ",충북문화재단 공식블로그,https://blog.naver.com/cbfc1130,20200320
