title,link,description,bloggername,bloggerlink,postdate
&lt;아이와 함께 교환 <b>만화</b>&gt; 워크숍 <b>참여</b> 신청,https://blog.naver.com/loveyhcha?Redirect=Log&logNo=222416052266,포착하고 <b>만화</b>로 그려보는 경험은 지나쳐 보내기 쉬운 순간들을 삶의 일부로서 기록하는 <b>활동</b>이... 분들의 <b>참여</b>를 부탁드립니다. 본 프로그램은 2회에 걸쳐 진행됩니다. 1회차에는 부모와 자녀의... ,편린의 일상다이어리,https://blog.naver.com/loveyhcha,20210701
[대외<b>활동</b>] 부천국제<b>만화</b>축제 BICOF 온라인 서포터즈 지원 및... ,https://blog.naver.com/qasz64582?Redirect=Log&logNo=222123340007,"저같은 경우는, <b>만화</b>축제에 지원하는 것이기 때문에 <b>만화</b>를 좋아하게 된 계기와, <b>만화</b>와 관련된 행사 <b>참여</b> 경험을 어필했습니다! 그리고 아마추어 동인행사 스텝 <b>활동</b> 및 최근 대외<b>활동</b> 경력도 어필하면서... ",PINK MAGIC,https://blog.naver.com/qasz64582,20201022
누구나 <b>참여</b>할 수 있는 &lt;2020 주민자치 UCC·<b>만화</b> 공모전... ,https://blog.naver.com/coworkingspace_kn?Redirect=Log&logNo=222146719176,"지속적인 <b>참여</b>를 촉진하기 위해 &lt;2020 주민자치 UCC·<b>만화</b> 공모전&gt;을 진행한다고 합니다.... 방안(<b>활동</b>에서 <b>참여</b>로) * 기타, 주민자치와 관련된 공모전 취지를 살릴 수 있는 내용 전반 ■ 응모방법... ",여성창업플랫폼 <경기북부꿈마루> BLOG,https://blog.naver.com/coworkingspace_kn,20201117
국어/미술 통합 수업 <b>활동</b> - <b>만화</b> 영화 제작하기,https://blog.naver.com/galentine1?Redirect=Log&logNo=222146763029,6학년 2학기 미술 중 9단원 <b>만화</b>와 애니메이션 (총6차시분량) -<b>만화</b>와 애니메이션의 특징 살펴보기... 이번 <b>활동</b>에서는 누구보다도 더 적극적으로 <b>참여</b>하고 내가 평소에 보지 못했던 연기력을 발휘하여... ,소소한 블로그,https://blog.naver.com/galentine1,20201117
[주민<b>참여</b>예산] <b>만화</b>로 살펴보기-2 / 대구의 주민<b>참여</b>예산,https://blog.naver.com/dhdbwls57?Redirect=Log&logNo=222374591965,이번에는 저번 편에 이어 두번째 &quot;대구시 주민<b>참여</b>예산&quot;에 관한 <b>만화</b>를 가지고 왔습니다. 지난 편... 100명의 위원들은 1년간 <b>활동</b>을 하게 되고 1회에 한한 연임이 가능합니다. 14명의 운영위원회와 경제도시... ,열아홉 화양연화(花樣年華),https://blog.naver.com/dhdbwls57,20210530
초등경제학습<b>만화</b>~글로벌경제 리더십포인트  howso 독후<b>활동</b>... ,https://blog.naver.com/yhyqw123?Redirect=Log&logNo=221668339546,"초등경제학습<b>만화</b> 읽고 독후<b>활동</b>하기! 생각을 글로 표현하기 참 중요하죠~ 차분히~ 책을 읽고 배운... 15년 뒤, 이 실험에 <b>참여</b>했던 아이들을 조사해 보았더니, 먹고 싶은 유혹을 참아 낸 아이들은 욕구를 잘... ",♥소소한걸 뷰티 리뷰 하우스 Happy House♥,https://blog.naver.com/yhyqw123,20191004
"<b>만화</b>창작과에 대하여, 진로 탐색 <b>활동</b>과 대학 주요 교과목 등",https://blog.naver.com/right-now?Redirect=Log&logNo=222293901415,탐색 <b>활동</b>】 ▶ 인체 드로잉북 만들기 - <b>만화</b>에서는 사람의 다양한 몸짓과 풍부한 표정을 표현할 줄... ▶ <b>만화</b> 축제 참가 - 부천 국제 <b>만화</b> 축제를 비롯한 <b>만화</b>축제에 <b>참여</b>해 보세요. 현대적 흐름을... ,교육의 필수 파트너 :: 맘띵,https://blog.naver.com/right-now,20210401
<b>만화</b>축제 프로젝트전시 ‘독립에서 독립하기’ 특별전 <b>참여</b>,https://blog.naver.com/cpfmsl0516?Redirect=Log&logNo=222091335928,"한국에서 <b>활동</b>하고 있는 16명의 독립<b>만화</b>가의 새로운 단편<b>만화</b>를 온·오프라인에서 만날 수 있는 전시! 전시일정 : 2020년 09월 19일(토) ~ 09월 27일(일) <b>참여</b>작가 : 공기, 굄, 김마토, 예묘, 바지, 불친... ",기록합니다,https://blog.naver.com/cpfmsl0516,20200916
CG반 <b>활동</b> 소개 &lt; 공모전 참가 &gt; ★ 강동 애니톡 <b>만화</b>학원,https://blog.naver.com/gksmfdnfxkfl?Redirect=Log&logNo=222410677928,"많이 <b>참여</b>하는 공모전입니다. 접수 및 심사, 유저들의 투표까지 끝나고 지난 6월 초에 드디어 결과가... 강동 애니톡 <b>만화</b>학원 CG반의 다른 <b>활동</b>은 아래의 링크를 통해 확인하실 수 있습니다. &lt; CG반 커리큘럼... ",강동만화학원 애니톡,https://blog.naver.com/gksmfdnfxkfl,20210626
<b>만화</b>공모전’ 23일까지-카카오엔터테인먼트 협력사로 <b>참여</b>... ,https://blog.naver.com/tldhsrlawkdd?Redirect=Log&logNo=222369709556,"대한민국창작<b>만화</b>공모전’에 카카오엔터테인먼트가 협력사로 <b>참여</b>, 수상작에는 카카오페이지 작품... 창작 <b>활동</b> 환경을 지원하고자 한다. 비수상자에게는 K-Comics 아카데미 피드백 과정을 연계한 공모전... ",슈퍼파워블로거 연극도서관 극작가 겸 소설가 김장운,https://blog.naver.com/tldhsrlawkdd,20210527
【리뷰단 모집】 대원씨아이 <b>만화</b>백화점에 오신 것을... ,https://blog.naver.com/daiwon_ci?Redirect=Log&logNo=222354610931,★ 대원씨아이 리뷰어답터 모집 OPEN ★ &quot;대원씨아이 <b>만화</b>백화점에 오신 것을 환영합니다!&quot; 누구보다... 꾸준한 <b>활동</b> <b>참여</b> - 장기 <b>활동</b>자 대상 우대 사항이 많은 편이므로 꾸준히 <b>참여</b> 유지해주실 것을... ,*..DWCi_Blog..*,https://blog.naver.com/daiwon_ci,20210517
부천국제<b>만화</b>축제 자원<b>활동</b>가!!! 비코프렌즈 모집,https://blog.naver.com/komacon01?Redirect=Log&logNo=222412945799,자원<b>활동</b>가 기<b>참여</b>자 ○ <b>만화</b> 및 애니메이션 관련 학과 재학생 또는 <b>만화</b>를 사랑하는 모든 사람 ○ 뉴미디어를 통해 부천국제<b>만화</b>축제 홍보를 적극 실행가능한 사람 ※ 홍보팀 해당 모집분야 구 성... ,한국만화영상진흥원 공식 블로그,https://blog.naver.com/komacon01,20210628
&lt;나래꿈터 <b>만화</b>동아리&gt; <b>만화</b> 공모전과 동아리 <b>활동</b>으로 꿈... ,https://blog.naver.com/2hyeono?Redirect=Log&logNo=220202478809,<b>만화</b>동아리 <b>활동</b>으로 다양한 체험 및 창작<b>활동</b> <b>참여</b> <b>만화</b> 공모전에 이어 ‘나래꿈터’에서는 중·고등학생들이 동아리 <b>활동</b>을 통해 다양한 체험<b>활동</b>과 창작<b>활동</b>을 할 수 있도록 지원하고 있다. 지난... ,대치동 리포터,https://blog.naver.com/2hyeono,20141206
'<b>만화</b>애니메이션학과' 특성 및... 비교과 학생부 <b>활동</b> 추천,https://blog.naver.com/zezelibrary0909?Redirect=Log&logNo=222265438789,"0 - 전공ㆍ적성 개발 길라잡이] 진로 탐색 <b>활동</b> <b>만화</b>축제 참가 - 부천국제<b>만화</b>축제를 비롯한 <b>만화</b>축제에 <b>참여</b>해 보세요. 현대적 흐름을 이해할 수 있고, 다양한 종류의 <b>만화</b>를 만나볼 수 있습니다. 스토리보드... ",제제 독서실,https://blog.naver.com/zezelibrary0909,20210305
"학교 2021, <b>만화</b> 속 열혈 학교생활! 1탄!! <b>만화</b> 추천!",https://blog.naver.com/haksan_comic?Redirect=Log&logNo=222431238548,"학교 2021, ⭐<b>만화</b> 속 열혈 학교생활!⭐ 1탄, 동아리<b>활동</b> ※반모입니다※ 토닥토닥. 이번에도 쉽지 않은... 카루타'에 <b>참여</b>하는데 (′σωσ`)ﾉ 셋이 공통의 목표로 팀워크를 형성하며 짜릿함을 맛보는 아이들... ",학산문화사 공식 블로그,https://blog.naver.com/haksan_comic,20210716
부천국제<b>만화</b>축제를 체험하고 백만송이장미원과 상동호수공원... ,https://withbeatles.tistory.com/1845,"등이 <b>참여</b>하며 전시, <b>만화</b>콘텐츠페어, 세계어린이<b>만화</b>가대회, 경기국제코스프레페스티벌, <b>참여</b>행사가... 사회복지<b>활동</b>을 활발하게 펼치고 있다. 불자들의 신행단체가 활발하게 <b>활동</b>을 하고 있으며 불자들의... ",올려다보면 하늘 내려다보면 바다.,https://withbeatles.tistory.com/,20210520
