title,link,description,bloggername,bloggerlink,postdate
빛고운춤 10인전 한국<b>무용</b> <b>공연</b><b>관람</b>,https://blog.naver.com/happylife_mi?Redirect=Log&logNo=221631603304,한국<b>무용</b> <b>공연</b>을 보고 왔습니다. 한사모 회원이라 티켓비도 완전 저렴하게 구매했지요 히히 무려... 무대와는 다르게 <b>관람</b>객 매너는 똥이였어요 ^^... 양옆에서 번갈아가며 핸드폰봐가며 눈뽕질에 자리이탈... ,동팔이의 즐거운상삶,https://blog.naver.com/happylife_mi,20190830
거리두기 지키며 창작산실 <b>무용</b> 고블린파티 소극적적극 <b>관람</b>하기,https://blog.naver.com/poiu044?Redirect=Log&logNo=222258977309,"빠르게 티켓 예매하셔서 대학로 <b>공연</b>, 믿고 보는 창작 산실 <b>무용</b> <b>공연</b> <b>관람</b>으로 일상의 행복을 찾아보세요. 그리고 쉿! 여니스트 혜연도 찬조 출연으로 함께 한답니다. 평소 찐팬으로 존경하고 좋아하던... ",사람과 예술을 이어주는 예술가,https://blog.naver.com/poiu044,20210227
放吾齋日記 2021. 3. 6. <b>무용</b> <b>공연</b> <b>관람</b>하고 좋은 분들 만나다,https://blog.naver.com/lestofilos?Redirect=Log&logNo=222266066336,(16:00-17:50) 아주 아주 오랜만에 <b>공연</b> <b>관람</b> ... 6. (15:50) 조계사 앞에서 멋진... (18:40) 지공知空거사가 될 때까지 <b>무용</b><b>공연</b>을 본 것이 오늘로 두번째이다. 내 기억에 1988년... ,香山의 세상이야기 - 葉落糞本!,https://blog.naver.com/lestofilos,20210306
2020.8.11.고양댄스컴퍼니(한국<b>무용</b>) 학교방문 <b>공연</b> <b>관람</b>... ,https://blog.naver.com/thskrl019?Redirect=Log&logNo=222157764166,고양댄스컴퍼니팀의 한국<b>무용</b> <b>공연</b>을 <b>관람</b>하였습니다. 한국 전통 <b>무용</b>과 퓨전 <b>무용</b> 등을 통해서 우리나라 전통 춤의 아름다움을 알 수 있었습니다. 마지막 순서로 전교어린이회장이 우리마을에서 수확한... ,귀둔초등학교(강원 인제) 홍보 블로그,https://blog.naver.com/thskrl019,20201129
[한국<b>무용</b>전공반] 99아트컴퍼니 <b>공연</b><b>관람</b>,https://blog.naver.com/ewhadance3?Redirect=Log&logNo=222414815691,"6월 25일, 전공반 아이들과 함께 효영선생님이 출연하신 99아트컴퍼니의 &lt;침묵&gt; <b>관람</b>하고 왔어요.... 입시<b>무용</b>전문학원 #<b>무용</b><b>공연</b> #한국<b>무용</b> #마포맘 #홍제동발레 #평창동발레학원 #홍은동발레학원 #dmc<b>무용</b>학원... ",이화세종무용학원,https://blog.naver.com/ewhadance3,20210630
네이버tv로 언택트 <b>공연</b> <b>관람</b> 후기! <b>무용</b>&lt;돌&gt;,https://blog.naver.com/ksmiksmi?Redirect=Log&logNo=222264471574,올해의신작 <b>무용</b>&lt;돌&gt;을 호기심 속에 <b>관람</b>했다. 몇 명의 저승사자들의 등장으로 무대의 막이 열린다. 흙을 만지고 있는 저승사자는 마치 인간은 죽으면 흙으로 돌아간다는 걸 암시해주는 듯 했다. 이 <b>공연</b>의... ,미야 일기장,https://blog.naver.com/ksmiksmi,20210304
<b>공연</b>예술 창작산실 &lt;평안하게 하라&gt; 대학로 <b>무용</b> <b>공연</b> <b>관람</b> 후기,https://blog.naver.com/ohoh3250?Redirect=Log&logNo=222172944529,"<b>공연</b>예술 창작산실 올해의 신작 &lt;평안하게 하라&gt; <b>무용</b><b>공연</b> <b>관람</b>후기 안녕하세요, 오늘도 빛나리입니다! 빛나리가 <b>공연</b>과 전시를 너무 좋아하는것 이웃님들이 모두 아실텐데요! 주말동안 빛나리는 <b>공연</b>예술... ",오늘도 빛나리❤,https://blog.naver.com/ohoh3250,20201214
<b>무용</b><b>공연</b> [윤전일 DANCE EMOTION : 사랑에 미치다] <b>관람</b>후기... ,https://blog.naver.com/happliyea?Redirect=Log&logNo=222433063754,한시간이 어떻게 지나갔는지 모르게 벌써 끝났어?!?!라는 말이 저절로 나오는 그런 <b>공연</b>이었다ㅜㅜㅜ 이 <b>공연</b>을 보고난 후에 <b>무용</b><b>공연</b>에 빠져서 다른 <b>공연</b>들이 더 없나 찾아보게 되더라. 정말 하고 싶은... ,Happliy Ever After :>,https://blog.naver.com/happliyea,20210716
*ILLUSION 현대<b>무용</b> <b>공연</b> <b>관람</b>* 노원 <b>무용</b>학원/현대<b>무용</b> 입시... ,https://blog.naver.com/doobookiki?Redirect=Log&logNo=222337028268,현대<b>무용</b><b>공연</b> 넘넘 재밌었고 <b>무용</b>에 대한 열정이 폭발했다며 열심히해야겠다는 각오를 새기고 온 듯 합니다. 앞으로 남은 콩쿨과 입시까지 지치지않고 좋은결과 있길.. 서울시 노원구 상계동 보람상가3층... ,*이유리무용아카데미_노원상계동 한국무용전문학원,https://blog.naver.com/doobookiki,20210504
"[한국<b>무용</b><b>공연</b>] &quot; 무트댄스, 김영희 예술의 꽃을 피우다 &quot; <b>관람</b>... ",https://blog.naver.com/wooys6514?Redirect=Log&logNo=222413084341,#한국<b>무용</b> #무트댄스 #한국<b>무용</b><b>공연</b> 이화여자대학교 삼성홀에서 진행된 2021년도 무트댄스 정기<b>공연</b> 중 첫 번째 작품 &lt;호흡 II&gt; 에 음악 편집으로 참여했습니다 :) Part 1. 호흡 Ⅱ [ Revealing Breath II ] 故 김영희... ,Feelize Studio 음악임용고시 / 무용음악제작,https://blog.naver.com/wooys6514,20210628
<b>무용</b>계의 연례 행사~~  서울<b>무용</b>제 한국<b>무용</b> <b>공연</b>을 <b>관람</b>하러가다!,https://blog.naver.com/golden_cats?Redirect=Log&logNo=221712501459,안녕하세요 골든캣츠입니다~^^ 이번에 골든캣츠의 가족들과 <b>무용</b>계의 연례 행사~~ 서울<b>무용</b>제 <b>공연</b>을 <b>관람</b>하러 가게 되었는데요~!^^ 서울<b>무용</b>제 <b>공연</b> https://search.naver.com/search.naver?sm=top_hty&amp;fbm=1&amp;ie=utf8... ,Golden CATs,https://blog.naver.com/golden_cats,20191119
2020 모다페 현대<b>무용</b> <b>공연</b> 개막작 <b>관람</b> 후기 김설진 무버 최고,https://blog.naver.com/ysryung?Redirect=Log&logNo=221966877234,"2020 모다페 Modafe 현대<b>무용</b> <b>공연</b> 개막작 <b>관람</b> 후기 김설진 무버 최고 #모다페 #modafe #2020모다페 #현대<b>무용</b><b>공연</b> #현대<b>무용</b> #김설진 #무버 2020.05.15-16 모다페 2020의 개막작이 금,토 연이어 <b>공연</b>을 했다 현재... ",Sview,https://blog.naver.com/ysryung,20200517
현대<b>무용</b> <b>공연</b>보러 오세요... (50분)/8세이상<b>관람</b>가능... ,https://blog.naver.com/shineballet?Redirect=Log&logNo=222061061458,두시고 <b>관람</b> 가시면 좋을 거 같아요~~~^^*♡♡♡ 다들 즐거운 주말 되세요~~~^^♡♡♡ #<b>무용</b><b>공연</b> #현대<b>무용</b> #물속골리앗 #컨템 #광명시민회관 #대극장 #8월18일 #4시 #7시30분 #광명 #<b>공연</b> #세종샤인발레... ,세종샤인발레학원,https://blog.naver.com/shineballet,20200815
성수아트홀 고블린파티 놀이터 <b>무용</b><b>공연</b><b>관람</b> 봄데이트추천,https://blog.naver.com/poiu044?Redirect=Log&logNo=222308844947,"Y O N I S T 우리의 일상을 예술로 만들어 주는 믿고 보는 여니스트 <b>무용</b> <b>공연</b> 어른이를 위한 움직임 &lt; 놀... 연락처, <b>공연</b> <b>관람</b> 날짜, 매수 * 고블린파티는 방역에 만전을 기하여 * 안전한 <b>공연</b> 만드는 것에... ",사람과 예술을 이어주는 예술가,https://blog.naver.com/poiu044,20210413
驪珠香山의 放吾齋日記 2021. 5. 27. <b>무용</b> <b>공연</b> <b>관람</b>하다,https://blog.naver.com/lestofilos?Redirect=Log&logNo=222369262632,(22:00) 고향의 멋진 후배들과 국립<b>무용</b>단 <b>공연</b> &quot;빨래&quot; <b>관람</b>하고 집으로 가는 중. 음악이 전체 <b>공연</b>을 아주 잘 살려냈다. <b>공연</b>장에서 오랜 페친을 우연히 만났다. 매일 페북에서... ,香山의 세상이야기 - 葉落糞本!,https://blog.naver.com/lestofilos,20210527
