title,link,description,bloggername,bloggerlink,postdate
탄생 100주년 <b>문학</b>인 기념<b>문학</b>제 - &quot;<b>문학</b>의 밤&quot; <b>행사</b>에 <b>참여</b>한... ,https://blog.naver.com/namy775?Redirect=Log&logNo=222314692395,이 <b>문학</b>의 밤 <b>행사</b>에 이승윤 님이 몇 년간 <b>참여</b>해온 것이다. 여기서 최지인 님을 만나 친분을 쌓았고 '1995년 여름'이라는 명곡이 세상에 나오게 되었던 것. 크-으! # <b>행사</b> 소개 # 2018 탄생 100주년 <b>문학</b>인... ,나에 대한 지극히 개인적인 기록들,https://blog.naver.com/namy775,20210418
한국<b>문학</b>포럼 &lt;미스터리와 한국사회&gt; <b>행사</b> <b>참여</b> 소식,https://blog.naver.com/gozknock?Redirect=Log&logNo=221674478601,1부 <b>행사</b>는 한국 추리소설의 원로 김성종 작가님이 기조 강연을 진행하시며 일본 사회파 추리소설을... 많은 관심과 <b>참여</b> 부탁드립니다. 감사합니다. 한국근대<b>문학</b>관 한국<b>문학</b>포럼 &lt;미스터리와 한국사회&gt; 일시... ,고즈넉이엔티: Stories Beyond Your Imagination,https://blog.naver.com/gozknock,20191011
"프랑스 <b>문학</b>, 좋아하나요? (21년 1월 온라인 <b>행사</b><b>참여</b>)",https://blog.naver.com/artstudies?Redirect=Log&logNo=222214000044,"프랑스 문화부( Ministere de la Culture ) 가 주관,전세계에서 &lt;<b>문학</b>의 밤&gt;<b>행사</b>를 한다고 해요. 온라인 <b>참여</b>가 가능한데요.... 음.... 프랑스 정부기관 <b>행사</b>라서 진행언어는 프랑스어예요. 이번 Nuit de la... ",예술.일반(이지아트유학),https://blog.naver.com/artstudies,20210121
<b>문학</b>공원 봄맞이 식목<b>행사</b> 아름다운 공원 가꾸기,https://blog.naver.com/yesuw21?Redirect=Log&logNo=222337320502,내손1동 <b>문학</b>공원 식목<b>행사</b> 거름으로 사용할 배양토와 <b>문학</b>공원에 식재할 연산홍도 <b>문학</b>공원에 가져다 놓아 식목<b>행사</b>를 준비하였습니다. 식목<b>행사</b>에 <b>참여</b>한 주민자치위원들은 내손1동 주민센터 앞에 모여... ,의왕e야기,https://blog.naver.com/yesuw21,20210511
"[블로그 기자] <b>문학</b> 주간, 울산의 <b>문학</b><b>행사</b>",https://blog.naver.com/ulsan-namgu?Redirect=Log&logNo=222147674798,"9월 26일부터 11월 30일까지 전국적으로 <b>문학</b> 주간 <b>행사</b>가 펼쳐지고 있습니다. 올해로 5회째를 맞는 <b>문학</b>... 100여 명의 작가가 <b>참여</b>하는 작가 스테이지, 퀴즈쇼의 형태를 빌려 <b>문학</b>작품에 대해 흥미롭게 소개해... ",울산광역시 남구 블로그,https://blog.naver.com/ulsan-namgu,20201118
창원아동<b>문학</b>상 시상식 및 수상작 콘텐츠 <b>행사</b>,https://blog.naver.com/cwopenspace?Redirect=Log&logNo=221705333413,"중창단이 <b>참여</b>한 ‘동요 부르기 대회’를 개최하였습니다. 동요 대회 시작 전, 축하공연으로 기획된... 창원아동<b>문학</b>상 <b>행사</b>는 시상식 뿐 아니라 다양한 부대<b>행사</b>도 즐기고 아동<b>문학</b>에 대한 정보를 얻을 수 있는... ",창원시 공식 블로그,https://blog.naver.com/cwopenspace,20191112
스페인 <b>문학</b>의 정수를... ‘돈키호테 연속읽기’ 한국대표로 <b>참여</b>,https://blog.naver.com/cufspr?Redirect=Log&logNo=222318122005,"세르반테스 <b>문학</b>상 수상자’인 시인 조앙 마르가리트(Joan Margarit)가 첫 주자로 나섰고, 스페인 왕위 계승자인 레오노르(Leonor) 공주와 동생 소피아(Sofía) 공주도 제1장 낭독에 <b>참여</b>하며 본 <b>행사</b>의 중요성을... ",사이버한국외국어대학교,https://blog.naver.com/cufspr,20210421
"[대학로 <b>행사</b>] <b>문학</b>으로 물들여진 마로니에 공원, 백일장 현장... ",https://blog.naver.com/jump_arko?Redirect=Log&logNo=221677325301,"전통과 역사가 있는 마로니에 전국여성 백일장 <b>문학</b>으로 물들여진 마로니에 공원, 백일장 현장 방문기... 하지만 미처 사전접수를 하지 못한 분들, 우연히 마로니에 공원을 방문하셔 <b>행사</b> <b>참여</b>를 결심하신... ",예술의 향기,https://blog.naver.com/jump_arko,20191014
"한국<b>문학</b>번역원, 2021 타이베이국제도서전 주빈국 <b>문학</b><b>행사</b>... ",https://blog.naver.com/itlk?Redirect=Log&logNo=222213820195,"엿새 동안 △한국 작가존 서가 운영, △‘키워드로 보는 한국<b>문학</b>’영상 상영, △한국<b>문학</b> 대만 출간 기념회 등 다채로운 <b>문학</b><b>행사</b>가 펼쳐집니다. 한국 작가들은 비대면 방식으로 이벤트존 <b>행사</b>에 <b>참여</b>할... ",한국문학번역원 블로그(LTI Korea),https://blog.naver.com/itlk,20210120
(110회) 7월 8일 경희여중 <b>문학</b>성큼성큼 <b>행사</b> 현장 공개(이경혜... ,https://blog.naver.com/kickkick99?Redirect=Log&logNo=222426480480,(<b>문학</b> 성큼성큼 누적 총 110번째 <b>행사</b>) 이날 경희여중 학생들과 함께 만났던 작품은 이경혜 작가의 청소년 단편소설 &lt; 저주의책&gt;. 늘 그렇듯 청소년들이 <b>참여</b>해 함께 만들어가는 방식으로 진행했습니다. 사회자... ,청소년문화웹진 '킥킥',https://blog.naver.com/kickkick99,20210710
