title,link,description,bloggername,bloggerlink,postdate
19년 5월 <b>뮤지컬</b> <b>관람</b> 일기,https://blog.naver.com/jeonghee46?Redirect=Log&logNo=222262902345,(이날보고 재밌어서 6월에도 또 봤던 기억이 ㅋㅋㅋㅋ) 5월 25일에는 부산 벡스코 오디토리움에서 한 <b>뮤지컬</b> 레미제라블 프랑스 오리지널팀 내한 콘서트 <b>관람</b> <b>관람</b> 전에 벡스코 안에 스벅에서 신메뉴 체험하기... ,일상그리기,https://blog.naver.com/jeonghee46,20210303
<b>뮤지컬</b> 위키드 <b>관람</b> _ 6월 16일,https://blog.naver.com/gyjun18?Redirect=Log&logNo=222403206532,같은 사무실 선생님은 이 공연을 <b>관람</b> 하셨다. 어떤 모습이었을지 궁금하긴 하다. 2층 공연장 입장을 하러 올라왔더니 <b>뮤지컬</b> 전용 극장의 특성 답게 <b>뮤지컬</b> 라이브러리를 꾸며놨다. 한쪽 코너는 우리나라... ,행복한 날들로 채워가자,https://blog.naver.com/gyjun18,20210619
<b>뮤지컬</b> 드라큘라(김준수 &amp; 조정은) <b>관람</b> 후기 - 블루스퀘어... ,https://blog.naver.com/snflgg?Redirect=Log&logNo=222437326264,"안녕하세요 동그리 입니다 :-) 이번 포스팅은 성황리에 진행 중인 <b>뮤지컬</b>, 드라큘라 <b>관람</b> 후기 입니다 <b>뮤지컬</b>티켓은 네이버예약을 통해 구매했고, 저흰 7월1일 김준수&amp;조정은 배우님 공연을 <b>관람</b>했습니다 좌석은... ",동그리의 들려주고 싶은 이야기 :D,https://blog.naver.com/snflgg,20210719
[<b>관람</b>]2021년 <b>뮤지컬</b> 시카고,https://blog.naver.com/hgf0917?Redirect=Log&logNo=222432518004,문화생활 중 돈이 제일 많이 들지만 그만큼 기를 받고 오는 느낌이어서 ㅎㅎ 올해는 제가 보고 싶은 <b>뮤지컬</b>은 시간. 교통 신경 쓰지 않고 시간이 되면 바로 보러 갈 생각입니다. 다들 즐거운 <b>뮤지컬</b> <b>관람</b>하세요~,예린이의 좌충우돌 우당탕탕 계란말이,https://blog.naver.com/hgf0917,20210715
"내셔널갤러리, 코벤트가든, 타워브리지, 라이온킹 <b>뮤지컬</b> <b>관람</b>",https://blog.naver.com/celine324?Redirect=Log&logNo=222190399882,"오늘 떠나볼 방구석 추억 여행으로는 런던 비행시 방문했었던 내셔널갤러리와 코벤트가든, 타워브리지 방문기, 라이온킹 <b>뮤지컬</b> <b>관람</b>을 포스팅 하려 합니다. 내셔널 갤러리는 대영박물관과 함께 런던 여행시... ",너와 나의 하루,https://blog.naver.com/celine324,20201230
런던여행 #12 마이리얼트립으로 예매해 <b>관람</b>한 <b>뮤지컬</b> 위키드... ,https://blog.naver.com/rano_0114?Redirect=Log&logNo=222197042734,브로드웨이 작품이기에 영국이 본고장은 아니지만 영국 런던에서의 <b>뮤지컬</b> <b>관람</b>이 버킷리스트에 있는 사람도 많길래 영국만의 뭔가가 있지 않을까 싶어서 보게 되었던 위키드. 솔직히 다 이해는 못했지만... ,Rano의 멋대로 살아가기,https://blog.naver.com/rano_0114,20210105
[Musical] 'Wicked 위키드' <b>뮤지컬</b> 뒤늦은 <b>관람</b> 후기,https://blog.naver.com/sohyun2205?Redirect=Log&logNo=222431323068,고등학생 때 갔던 유럽여행에서 <b>뮤지컬</b> <b>관람</b>을 스킵했던 기억이 있는데 반성하게 되었네요ㅠㅠ 딱 한 가지 아쉬웠던 점은 오직 좌석뿐이라고 할 수 있을 것 같아요. 막바지에 급하게 예매한 탓에 3층... ,The most beautiful moment,https://blog.naver.com/sohyun2205,20210714
<b>뮤지컬</b> 비틀쥬스 VIP석 <b>관람</b> 후기 (세종문화회관),https://blog.naver.com/fleurdemimosa?Redirect=Log&logNo=222427486149,BeetleJuice 비틀쥬스ㅣ 팀버튼 감독 ㅣ 1988 작년 초 '오페라의 유령' 이후 거의 1년 만의 <b>뮤지컬</b> <b>관람</b>.. 팀 버튼의 어둡고 기괴한 판타지를 좋아하는 사람으로서 솔직한 후기는 좀 아쉬웠는데.. 1988년 제작된... ,TITA,https://blog.naver.com/fleurdemimosa,20210711
<b>뮤지컬</b> [위키드] 손정페어 <b>관람</b> 후기  (+ 공연 보기 전 알아두면... ,https://blog.naver.com/paichaiuniv?Redirect=Log&logNo=222286820015,<b>뮤지컬</b> <b>관람</b> 전에 '오즈의 마법사'를 꼭 꼭 보고가세요!!! 안되면 줄거리라도...!!! 생각보다 연관된 부분이 훨씬 훨씬 많답니다!! &quot;아 이래서 오즈의 마법사에서 그랬구나!!&quot;하는 장면이 정말 많기 때문에... ,최초에서 최고로! 배재대학교 공식블로그,https://blog.naver.com/paichaiuniv,20210325
시크릿쥬쥬 <b>뮤지컬</b> 별의여신 4살 아이와 <b>관람</b>후기,https://blog.naver.com/vividy88?Redirect=Log&logNo=222437877692,첫 <b>뮤지컬</b> <b>관람</b>으로 추억도 쌓았어요 공연중에는 사진을 찍을 수 없어서 마지막 포토타임 쯤 찍은 사진이에요 예전에는 주인공들이 객석에도 왔다고 하는데 코로나 때문에 너무 아쉬웠어요 너무 예쁘신... ,@쏠쏠랄라 귀여운 남매일상,https://blog.naver.com/vividy88,20210720
