title,link,description,bloggername,bloggerlink,postdate
코로나 시대 <b>비대면</b> <b>취미</b> 즐기기,https://blog.naver.com/gppcgppc?Redirect=Log&logNo=222169092320,기법을 활용해야 하는 어려운 책까지 다양한 난이도가 구비되어 있습니다. 코로나19가 심해진 요즘 밖에 나가지 못하는 대신 소개시켜 드린 <b>비대면</b> <b>취미</b>생활을 즐기시면서 2020년 한 해를 마무리하는 것은 어떨까요?,"동북아 물류의 랜드브리지, 평택항",https://blog.naver.com/gppcgppc,20201210
"코로나 시대 <b>비대면</b> <b>취미</b>, 미술로 그려가는 특별한 체험 어때요?",https://blog.naver.com/yeongju_city?Redirect=Log&logNo=222207904670,캔버스 위에 그려나가는 나만의 작은 세상을 만들어 보는 것도 코로나 시대를 이겨나가는 방법이 될 것이에요~^^ #코로나시대 #<b>취미</b>생활 #<b>비대면</b><b>취미</b> #공방 #작업실이공삼 #영주시 #그림그리기 #특별한체험활동... ,힐링중심 행복영주 영주시청 공식 블로그,https://blog.naver.com/yeongju_city,20210115
직장인 언택트(<b>비대면</b>) <b>취미</b> 추천,https://blog.naver.com/kcc_press?Redirect=Log&logNo=222141207747,"집에서 시간을 보내는 아주 특별한 방법, 직장인 언택트(<b>비대면</b>) <b>취미</b> 어떤 것들이 있는지 하나씩 살펴볼까? 직장인 언택트(<b>비대면</b>) <b>취미</b> 첫 번째는 올해를 휩쓸었다고 해도 과언이 아닌 400번 이상 휘저어... ",한국저작권위원회,https://blog.naver.com/kcc_press,20201111
<b>비대면</b> 집콕 <b>취미</b>로 우프트 우드카빙 키트,https://blog.naver.com/seven-queen?Redirect=Log&logNo=222264124232,장인이 될 것도 아니고 말 그대로 <b>취미</b>니까요. <b>비대면</b> 집콕 <b>취미</b>로 우드카빙 추천드리며 오늘의 리뷰를 마치겠습니다. #우드카빙 #우드카빙키트 #집콕<b>취미</b> #<b>비대면</b><b>취미</b> #우프트,아름다운 부인의 즐거운 하루하루,https://blog.naver.com/seven-queen,20210304
집순이<b>취미</b>생활 : <b>비대면</b>가죽공예클래스 벨커스,https://blog.naver.com/qsoozp?Redirect=Log&logNo=222342966943,"코로나라서 제대로 <b>취미</b>활동도 못하는 요즘, 손으로 이것저것 하기 좋아하는 사람들을 위한 <b>비대면</b>가죽공예클래스를 소개합니다 :D Do It Youself 이름하여 DIY가죽공예클래스 ! 매장도 따로 있어요. 공방주소... ",지금 여기 우리,https://blog.naver.com/qsoozp,20210508
<b>비대면</b> 시대의 힙한 <b>취미</b> ‘등산’ 산만 오르는 게 아니라고?,https://blog.naver.com/mesns?Redirect=Log&logNo=222057602262,코로나19 확산 이후 사람들과 단체로 모임을 하거나 <b>취미</b> 생활을 즐기기가 쉽지 않은 상황이죠. 이로 인해 <b>비대면</b> 여가 활동에 관한 관심이 높아지면서 새롭게 주목받는 것이 바로 ‘등산’이에요. 4050세대의... ,환경부 공식 블로그,https://blog.naver.com/mesns,20200811
[집콕 <b>취미</b>생활의 성장] 홈트와 <b>비대면</b> <b>취미</b>서비스,https://blog.naver.com/startest82?Redirect=Log&logNo=222083598819,진화해나가고 있고 이 흐름은 당분간 지속될 것으로 보입니다. 참고글 #홈트 #홈트레이닝 #온라인PT #클래스101 #집콕<b>취미</b> #<b>취미</b>생활 #<b>취미</b>서비스 #<b>비대면</b>서비스 #<b>취미</b>플랫폼 #준비물배달 #집콕서비스 #하비풀,내가 사랑하는 일로 직장에서 독립하기,https://blog.naver.com/startest82,20200908
<b>비대면</b> 온라인 <b>취미</b>생활 안전하게 즐겨보자! 어떤 것이 있지?,https://blog.naver.com/hunjangcity?Redirect=Log&logNo=222141389585,"이로 인해서 <b>비대면</b> 온라인 <b>취미</b>생활에 관심을 갖는 분들이 늘어나고, 수요가 높아져 자연스레 다양한 정류들이 생겼다고 해요. 오늘은 훈장마을과 함께 코로나를 이겨낼 수 있는 <b>취미</b>생활에는 어떤 것이... ",훈장마을,https://blog.naver.com/hunjangcity,20201112
[<b>취미</b>] <b>비대면</b> 온라인 클래스: 업사이클링 인형 만들기,https://blog.naver.com/tramp5lin2?Redirect=Log&logNo=222179856612,'소셜캠퍼스 온 울산' 인스타그램에서 진행하는 <b>비대면</b> 온라인 클래스 체험단을 신청했다. 총 8가지의... <b>비대면</b> 온라인 클래스인 만큼 만드는 방법은 유튜브 영상을 통해 배울 수 있다. 우리는 일단 유튜브... ,Trampoline; to geek OUT,https://blog.naver.com/tramp5lin2,20201220
<b>비대면</b> <b>취미</b>생활 '난' 재배 시작하기,https://blog.naver.com/lsm8792?Redirect=Log&logNo=221993257666,포스트 코로나 시대에 적당한 #<b>비대면</b> #<b>취미</b>생활로 좋은 것 같습니다. 저는 #<b>취미</b>생활로 #난을 시작하려는 사람들에게 정보를 주기 위해 이 세개 중 난재배에 대해서 이야기 해보려고 합니다. 사실 분재랑... ,난생처음 난시작하기,https://blog.naver.com/lsm8792,20200607
[성북구 1인가구 지원사업] 중장년 1인가구 <b>비대면</b> <b>취미</b>활동... ,https://blog.naver.com/sbfc1660?Redirect=Log&logNo=222083649036,성북구 건강가정다문화가족지원센터 1인가구 지원사업 '싱.더.밸' 사회적 관계망 지원 &lt;삼삼오오&gt; <b>비대면</b> <b>취미</b>활동 동아리 온택트 동네 친구(온동네) 모집 ▶신청하기 https://forms.gle/GPNmFVtLgQaieMbq9 사업... ,우리 가족 행복 지킴이,https://blog.naver.com/sbfc1660,20200908
<b>취미</b>유목민 가죽공예에 결국은 <b>비대면</b> 입문,https://blog.naver.com/onhijini74?Redirect=Log&logNo=222204818116,<b>취미</b>유목민 가죽공예에 결국은 <b>비대면</b> 입문 어찌 되었든 한 우물을 파야 성공하는 법인데~ 지금까지 발을 담근 <b>취미</b>만도 도대체 몇개인지 모르겠다. 거의 대부분이 초보자 수준에서 벗어나지 못하면서도 자꾸... ,은하수네 알콩달콩 사는이야기,https://blog.naver.com/onhijini74,20210112
나만의 향기로 만드는 디퓨져 <b>비대면</b> 대면 <b>취미</b> 원데이클래스,https://blog.naver.com/moya0100?Redirect=Log&logNo=222432768460,디퓨져는 <b>취미</b>클래스외에 원데이 대면수업이나 <b>비대면</b> 수업으로도 충분히가능하시답니다. 자세한 호호캔들의 수업문의는 ***.****.**** 이나 아래 톡톡으로 문의주세요. 궁금할 땐 네이버 톡톡하세요!... ,ho ho rang(호호캔들),https://blog.naver.com/moya0100,20210715
[생활문화] <b>비대면</b> <b>취미</b>키트 받고 안전하게 즐겨요 &lt;<b>취미</b>배달부&gt;,https://blog.naver.com/afac_kr?Redirect=Log&logNo=222231545690,코로나19로 인해 대면 사업에서 <b>비대면</b> 사업으로 전환하여 추진하게 되면서 누구나 쉽게 즐길 수 있는 DIY키트를 보내주면 좋겠다고 생각하게 되어 &lt;<b>취미</b>배달부&gt; 사업을 진행하게 되었습니다. Q. &lt;<b>취미</b>배달부... ,아산문화재단,https://blog.naver.com/afac_kr,20210204
<b>비대면</b> 언택트 때 하는 집에서 하는 프로포즈 혹은 노래<b>취미</b>?,https://blog.naver.com/tlswnscjf09?Redirect=Log&logNo=222195171089,하고 있답니다~~~~^^ 집에서는 춤을 출수도 없고 ~~~~ 쿵쿵거리면 아랫집에서 뭐라고 하잖아요ㅠㅠ ㅠ그래서 <b>비대면</b> <b>취미</b>가 뭐가 있을지 찾던 와중에~~~ 또 &quot;원러브원송&quot; 이 검색이 되더라구요~~~ 여기는 무슨... ,준돌이의 일상,https://blog.naver.com/tlswnscjf09,20210103
몰랐던 거죠? <b>비대면</b>으로 즐길 수 있는 방구석 <b>취미</b>생활 모음!,https://blog.naver.com/skrentacar_official?Redirect=Log&logNo=221933646044,"유튜브부터 넷플릭스까지 ‘<b>비대면</b> <b>취미</b>생활’ 꿀팁 대방출! 가까워지고 싶은 우리, 함께 할 수 있는 &lt;방구석 <b>취미</b>생활&gt; '사회적 거리두기'도 지키면서 함께 하고 싶은 우리를 위한, <b>비대면</b> (Untact)... ",SK렌터카 공식블로그,https://blog.naver.com/skrentacar_official,20200428
[유영 People] 유영인이 즐기는 <b>비대면</b> <b>취미</b> 소개 3탄 - 뜨개질,https://blog.naver.com/yypharm1981?Redirect=Log&logNo=222224352229,조은비 주임이 직접 만든 손뜨개 수세미와 코바늘 애착인형 수공예 원데이 클래스를 즐겨하던 조은비 주임의 모습 <b>비대면</b>으로 <b>취미</b>클래스 듣기 코로나 이전에는 공방을 찾아가서 배우는 원데이 클래스에 대한... ,유영제약 공식 블로그,https://blog.naver.com/yypharm1981,20210129
"[<b>취미</b>7/걷기] 3월 <b>비대면</b> 마라톤, 애니멀런: 호랑이런 참가후기",https://blog.naver.com/k13hhi?Redirect=Log&logNo=222314484527,실제로 마라톤하면 좀 더 참여하는 느낌도 나고 준비를 할 수 있었겠지만..ㅎㅎ <b>비대면</b> 마라톤이라... 애니멀런 방법♀️♂️ 신청 - <b>비대면</b>완주 - 완주기록증신청 및 수령 애니멀런! 1월 북극곰 2월 코끼리런... ,블루베리라떼 32잔♥_♥,https://blog.naver.com/k13hhi,20210418
<b>비대면</b> 시대에 집에서 <b>취미</b>생활 하기 :) /언택트시대에 할수있는... ,https://blog.naver.com/soisoy26?Redirect=Log&logNo=222080900972,다음에 엮을땐 브이로그...?(이건 유튭이죠?ㅋㅋ) 같은거 찍어볼까해요 단순 노동이 가끔은 힐링이 되고 디지털디톡스도 되는것 같은 느낌이에요 <b>비대면</b> <b>취미</b>생활로 강추합니당ㅎㅎㅎ,강남역 미용실 준오헤어강남화이트점 효은,https://blog.naver.com/soisoy26,20200905
집콕<b>취미</b> 벨커스 <b>비대면</b>가죽공예클래스로 카드지갑만들기,https://blog.naver.com/jali__?Redirect=Log&logNo=222299739785,가죽이 고급스러워서 그런지 초보의 손길로 만들었지만 퀄리티 높은 가드지갑이 완성되었네요~ 가죽공예는 꼭 공방에서 배워야한다고 생각했는데 집콕<b>취미</b>로 <b>비대면</b>가죽공예클래스를 들을 수 있으니... ,얄시콜콜한 블로그,https://blog.naver.com/jali__,20210405
집콕<b>취미</b>생활 추천 : <b>비대면</b>가죽공예클래스 벨커스... ,https://blog.naver.com/pinkauthor?Redirect=Log&logNo=222260665868,코로나 때문에 요즘 <b>취미</b>활동이 참 힘들죠~ 이럴 때 집에서 시간과 장소에 구애받지 않고 <b>취미</b>생활을 할 수 있게 해주는 <b>비대면</b> <b>취미</b>키트들이 점점 많아지는 것 같아요 육아맘이지만 <b>취미</b>생활도 놓칠 수... ,소품덕후 핑크쟁이김작가의 좌충우돌 핑크빛 육아일기,https://blog.naver.com/pinkauthor,20210301
"9월 스타트, 온라인<b>비대면</b> <b>취미</b>생활 이거어때요?",https://blog.naver.com/ttolong2000?Redirect=Log&logNo=222078561974,&lt;노트북에도 깔고 스마트폰 앱도 깔았어요&gt; 아날로그 아줌마인 제가 온라인 <b>비대면</b><b>취미</b> 활동을 9월부터 꽤 하게 되었어요. 먼저 주식투자를 위한 앱다운 받고 계좌개설하기. 이것은 <b>취미</b>활동은 아니지만 제가... ,이웃집 아리아,https://blog.naver.com/ttolong2000,20200902
[<b>취미</b>] <b>비대면</b> 클래스: 리사이클 플라워 박스,https://blog.naver.com/tramp5lin2?Redirect=Log&logNo=222155395323,그냥 <b>취미</b>가 늘어나는 거다. 혹은 관심분야가 늘어나거나. 이전에는 비교적 관심사에서 멀리 있던 분야가 눈에 자꾸 들어온다. 당연히 집에서 할 수 있는 것들로. 이번에는 '언택트 힐링클래스'다. 일종의 <b>비대면</b>... ,Trampoline; to geek OUT,https://blog.naver.com/tramp5lin2,20201126
