title,link,description,bloggername,bloggerlink,postdate
진조크루의 2020년 <b>비보잉</b> 언택트공연 모음으로 문화생활하기,https://blog.naver.com/skyseashell?Redirect=Log&logNo=222177432173,"총 50분 공연으로 1부는 전통과 함께한 <b>비보잉</b>, 2부는 다이나믹하게 진조크루의 레전드 퍼포먼스를... 진조크루가 <b>참여</b>했다. 여기 이 장소는 부천에 있는 진조크루 스튜디오이다. 그 유명한 진조크루 스튜디오... ",Coffee가 좋은 시간,https://blog.naver.com/skyseashell,20201218
"'<b>비보잉</b>과 탄자니아' 그들의 만남, 이윤혁 아이너를 소개합니다... ",https://blog.naver.com/hubafrica?Redirect=Log&logNo=222190412417,"한두 명이 시작해 어느 순간 그 동네에 <b>비보잉</b> 붐이 일어났었죠. 학생들이 목표와 꿈이 생기니까... 그래서 모로코, 나이지리아, 탄자니아, 잔지바르, 우간다, 이렇게 여러 나라 댄서들이 <b>참여</b>해서 더 풍성한... ",아프리카인사이트,https://blog.naver.com/hubafrica,20201230
비보이 공연-<b>비보잉</b>의 봄,https://blog.naver.com/kims2169?Redirect=Log&logNo=221601533972,국악과 <b>비보잉</b>의 콜라보 퓨전 퍼포먼스의 매력이 이런게 아닐까요?! 타 퍼포는 항상 이렇게 두분이... 이 공연은 관객 <b>참여</b> 퍼포먼스에요 진조크루 플레타께서 관객중에서 한명을 모셔서 진조크루와 함께 춤을... ,JINJOCREW/진조크루/RISINGFIRE/불살라오르다,https://blog.naver.com/kims2169,20190731
비보이팀 퓨전엠씨 무관중 비대면 온라인 활동 <b>비보잉</b> 공연... ,https://blog.naver.com/fusionmccrew?Redirect=Log&logNo=222221625970,"온라인 <b>비보잉</b> 교육 활동 의정부시, 의정부문화재단이 주최하고 퓨전엠씨가 2020년 의정부시... 넘는 <b>참여</b>로 폭발적인 반응을 보여주었습니다. 온라인 공연 활동 2020년 5월 경기문화재단, 경기콘텐츠진흥원... ",한국대표 비보이크루 퓨전엠씨,https://blog.naver.com/fusionmccrew,20210127
뮤지컬 셰프 세종문화회관 특별공연은 <b>비보잉</b> 비트박스의 만찬!!,https://blog.naver.com/sesil026?Redirect=Log&logNo=221760629489,비트박스와 <b>비보잉</b> 그리고 아카펠라가 합쳐진 공연입니다 언어가 달라도 몸짓과 소리도 유머와 애드립으로 관객들의 <b>참여</b>로 볼때마다 새로운 셰프 공연은 연말에 저에게 주는 선물이네요 29일에는 플라잉... ,키티의 여행이야기,https://blog.naver.com/sesil026,20200105
하남 청소년 <b>비보잉</b> 스쿨 : 하남문화재단 2019 문화재생... ,https://blog.naver.com/hanamartcent?Redirect=Log&logNo=221577801765,하남 청소년 <b>비보잉</b>스쿨 한눈에 보기 &lt;수강신청 안내&gt; 신청접수 2019.7.5(금)~ 7.26(금) 선착순 마감 신청방법 하남문화예술회관 홈페이지 &gt; 예술진흥 &gt; <b>참여</b>신청 모집대상 하남시 초·중·고등학교 재학생... ,하남문화재단,https://blog.naver.com/hanamartcent,20190704
셰프 정보 / <b>비보잉</b>과 비트박스는 역시나 재밌어!,https://blog.naver.com/dlwlsgid98?Redirect=Log&logNo=221706952808,무대 공연장 사진 줄거리에 대해 간단하게 소개하자면 비트박스와 <b>비보잉</b>으로 최상의 요리를... 뮤지컬 &lt;셰프&gt;는 넌버벌 뮤지컬일 뿐 아니라 <b>참여</b>형 뮤지컬입니다. 무대를 만드는데 관객은 중요한 역할을... ,블루향의 클로젯,https://blog.naver.com/dlwlsgid98,20191113
중원문화의 신문화 택견<b>비보잉</b>팀 문화전도사로 활약,https://blog.naver.com/420kgy?Redirect=Log&logNo=221956565077,"중원문화의 신문화 택견<b>비보잉</b>팀 문화전도사로 활약 중원문화의 신문화 아이콘인 택견<b>비보잉</b>팀... 대국민의 <b>참여</b>를 유도할 것이다. 이뿐만 아니라, 아동친화도시에 맞게 어린이 비보이를소재로 6월에 한번 더... ",관광천국/아름다운충주,https://blog.naver.com/420kgy,20200511
전주한옥마을/ 11~12월 두 달 동안 매주 토요일 <b>비보잉</b> 공연,https://blog.naver.com/kormadangnews?Redirect=Log&logNo=221692915916,"전주한옥마을에서 즐기는 <b>비보잉</b> 공연 - 전주시, 11~12월 두 달 동안 매주 토요일 전주한옥마을만의... 문화예술인들이 <b>참여</b>해 마술과 마임, 춤, 통기타, 어쿠스틱 밴드, 플롯독주 등을 선보이면서 여행객들의... ",코마당뉴스,https://blog.naver.com/kormadangnews,20191030
"[2019 다모디라 시즌7] 힙스러운 <b>비보잉</b>, <b>비보잉</b>에 새로운... ",https://blog.naver.com/dyc1939?Redirect=Log&logNo=221715112184,"[연습사진] ‘힙스런운 <b>비보잉</b>’의 장원준 회장은 오픈 채팅에서 <b>비보잉</b>을 배우고 싶은 용기 있는 청년들이 모임에 <b>참여</b>할 수 있어서 의미가 있었고, &lt;다모디라&gt; 같은 기회의 장을 만들 수 있어 춤을 배우자... ",대구광역시청년센터,https://blog.naver.com/dyc1939,20191122
