title,link,description,bloggername,bloggerlink,postdate
"<b>비즈공예</b> 땡바샵, 사줘서 고마웡^0^*",https://blog.naver.com/park_thoven?Redirect=Log&logNo=222415100407,아주 만족스러웠다 ^__________^ ㅇㅏㅏㅏ 땡바샵 너무 예쁘고 재밌다^00^!!!!!!!!!!!!!! 앞으로 더 커지고 더 예뻐지며 더 재밌겠징!!! 넘 기대됨~~~~! #땡바샵 #<b>비즈공예</b> #비즈팔찌 #비즈반지 #써지컬팔찌 #사줘서고마웡,박의 멍멍,https://blog.naver.com/park_thoven,20210630
<b>비즈공예</b>도안이 필요없는 비즈악세사리만들기 이게 찐!,https://blog.naver.com/gnguhakwon?Redirect=Log&logNo=222407273953,<b>비즈공예</b> 책에는 작품별로 <b>비즈공예</b>도안이 나오거든요. 그런데 너무 복잡해서 하~나도 이해가... 제가 따로 스토어를 개설할 필요없이 이 수공예사이트에 비즈악세사리를 등록하면 되는거라 상품 1개... ,갬성 한 스쿱,https://blog.naver.com/gnguhakwon,20210623
동대문 악세사리상가 찾아가는방법 &amp; <b>비즈공예</b> 팔찌만들기... ,https://blog.naver.com/yujung2uu?Redirect=Log&logNo=222403930882,나의 지난 <b>비즈공예</b> 후기들!! 작년에 처음 도전해보다가 좀 오랫동안 흥미를 잃었었는데 다시 하나씩... 줍줍해온 비즈들..... 일단 늘 눈여겨봤던 하트모양들과 크리스탈 비즈를 데려왔다ㅠㅠㅠㅠㅠㅠ보는순간... ,체리로그,https://blog.naver.com/yujung2uu,20210620
"쉬운 <b>비즈공예</b>키트, 노리야상점에서 비즈팔찌만들기를 해볼게요!",https://blog.naver.com/magicpearl?Redirect=Log&logNo=222403699292,노리야상점 - 원석 비즈 팔찌 만들기 키트 <b>비즈공예</b>는 반드시 비즈바늘도 있어야 하는 줄 알았는데... 눌러서 비즈가 빠지지 않게 해줍니다. 저는 마침 가죽공예 도구로 쓰던 꼬마포니가 있어서 우레탄 실을... ,앨린's 소잉&DIY,https://blog.naver.com/magicpearl,20210620
<b>비즈공예</b>재료 무료로 받아 배워 판매까지 도전!,https://blog.naver.com/wedami12?Redirect=Log&logNo=222384763433,아기자기 귀여운 비즈를 엮어 예쁜 악세사리를 만들어내는 <b>비즈공예</b>가 눈에 쏙- 들어왔어요 :D 옛날 옛적 취미생활이었던 비즈가 이번 여름에 한껏 인기몰이를 하며 다시 떠오르는 취미 아이템이 됐죠.... ,소원 들어주는 지니ღ'ᴗ'ღ,https://blog.naver.com/wedami12,20210608
<b>비즈공예</b>재료 패키지 받아서 도전!!,https://blog.naver.com/destiny6852?Redirect=Log&logNo=222296036330,이번에 동대문 다녀왔어요 <b>비즈공예</b>재료를 사야 하는 데 외출은 삼가고싶어서 지금까지는 인터넷으로... 생겼거든요 비즈아트를 배우고 판매루트나 자료 지원도 받고 있거든요 원래도 이런 거 만들고 나서... ,프레스티지,https://blog.naver.com/destiny6852,20210403
악세사리만들기 <b>비즈공예</b> DIY 판매까지도 쉽네요,https://blog.naver.com/yo920713?Redirect=Log&logNo=222263899471,악세사리공예도 여러 종류가 있어서 어떤 걸로 시작해볼까 고민하다 봄이 다가오니까 봄에 가장 어울릴만한 <b>비즈공예</b>를 선택했어요. 핸드메이드 악세사리 중에 비즈 악세사리가 또 가장 인기더라고요.... ,욜로의 하루,https://blog.naver.com/yo920713,20210304
<b>비즈공예</b>재료 준비 없이 배우고 비즈아트로 돈 벌기,https://blog.naver.com/happy970212?Redirect=Log&logNo=222415261778,"전 다른 악세사리 공예보다 특히나 비즈아트에 그렇게 관심이 가더라구요. 영롱한 비즈 알알이 엮어 만든 팔찌, 목걸이, 반지 등 보면 반짝반짝 얼마나 예쁜지 몰라요. 저 어렸을 때도 이 <b>비즈공예</b> 한참 유행했던... ",소소하고 평범한,https://blog.naver.com/happy970212,20210630
"이색취미, 리얼진주조개 액세서리 <b>비즈공예</b> DIY키트 체험",https://blog.naver.com/qlcsk1129?Redirect=Log&logNo=222311523255,"이색취미, 대왕진주조개 <b>비즈공예</b> DIY키트로 나만의 액세서리 만나봐요 동글동글한 진주알들을 보고... 6월의 탄생석인 진주, 색색마다 의미를 가지고 있어요 직접 만들 수 있어서 참 보람찬 대왕조개 진주공예... ",@마더꽉의 편하고 다양한 임신육아일상,https://blog.naver.com/qlcsk1129,20210415
<b>비즈공예</b>만들기 diy판매까지 쉽게 성공,https://blog.naver.com/no1rara?Redirect=Log&logNo=222384198193,악세사리 공예도 배워서 같이 판매해보려구요 집에서 편하게 일을 하면서 틈틈히만 비즈diy하면 되는거라 크게 부담도 없고 좋아하는 일로 일을 하니깐 취미생활 하는 느낌 그대로예요 제가 <b>비즈공예</b> 배우기... ,나드,https://blog.naver.com/no1rara,20210604
A PLANET: <b>비즈공예</b> 원데이 클래스,https://blog.naver.com/sealuna712?Redirect=Log&logNo=222358551550,"기본 비즈 팔찌 <b>비즈공예</b> 원데이클래스 베이직 원데이 클래스 베이직은 우레탄줄을 기본으로, 꽃 모티브가 들어간 팔찌1개. 반지 1개씩 제작 합니다. 꽃 모티브 수량은 팔찌 5개를 기본으로 합니다. 더 많은... ",☆ A Planet / (구)안드로행성712공방 ☆,https://blog.naver.com/sealuna712,20210520
<b>비즈공예</b> 매듭 한번 배우고 매달 쏠쏠히 부수입 내는 중,https://blog.naver.com/marie81a?Redirect=Log&logNo=222424521334,익을 내고 있어 배우길 넘넘 잘했다고 생각해요ㅎ 어떻게 일을 하고 있는지 앞으로 계획을 얘기해보려고 합니다 비즈반지나 비즈팔찌같이 단순한 <b>비즈공예</b> 같은 경우는 그냥 <b>비즈공예</b> 매듭도 딱히 필요하지... ,해피해피♬,https://blog.naver.com/marie81a,20210711
<b>비즈공예</b>재료 매력적인 물방울원석 귀걸이 만들기,https://blog.naver.com/flute8248?Redirect=Log&logNo=222418794610,예쁘고 고급스러운 골드 금속 <b>비즈공예</b>재료 사용한 특별함으로 와이어공예 같은 원석 귀걸이만들기... 크리스탈 비즈 12구 장식으로 낚싯줄 이용해 꿰어놓았던 장식과 아쿠아마린에는 시원한 느낌이니까... ,초록여신 핑거쇼룸,https://blog.naver.com/flute8248,20210703
<b>비즈공예</b>키트 무료로 받고 수공예 부업 중,https://blog.naver.com/bokbokri22?Redirect=Log&logNo=222365787485,"플리마켓에서 반짝반짝 예쁜 아이템을 발견하면 그냥 지나치지 못하는 1인,, 집에 비즈 악세사리 사... 그중 눈에 들어온 곳은 <b>비즈공예</b>키트를 무료로 주는 수공예 전문 교육 기관! 한국창업부업아카데미예요.... ",공부하는법,https://blog.naver.com/bokbokri22,20210525
