title,link,description,bloggername,bloggerlink,postdate
"인생은 덩더쿵,여주시노인복지관 <b>사물놀이</b> 반장 권무종... ",https://blog.naver.com/yeojuhangul?Redirect=Log&logNo=222381148155,자신감도 상승하고.” 열여덟 분이 함께한 행사는 칠순에 외국 여행 가려던 비용을 대회 <b>참여</b> 교통비로... <b>사물놀이</b>를 권해 함께 장단을 맞추고 있다고. 금실이야 원래부터 좋았지만 나이 들어 함께 하는 <b>놀이</b>... ,여주시블로그,https://blog.naver.com/yeojuhangul,20210602
[문화<b>놀이</b>zip] 움직이는... 수수께끼 <b>사물놀이</b> (이수진TA),https://blog.naver.com/i_sfac?Redirect=Log&logNo=222350419534,"수수께끼 <b>사물놀이</b> 대상연령 : 초등학교 1~6학년 혹은 가족구성원 <b>참여</b>  준비물 : 미션 활동지(출력), 자신만의 의미를 담은 <b>사물</b> , 나무젓가락, 끈, 접착제 (테이프, 목공풀 등)  <b>놀이</b>방법 소개 ① 가족 , 혹은... ",서울문화재단 공식 블로그,https://blog.naver.com/i_sfac,20210515
제6회 당진시장기 농악 및 <b>사물놀이</b> 대회,https://blog.naver.com/dangjin2030?Redirect=Log&logNo=221717646668,"및 <b>사물</b> 경연으로 진행되었습니다. 초등부는 5개교 <b>사물놀이</b>팀이 <b>참여</b>를 했습니다. 관내 초등학교가... 역시 일반부는 길<b>놀이</b>부터 연주의 조직력, 짜임새 등이 돋보였습니다. 4시경 모든 대회가 끝났고 심사 결과... ",당진시 공식블로그,https://blog.naver.com/dangjin2030,20191125
전통공연 / 국악 / <b>사물놀이</b> / 섭외,https://blog.naver.com/noosps?Redirect=Log&logNo=222366095509,국악 <b>사물놀이</b>입니다 <b>사물놀이</b>는 꽹과리 장구 북 징의 네 가지 악기로 연주하는 <b>놀이</b>라는 의미에서... 모두 <b>참여</b>한 <b>놀이</b>마당이었습니다 경쾌하고 신나는 사람들의 흥을 돋우는 음악으로써 관객과 같이 호흡하고... ,모두캐스팅 노실장,https://blog.naver.com/noosps,20210525
"<b>사물놀이</b> 명인 김덕수, 세기의 명창 안숙선 그리고 차세대 명장... ",https://blog.naver.com/delight711?Redirect=Log&logNo=222270529484,3·15아트센터의 특별기획 거장(巨匠) 초청시리즈 첫 번째 무대로 <b>사물놀이</b>를 통해 세계에 우리음악을... 출처 : Break News ⓒ배종태기자 본 공연의 해설은 국악 전문 음악평론가 ‘윤중강’이 <b>참여</b>하여... ,공연이 있는 삶,https://blog.naver.com/delight711,20210310
풍물굿패 소리결&lt;<b>사물놀이</b> 담금질 특강&gt;,https://blog.naver.com/openart21?Redirect=Log&logNo=222417624356,* <b>사물놀이</b> 연주경험이 있으신 분들을 대상으로 합니다. 가락과 순서에 상관없이 빠른 속도가 부담되시는 분들께 <b>참여</b>를 권해드립니다. 기본 장단에서의 호흡과 타법을 '매우 느린 속도에서부터 몸에... ,(사)부산민예총,https://blog.naver.com/openart21,20210702
발달장애인 <b>사물놀이</b>패 '얼쑤좋다' 발표회를 소개합니다!,https://blog.naver.com/hope_city?Redirect=Log&logNo=221718457138,웃다리 <b>사물놀이</b>를 보여 주었습니다. 한비는 2003년 창단하여 우리나라의 전통음악과 <b>놀이</b>를 배우고... 지역축제에 <b>참여</b>하는 프로팀이라고 합니다. 일곱 명의 청년들이 보여주는 두드림입니다 방송댄스를 보여... ,의정부시 공식 블로그,https://blog.naver.com/hope_city,20191126
"전통공연예술학과, 김덕수 명인-김동원 교수의 <b>사물놀이</b>를... ",https://blog.naver.com/bobodoli?Redirect=Log&logNo=221609797278,이번 콘텐츠 개발에 함께한 김덕수 명인은 이런 의미있는 사업에 <b>참여</b>하게 돼 매우 기쁘다. <b>사물놀이</b>는 우리의 중요한 전통문화이다. 이번 사업을 통해 국내외에서 <b>사물놀이</b>의 위상이 더욱 높아지고 일자리... ,특성화교육의 힘!!! 명문사이버대학 원광디지털대학교,https://blog.naver.com/bobodoli,20190808
[우리동네 예술프로젝트] 행복한 우리마을 가족<b>사물놀이</b> 3기의... ,https://blog.naver.com/o2gunpo?Redirect=Log&logNo=221657928116,프로그램 <b>참여</b>가 힘들었는데 그 부분이 조금이나마 해소된 것 같습니다. 또한 동아리 무대나 지역축제에서도 지속적으로 활동해서 많은 시민에게도 귀감이 되는 “행복한 우리마을 가족<b>사물놀이</b>”가... ,시민우선 사람중심 군포,https://blog.naver.com/o2gunpo,20190924
삼송동주간보호센터에서 흥나는 <b>사물놀이</b> 한마당!,https://blog.naver.com/goyang-daycare?Redirect=Log&logNo=222301814448,흥나는 어르신들을 위한 <b>놀이</b>터 삼송동주간보호센터 고양노인주야간보호센터입니다. 점심시간에 잠깐... 시설장님이 이끌어 나가는 <b>사물놀이</b> 프로그램은 우리 어르신들도 함께 노래를 부르면서 <b>참여</b>하는... ,고양노인주야간보호센터,https://blog.naver.com/goyang-daycare,20210407
<b>사물놀이</b>에 입문했습니다.,https://blog.naver.com/songc1247?Redirect=Log&logNo=221735479896,풍물<b>놀이</b>팀에서는 북 담당입니다. 북소리는 장구보다 확실히 소리도 크고 기준 박자를 지켜줍니다 징은... 열심히 배워서 마을 <b>사물놀이</b> 연주팀에 <b>참여</b>하는 것이 지금의 목표인데 이제 걸음마를 시작했으니... ,러브유 팜 LoveU Farm,https://blog.naver.com/songc1247,20191212
