title,link,description,bloggername,bloggerlink,postdate
원흥주간보호센터에서 어르신들 인지 감성 자극! <b>서예</b> <b>활동</b>!,https://blog.naver.com/goyang-daycare?Redirect=Log&logNo=222358373534,소싯적 <b>서예</b>를 끝내주게 했었다며 자신감이 가득 넘쳤던 어르신들의 흠잡을 곳 없는 출중한 <b>서예</b> 실력에 <b>서예</b> <b>활동</b> 프로그램에 함께 <b>참여</b>하던 우리 원흥동주간보호센터 직원들의 표정은 헉! 하고 눈이... ,고양노인주야간보호센터,https://blog.naver.com/goyang-daycare,20210520
[프로그램] 수원요양병원 6월 20일 : <b>서예</b><b>활동</b>,https://blog.naver.com/swcare9900?Redirect=Log&logNo=221594893719,"않도록 신경써가며 한 자, 한 자 정성껏 적어보았습니다. 이처럼 수원요양병원 사회사업실에서는 심신 안정 및 정서순환에 도움이 될 수 있도록 <b>서예</b><b>활동</b>을 진행하고 있습니다. 많은 <b>참여</b> 부탁드립니다.",수원요양병원 공식블로그,https://blog.naver.com/swcare9900,20190725
2019 세계<b>서예</b>전북비엔날레에 <b>참여</b>하다.,https://blog.naver.com/kssk4820?Redirect=Log&logNo=221672065745,그 고장에서 <b>활동</b>하는 <b>서예</b>가와 출향<b>서예</b>가가 <b>서예</b>로 작품화 한 뒤 배너를 제작 전시하여 전북<b>서예</b>의 역량을 강화하고자 함. 초청장 도록집 정읍지역 <b>참여</b>작가 작품(타 지역 작가작품은 생략함) 참가증서,김상선 세상,https://blog.naver.com/kssk4820,20191008
평택재활주간보호센터 - <b>서예</b><b>활동</b>,https://blog.naver.com/2019pt?Redirect=Log&logNo=222184209566,"* 2020년 12월 24일 목요일 오늘은 우리 어르신들과 함께 <b>서예</b><b>활동</b>을 해보고자합니다. 붓 사용을... ^^ 한글자 한글자 정성을 담아, 조금은 어려워도 최선을 다해서 열심히 <b>참여</b>하신 우리 어르신들!! 너무나 멋지게... ",평택재활주간보호센터,https://blog.naver.com/2019pt,20201224
노인주간보호센터 실버스타 - 3월 18일 수요예배 &amp; <b>서예</b><b>활동</b>,https://blog.naver.com/silverstar2080?Redirect=Log&logNo=221860130020,"오후에는 <b>서예</b><b>활동</b> 새옹지마라는 사자성을 쓰시면서 연습하시고, 어르신들 자신의 성함을 쓰시면서 붓글씨를 쓰시고, 옛날 학교다닐때 쓰셨다며 기억하시고 열심히 <b>참여</b>하셨습니다~!",노인주간보호센터실버스타,https://blog.naver.com/silverstar2080,20200318
HSK도우미_HSKK시험_<b>서예</b><b>활동_</b>막냉이또한국_왕빠정전... ,https://blog.naver.com/1154578?Redirect=Log&logNo=221618850481,"이번주에 밍더에서 hsk시험이 있는데, 총 담당이 우리 교수님이셔서 봉사하러, 우리반 친구들 다 <b>참여</b>... ㅋㅋㅋㅋ아이들 프사가 바꼈는데 귀욥뻔쩍하다 일요일엔 <b>서예</b>하러 가는날!!! ㅋㅋㅋ아무생각안나는... ",# 차오언,https://blog.naver.com/1154578,20190904
12월 21일 토요일 인지<b>활동</b> 프로그램 ♥♥♥ &lt;<b>서예</b>교실&gt; ♥♥♥,https://blog.naver.com/sopoong0801?Redirect=Log&logNo=221744715776,어르신들 열심히 <b>서예</b>교실 <b>참여</b>해주셔서 감사합니다 고양시/일산/행신/능곡/화정/원흥/삼송/원당... 노인성질환/노인케어서비스/송영/차량운행서비스/인지재활/인지<b>활동</b>/고양시주간보호센터/주야간보호센터... ,소풍노인주간돌봄센터,https://blog.naver.com/sopoong0801,20191221
캘리그라피 배우는 곳과 함께하는 <b>서예</b> 수업,https://blog.naver.com/mafadu?Redirect=Log&logNo=222392723401,"적극적으로 <b>참여</b>하는 <b>서예</b> 시간, 획 연습이 지겨울 수 있지만 <b>서예</b>나 캘리그라피나 최대한 완벽에... 지금은 캘리그라피를 중심으로 하는 다양한 문화 함양 교육과 작품 <b>활동</b>을 하고 계십니당 ㅎㅎ 예전에... ",(주)디귿,https://blog.naver.com/mafadu,20210610
"강원<b>서예</b>대회, 이부퍼즐... 공개<b>참여</b>수업, 초록우산 어린이... ",https://blog.naver.com/blacklio?Redirect=Log&logNo=221583367837,"만들기 <b>참여</b>(2천원) 재윤군은 피치. 하지만 아무것도 안 만듬;; 하윤이는 리본고양이 완성!... 엄마랑 삔 바꿔가며 이쁜 짓~ 2019.06.14(목) 42m, 89m <b>서예</b>에서 3장쓰면 집에 갈수 있다는 말에 쓴 재윤군... ",입술나무 가족^^,https://blog.naver.com/blacklio,20190711
제16회 대한민국<b>서예</b>한마당 휘호대회<b>참여</b> 후기,https://blog.naver.com/geulgoun2?Redirect=Log&logNo=221392124300,광명사거리에서 청별캘리로 <b>활동</b>중인 청별입니다 어제인 2018년 11월 4일엔 제 16회 대한민국<b>서예</b>한마당 휘호대회에 캘리그라피부문으로 <b>참여</b>를 했었어요 입장마감은 9시반이였기에 아침일찍 서둘렀습니다 이미... ,예술로 돈벌고 그 돈으로 예술하자,https://blog.naver.com/geulgoun2,20181105
