title,link,description,bloggername,bloggerlink,postdate
7월 아빠랑 토요놀이터 아빠랑 신나는 <b>아이스 스케이트</b> 참가자... ,https://blog.naver.com/cwopenspace?Redirect=Log&logNo=221571982640,"양육<b>참여</b> 확대 및 일․가정양립 활성화를 위해 7월 아빠랑 토요놀이터, 아빠랑 신나는 <b>아이스 스케이트</b> 체험을 실시합니다~! 무더운 여름 <b>아이스 스케이트</b> 타고 더위 날려버리자! 일 시 : 7월 13일(토) 10... ",창원시 공식 블로그,https://blog.naver.com/cwopenspace,20190628
오클랜드 무료 <b>아이스 스케이트</b>?! Royal Reserve Playground,https://blog.naver.com/bluejin_5?Redirect=Log&logNo=222182047456,오클랜드 서쪽 지역 Westgate mall에서 무료 <b>아이스 스케이트</b>를 탈 수 있다길래 다녀오기로 했다. 집에서... 회를 <b>참여</b>해도 초보자 수준을 벗어나지 못했었다. 그래서 1년 정도 제대로 배워보기로 마음먹었던... ,A Life of Gratitude,https://blog.naver.com/bluejin_5,20201222
목동 <b>아이스</b>링크 겨울방학 <b>스케이트</b> 특강 소식~,https://blog.naver.com/louismint?Redirect=Log&logNo=221712795780,"인라인<b>스케이트</b>를 배우고 있어서인지~ 스피드스케이팅 수업도 너무 적극적으로 <b>참여</b>하고, 힘들텐데도... 저렴한 가격에 퀄리티 있는 목동 <b>아이스</b>링크 <b>스케이트</b> 특별강습 신청해보세요. 12월 9일부터... ",알럽 루이민트짱 ♡,https://blog.naver.com/louismint,20191122
서울시청광장<b>아이스스케이트</b>,https://blog.naver.com/eukalli?Redirect=Log&logNo=221768696078,서울광장 <b>아이스스케이트</b>장으로 10시쯤 떠났어요. 너무 예쁘죠? 사진찍는 스팟은 지나칠 수 없죠.... 처음부터 기다려서 <b>참여</b>했는데 애들 불러 앉혀놓고 1등한 아이들만 상품을 주는 그런 행사는 처음이네요.... ,괜찮은 여자,https://blog.naver.com/eukalli,20200112
<b>아이스 스케이트</b> 장만했어요!! [2019 리오하우스 가을학기... ,https://blog.naver.com/km7899?Redirect=Log&logNo=221724182706,발송되었어요~ <b>아이스 스케이트</b> 수업에 <b>참여</b>하기 위해선 본인의 <b>스케이트</b> 장비를 가져가야 해요~ 캐나다에서 <b>스케이트</b>를 배우는 것은 한국에서 태권도나 피아노를 배우는 것과 같은 케이스랄까~~~ 아주... ,"리오하우스♡캐나다,토론토,할리팩스, 유학&홈스테이",https://blog.naver.com/km7899,20191202
[수지 롯데몰 웨이브즈<b>아이스</b>링크] 스피드<b>스케이트</b> 방학특강!,https://blog.naver.com/wavesicerink?Redirect=Log&logNo=222404148545,웨이브즈<b>아이스 스케이트</b> 썸머캠프를 소개해 드리려고 합니다^0^ 2021년 7월 26일부터... <b>스케이트</b>를 사랑하는 많은 친구들의 <b>참여</b>를 기다립니다^_____^ 문의 및 접수는 전화... ,롯데몰 수지점 웨이브즈 아이스링크,https://blog.naver.com/wavesicerink,20210620
샤넬 N5 <b>아이스</b>링크에서 신나게 <b>스케이트</b> 타고 왔어요! 샤넬... ,https://blog.naver.com/phj3000kr?Redirect=Log&logNo=221734422937,꼭 <b>참여</b>해보셨으면!아 요 포토부스도 13일까지만 진행한다고 하니 참고해주세요! 크으으bb 해가 지니 더 예쁜 샤넬 <b>아이스</b>링크!!진짜 크리스마스 분위기 제대로 아닌가여..?본격적으로 <b>스케이트</b>를 타봐야져..?... ,Beautiful You,https://blog.naver.com/phj3000kr,20191212
캐나다 실외 <b>아이스</b>링크 | <b>스케이트</b> 용품 구매 하울 | 캐나다... ,https://blog.naver.com/eworld1104?Redirect=Log&logNo=222281188939,"코비드만 아니라면 그 외에 여러가지 활동도 <b>참여</b>해 볼 수 있는데, 3월이어도 아직 겨울인지라. <b>스케이트</b> 밖에 할 게 없더라구요? 예약하고 가는 시스템의 캐나다 실외 <b>아이스</b>링크장 아직은 션이 갓 두... ",렌션엄마의 Mindful Moment,https://blog.naver.com/eworld1104,20210319
[캐나다초등학교] <b>아이스 스케이트</b> 수업 레벨 업!!!,https://blog.naver.com/dkfqltm?Redirect=Log&logNo=221803176218,일주일에 한번 30분씩 렉센터에서 하는 <b>아이스 스케이트</b> 수업에 <b>참여</b>한지도 벌써 3개월이 되었어요. 첫번째 세션에서는 아주 당연하게 레벨 업을 못했습니다 ㅋㅋㅋ 울고 불고 무섭다고 하던게 엊그제 같은데... ,EWC,https://blog.naver.com/dkfqltm,20200210
"수지점]웨이브즈 <b>아이스</b>링크 스피드 레슨, <b>스케이트</b> 강습",https://blog.naver.com/skateschool?Redirect=Log&logNo=222072838244,"열심히 <b>참여</b>하며 제 피드백 하나하나에 참 귀기울려 듣고 실행을 합니다 선수까지 하고 싶다하며, 열정... 실내운동 #<b>아이스스케이트</b> #용인롯데몰 #<b>스케이트</b>강습 #방과후수업 #꿈꾸는오민지<b>스케이트</b>교실... ",⠀⠀⠀⠀⠀⠀⠀,https://blog.naver.com/skateschool,20200827
