title,link,description,bloggername,bloggerlink,postdate
[아이패드 드로잉 클래스] 신촌/이대 소규모 <b>오프라인</b> <b>취미</b>그림... ,https://blog.naver.com/zmfflxldp?Redirect=Log&logNo=222099504232,"정규 클래스의 시간만 매달 변경이 있을 뿐, 다양한 원데이 클래스와 아날로그 <b>취미</b> 그림 클래스도 있으니 아래 링크를 참고하시고 신청해주세요. 그럼 클래스에서 만나요:) 당신의 손이 절대 곰손이 아니란걸... ",Yoonsoo's drawing,https://blog.naver.com/zmfflxldp,20200925
새로운 <b>취미</b> 베이킹 도구 <b>오프라인</b> 쇼핑 ! 비앤씨마켓 홍대점,https://blog.naver.com/smallgardener5?Redirect=Log&logNo=222176178200,집콕 생활의 새로운 <b>취미</b>를 만들게 되었어요! 맛있는 디저트를 직접 만들겠다는 목표를 두고 한 달... 특히나 버터랑 생크림 가격이 마트에서는 상상도 못할 가격 ㄴ(°0°)ㄱ 온라인 비앤씨마켓이랑 <b>오프라인</b>이... ,"design my story, 일상 블로그",https://blog.naver.com/smallgardener5,20201217
"워라밸 2탄', <b>오프라인</b> <b>취미</b> 클래스 함께 해요! [이벤트]",https://blog.naver.com/life_n_work?Redirect=Log&logNo=221660062917,"<b>오프라인</b> 클래스 형식으로 진행될 예정인데요. 클래스 주제는 바로 '네온 사인 만들기'입니다. 누구나 손쉽게 만들 수 있고 인테리어 용으로도 좋은 네온 사인 만들기, 함께 도전해 볼까요? 퇴근 후 <b>취미</b>생활... ",고용노동부 일생활균형 공식 블로그,https://blog.naver.com/life_n_work,20190930
땀으로 시작하는 인생 <b>취미</b>_강북구 공방/온_<b>오프라인</b> <b>취미</b> 바느질,https://blog.naver.com/poongyo_hari?Redirect=Log&logNo=222303014099,"바느질은 어린이부터 중장년층까지 모두가 향유할 수 있는 평생 <b>취미</b>입니다. [펠트 기초반_ 온/<b>오프라인</b> 진행] 친환경 소재이면서 바느질을 시작하는 분들에게 적극 추천하는, 펠트를 이용한 초급... ",풍요하리 제작소,https://blog.naver.com/poongyo_hari,20210408
8월 <b>오프라인</b> 클래스 시간표 / 온라인 <b>취미</b> 클래스 101... ,https://blog.naver.com/smells_good?Redirect=Log&logNo=222054254741,이번달도 시작과 동시에 꿈길 진로체험 진로 멘토링 <b>오프라인</b> <b>취미</b> 클래스 <b>오프라인</b> 자격증 클래스 진행하며 휴가도 없이 여러분들과 함께 열심히 보내고 있습니다. 이번 달(8월) 조향 <b>오프라인</b> 클래스는... ,지니다293,https://blog.naver.com/smells_good,20200807
온라인/<b>오프라인</b> <b>취미</b> 클라스 [아이디어스]‼️‼️,https://blog.naver.com/cjstkdltldms?Redirect=Log&logNo=222362820960,친구 얼굴 쿠션 등 구매했어요✨) 온라인/<b>오프라인</b> <b>취미</b> 클라스 이벤트로 2주 무료체험 이벤드를 해서 공유~! (2주 체험하고 취소 가능) 오늘부터 4일 밖에 남지 않았네요ヽ(✿ﾟ▽ﾟ)ノ 클라스 중 수세미나... ,소소하게 적어가는 추억들,https://blog.naver.com/cjstkdltldms,20210523
<b>오프라인</b> 클래스 <b>취미</b>활동 온라인으로 시작해요!,https://blog.naver.com/dlruddbs7412?Redirect=Log&logNo=221781530751,"이러한 이유들 때문에 만약 <b>취미</b>생활이나 자기계발을 위해서 직접 <b>오프라인</b>클래스를 수강하는 것은 좋은 선택이 아닌 것처럼 느껴집니다. 물론 막상 시작하면 정말 좋은 수업들도 마련되어 있겠지만, 이런... ",No fear 외국어!,https://blog.naver.com/dlruddbs7412,20200122
"도전하는 2월, 학습통 <b>오프라인</b> 강좌 :: <b>취미</b>생활부터 전문가까지!",https://blog.naver.com/dgllle?Redirect=Log&logNo=221798541199,"대구평생교육진흥원 2월 <b>오프라인</b> 강좌안내 배움의 이음, 행복의 이음! 안녕하세요.... 26 120,000원 달구벌여성인력 개발센터 나만의 독특한 <b>취미</b>생활을 누리다! - <b>취미</b> 강좌편 강좌명... ",대구평생학습진흥원,https://blog.naver.com/dgllle,20200206
"감성<b>취미</b> 시낭독, 시낭송 강의(<b>오프라인</b>, 온라인)",https://blog.naver.com/itslovelyy?Redirect=Log&logNo=222089698880,"40대의 남자 <b>취미</b>, 50대의남자<b>취미</b>,60대의 남자<b>취미</b>로 추천합니다. <b>오프라인</b> 프로그램 개요 장소 : 부산 연산역5번 출구 JH빌딩 6층 첫시작 : 9/25(금요일) 시간 : 매주 금요일 16:00~17:30 (주1회 12차시... ",그레이스의 서재,https://blog.naver.com/itslovelyy,20200915
[<b>취미</b>] 나만의 <b>오프라인</b> 스크랩북,https://blog.naver.com/shikyoh2?Redirect=Log&logNo=222151460912,"나에겐 3권의 <b>오프라인</b> 스크랩 노트가 있다. 전자 출력물이 대세를 이루면서, 전자 문서를 보관하는 방법은 점점 더 쉬워지고 있는데, 아직까지 고집스럽게도 <b>오프라인</b> 문서를 좋아한다. 어쩌면 이런게... ",진오의 블루,https://blog.naver.com/shikyoh2,20201122
<b>취미</b>생활을 보여주세요! 시간여유가 없어서 <b>오프라인</b> 활동은... ,https://blog.naver.com/kbsji3877?Redirect=Log&logNo=221829104433,"매일 일정한 패턴으로 사회생활을 하다보니, 시간적인 여유가 없어서 <b>오프라인</b> <b>취미</b>는 거의 없고, 퇴근후에 주로 tv시청이나 sns를 주로하는 편입니다. 자주보는 tv채널은 케이블영화 위주로 보고 있으며, sns은... ",모두비움 010-3699-3872,https://blog.naver.com/kbsji3877,20200228
GV-45 악기사 <b>오프라인</b> 매장 방문 후기 성인 <b>취미</b>학원 등록,https://blog.naver.com/j-cobmusic?Redirect=Log&logNo=222388628580,안녕하세요 울산악기사 제이콥악기사입니다 오늘은 날이 좋아서 그런지 <b>오프라인</b>매장에 많은... 울산성인바이올린 #<b>취미</b>바이올린 #KBS바이올린 #울산음악학원 #울산수제바이올린 #악기사 #제이콥악기사,울산 제이콥악기사,https://blog.naver.com/j-cobmusic,20210607
"[마포구] 11월 <b>오프라인</b> <b>취미</b>교실, 목공 · 원예교실 모집예정!... ",https://blog.naver.com/epworkingmom?Redirect=Log&logNo=222124168807,"오늘은 노을여가센터에서 진행하는 11월 <b>오프라인</b> 프로그램 원에교실과 목공교실을 소개해드리려고 합니다. 이 곳에서 다양한 프로그램들을 진행하는데, (별 관측, 숲치유, 토요 숲 여행, 전통놀이... ",서울특별시 서북권직장맘지원센터,https://blog.naver.com/epworkingmom,20201023
"성인 <b>취미</b>미술, 마음으로 그리는 세상에서 펜드로잉 <b>오프라인</b>... ",https://blog.naver.com/solhaspace?Redirect=Log&logNo=222135328710,"일산 파주성인 <b>취미</b>미술, 화실 마음으로 그리는 세상 펜드로잉 수업 안녕하세요&gt;_&lt; 화실 마음으로... 위한 <b>오프라인</b> 감성으로 내 이야기를 펼치고 싶으신 분들은, 화실을 찾아주시면 행복하게 지도해드릴게요... ",취미미술 화실 마음으로 그리는 세상,https://blog.naver.com/solhaspace,20201104
퇴사후 <b>취미</b>가 직업이 되는 재봉틀 공방창업컨설팅 <b>오프라인</b>공... ,https://blog.naver.com/beaver55?Redirect=Log&logNo=222075337850,그렇다고 비싼 월세내고 무작정 <b>오프라인</b> 공방 내시라고 펌프질하는 건 아니예요~~~ 나만의 브랜딩을 먼저 해야 합니다. 무엇보다도 <b>취미</b>를 직업으로 삼고 싶으면 나만의 스토리와 브랜딩이 먼저... ,움직이는 공방,https://blog.naver.com/beaver55,20200831
