title,link,description,bloggername,bloggerlink,postdate
"<b>원예</b>치료 <b>원예</b>심리상담사, 무료강의로 쉽게",https://blog.naver.com/gkwodnjs842?Redirect=Log&logNo=222432889037,진로를 알아보는 와중에 <b>원예</b>치료 <b>원예</b>심리상담사라는 직업에 대해 알게 됐어요. 말 그대로 <b>원예</b>활동을 심리치료에 이용하는 과정인데 평소 저의 성향과도 잘 맞을 것 같았어요. 평소에 꽃이나 식물에도 관심이... ,섬의 섬,https://blog.naver.com/gkwodnjs842,20210715
"[GV] <b>원예</b> 이야기, 박하사탕 : 레디~ 액션! 18 넷",https://blog.naver.com/bikff?Redirect=Log&logNo=222426685896,박하사탕 Peppermint Candy 박유빈 / PARK Yu-bin 대한민국 | 2020 | 18 분 소개 바로가기 &gt;&gt; <b>원예</b> 이야기 Gardening... 05 &lt;<b>원예</b> 이야기&gt; 이희원 감독님 질문 꽃을 클로즈업한 인서트씬을 많이 넣어주셨어요. 그 의미가... ,부산국제어린이청소년영화제 BIKY,https://blog.naver.com/bikff,20210710
국산 기술로 <b>원예</b>작물 바이러스 진단 키트 16종 개발!... ,https://blog.naver.com/rda2448?Redirect=Log&logNo=222377051828,"농촌진흥청 국립<b>원예</b>특작과학원 <b>원예</b>특작환경과 조인숙 박사는 연간 농작물 바이러스병 피해액이 1조 원에 이른다는 점에 주목하고, 국산 키트 개발에 주력했다. 조 박사의 성과가 세상에 나오기 전까지... ",농촌진흥청 블로그 '농다락',https://blog.naver.com/rda2448,20210531
<b>원예</b>기능사 실기대비 (1일 특강),https://blog.naver.com/godori1967?Redirect=Log&logNo=222358327534,"본 포스팅은 <b>원예</b> 기능사 실기 준비를 위한 지극히 개인 적인 포스팅 입니다. 종자 감별 (채소종자, 화훼종자, 과실실물 등) 총 10개 이름 쓰기 이게 <b>원예</b>기능사 시험이 맞는건가 모르겠다. 언제부터인지... ",꿈꾸는텃밭,https://blog.naver.com/godori1967,20210520
가재울도서관 문화강좌 힐링 <b>원예</b>수업 테라리움 만들기,https://blog.naver.com/hope_city?Redirect=Log&logNo=222391139443,"지난 6월 3일 가재울도서관에서는 문화강좌 힐링 <b>원예</b> 수업이 진행되었습니다. 꽃, 식물 이론에 대해 배워보고 여러 가지 식물소재를 이용한 <b>원예</b>아트 작품 만들기 문화강좌로 4월 15일부터 6월 3일까지 8회차... ",의정부시 공식 블로그,https://blog.naver.com/hope_city,20210609
<b>원예</b> 분갈이용 방수매트 : 분갈이 편해졌어요,https://blog.naver.com/jinyblossom?Redirect=Log&logNo=222427716317,<b>원예</b> 분갈이용 방수 매트 구매후기 <b>원예</b> 분갈이 방수 매트 집에 있는 시간이 많아지면서 반려식물에 관심을 갖게 되고 한 두개씩 들여서 키우다보니 그 사이 폭풍 성장한 식물들은 분갈이를 해줘야 했어요.... ,jinyblossom,https://blog.naver.com/jinyblossom,20210711
[힐링<b>원예</b>] 한국 전통 미니키 다육공예,https://blog.naver.com/herbseed?Redirect=Log&logNo=222435826545,다가온에서 힐링<b>원예</b> 수업을 줌으로 하고 있답니다. 도서관 1층에 다가온이 있는데 다문화 가족만 이용... 수공예 수업과 힐링<b>원예</b> 수업 강좌가 올라와서 힐링<b>원예</b> 수업을 신청했다죠 1순위가 다문화 가족이라서... ,"은, 율, 한이와 만드는 이야기",https://blog.naver.com/herbseed,20210718
일산 <b>원예</b>수업 가드닝 클래스,https://blog.naver.com/tisenrawk?Redirect=Log&logNo=222423138353,일산 <b>원예</b>수업 가드닝 클래스 안녕하세요 여러분들의 일상에 항상 식물이 함께 하길 바라는... 일산 <b>원예</b>수업을 준비했습니다 전국적으로 준비하면 좋겠지만 ㅠㅠ 아직 인프라가 많이 형성되지않아 일산에서... ,볼거없는곳,https://blog.naver.com/tisenrawk,20210707
마을교사활동 교실로 찾아가는 <b>원예</b>체험활동 미세먼지... ,https://blog.naver.com/dnjfaudwhrud?Redirect=Log&logNo=222376308994,마을교사 활동으로 생태 <b>원예</b>수업을 학교에서 부탁하면 종종 찾아가서 아이들과 수업을... 찾아가서 <b>원예</b>체험을 진행해 주었네요 화분이 모두 사기화분이라 무게가 있어서 나르는데도 힘들더라구요. 마사와... ,월명팜 원예체험 치유농장,https://blog.naver.com/dnjfaudwhrud,20210531
청주 체험학습 더자람 <b>원예</b>교육농장에서 치유하다,https://blog.naver.com/sea3139?Redirect=Log&logNo=222432639304,오늘은 청주에서 <b>원예</b>체험 학습을 할 수 있는 더자람 치유 농장을 소개해 드리겠습니다 청주시 상당구... 두번째 하우스에 방문하니 지역 활동 강사분들이 <b>원예</b> 체험 키트를 만들고 계십니다. 복지관과 교육기관... ,라임씨의 행복찾기,https://blog.naver.com/sea3139,20210715
