title,link,description,bloggername,bloggerlink,postdate
노벨피아 <b>웹소설</b> 추천 나쁜말 해도 되는 인방 핵꿀잼!,https://blog.naver.com/sabda7270?Redirect=Log&logNo=222329346849,"생긴 <b>웹소설</b> 플렛폼인데, 요즘 저의 안식처나 다름없어요. 출퇴근하면서 계속 보고 있거든요 ㅎㅎ 정액제라서 얼마든지 볼 수 있으니까 출퇴근 시간에 딱 맞는 거 같더라구요. 옛날 조노블에 있던 소설들이... ",블로그,https://blog.naver.com/sabda7270,20210502
글을 좋아 하다 보니...  feat <b>웹소설</b>을 보면서...,https://blog.naver.com/hypnosis_75?Redirect=Log&logNo=222436896986,어제 그제 <b>웹소설</b> 중에서 한참 재밌게 돈 써가며 읽다가 어느 연재 주기가 변경 된다는 이야기를 보면서 순간 &quot; 내가 이걸 왜 읽고 있었던 걸까? &quot; 라는 생각이 머리를 스치고 지나가면서 &quot;이 소설이 나에게 주는... ,내면의아이와 함께~,https://blog.naver.com/hypnosis_75,20210719
Q. <b>웹소설</b>을 어떻게 분석하나요?,https://blog.naver.com/sntu2010?Redirect=Log&logNo=222380463352,<b>웹소설</b>도 마찬가지입니다. 저 역시 처음에는 그냥 내가 쓰면 즐거운 소설을 의식의 흐름대로 썼고 쓰면서 부족하다고 느끼는 부분을 따로 공부한 겁니다. 저번 포스팅에서 말했듯 저는 소설을 2개 완결 내고도... ,정룡필의 웹소설웹툰 연구소,https://blog.naver.com/sntu2010,20210602
된 그런 느낌(feat. 로즈빈님 신작 <b>웹소설</b>을 주목해 주세요!),https://blog.naver.com/koreatheatre?Redirect=Log&logNo=222415751979,"<b>웹소설</b> 작가로 유명한 로즈빈님으로부터 온 것이었습니다. 차기작을 준비하면서 행사, 축제 기획자 관련 정보를 수집하던 중에 제 글을 보게 되셨다며, 소설 속 인물의 직업 세계관을 구축하기 위해 제... ",연긍정의 일 + 공부 로그,https://blog.naver.com/koreatheatre,20210630
<b>웹소설</b> 플롯짜기 어려울 수 밖에 없는 이유,https://blog.naver.com/edusix?Redirect=Log&logNo=222399764477,<b>웹소설</b> 플롯짜기 어려울 수 밖에 없는 이유 플롯이라는게 정말 어려운 것이라고 하네요 제목이나 주제... 없는데요 <b>웹소설</b>의 계약의 종류도 어마어마하게 갈라진다고 할 수 있을 것 같네요 나와 맞는 출판사를... ,생활 노하우,https://blog.naver.com/edusix,20210619
<b>웹소설</b> 리뷰 / 완벽한 부부는 없다 / 이다홍,https://blog.naver.com/lay212?Redirect=Log&logNo=222329378204,"(스포가 엄청) 휴일 유튜브 보면서 스트레칭 하다가 중간에 <b>웹소설</b> 광고가 툭. '완벽한' 만 보았고... 중드도, <b>웹소설</b>도 현대극보다는 시대극이나 판타지가 좋지만 짧으니 들이댐^^ 완벽한 부부는 없다 / 이다홍... ",루루네 행복공작실,https://blog.naver.com/lay212,20210430
첫 <b>웹소설</b> 번역을 마치며,https://blog.naver.com/pinksugar19?Redirect=Log&logNo=222422676494,"내가 번역한 첫 <b>웹소설</b>이 연재가 끝났다. 번역은 6월말에 끝났고 연재는 얼마 전에 끝난 듯 싶다. 원래는... 멘탈이 약한 나라서 연재되는 동안 <b>웹소설</b> 댓글을 안 봤는데, 이제서 슬쩍 보니 나쁘지 않았다. 기분... ",Dana's Big 不勞區,https://blog.naver.com/pinksugar19,20210706
<b>웹소설</b>에 관심이 생겼다,https://blog.naver.com/claire214?Redirect=Log&logNo=222426522449,"예전부터 등단을 준비했던 친구가 있어서 온라인에 연재하는 소설 플랫폼이 있다 정도는 얼핏 알고 있었다. 그러나 <b>웹소설</b>이라는 구체적인 명칭도 당시에는 아니었고, 일단 굉장히 마이너한 공간이라고만... ",Allegro ma non troppo,https://blog.naver.com/claire214,20210710
나도 <b>웹소설</b> 작가가 될 수 있을까?_<b>웹소설</b> 작가되기 2기... ,https://blog.naver.com/sb50cam?Redirect=Log&logNo=222423318421,(안다고 다 할 수 있는 것은 물론 아니지만...) <b>웹소설</b> 플랫폼에 맞는 글쓰기란 무엇일까? 스마트폰으로 소설을 읽는 시대의 쉽고 편하면서도 재미있는 글쓰기는 어떻게 해야 하나? 특히 <b>웹소설</b> 작가되기에... ,서울시50플러스 서부캠퍼스,https://blog.naver.com/sb50cam,20210707
[문피아 골든 베스트] 오늘의 무료 <b>웹소설</b> 순위는? (114),https://blog.naver.com/munpiatm?Redirect=Log&logNo=222430266609,오늘의 무료 <b>웹소설</b> 상위권에는 다채로운 주인공들이 다 모였네요. 세 사람 중 누가 제일 강할지 궁금해집니다:) 궁금하시다면? 지금 무료 <b>웹소설</b>로 한번 읽어보세요. 7월 13일 00시를 기준으로 집계한... ,문피아 웹소설 ON-AIR,https://blog.naver.com/munpiatm,20210713
