title,link,description,bloggername,bloggerlink,postdate
‘2019 서울컵 오픈 <b>윈드서핑</b>대회’개최,https://blog.naver.com/seoulsportal?Redirect=Log&logNo=221658737899,체험강습 신청을 원하는 시민은 서울시<b>윈드서핑</b>카이트보딩연맹 사무처 전화접수(☎02-457-3773) 또는 현장 접수를 통해 <b>참여</b>할 수 있다. 정창수 서울시체육회 사무처장은 “한강에서 오픈 <b>윈드서핑</b>대회를... ,서울특별시체육회 블로그,https://blog.naver.com/seoulsportal,20190925
춘천<b>윈드서핑</b>클럽 보수작업,https://blog.naver.com/muljanggu5?Redirect=Log&logNo=221985389227,예정입니다 <b>서핑</b>장에 오시면 멋진 라이딩모습을 볼수도 있으며 또한 춘천<b>윈드서핑</b>클럽에서는 매년 무료강습회도 개최하니 부담없이 <b>참여</b>하시면 색다른 시간을 가지실 수 있습니다 http://cafe.daum.net/chuncheonwind... ,물장구5(muljanggu5)의 여행,https://blog.naver.com/muljanggu5,20200531
한강에서 즐기는 ‘<b>윈드서핑</b> 스포츠교실’,https://blog.naver.com/hot2hot2seoul?Redirect=Log&logNo=221660058329,"초등학생부터 성인까지 다양한 연령대가 <b>참여</b>했는데요. 먼저, 구명조끼를 착용한 후 <b>윈드서핑</b> 교실 지도자인 김쌍기 선생님의 교육이 진행됐습니다. <b>윈드서핑</b>에 대한 설명과 전진, 방향 전환 등 세일 조정법을... ",핫둘핫둘서울,https://blog.naver.com/hot2hot2seoul,20190926
"강동구, 여름 해양스포츠‘<b>윈드서핑</b>’체험교실 운영",https://blog.naver.com/yangwg2000?Redirect=Log&logNo=221589622432,해양스포츠인 ‘<b>윈드서핑</b>’에 <b>참여</b>할 신청자를 선착순 모집합니다. 뚝섬유원지와 인접한 지리적 이점을 살려 색다른 주민<b>참여</b> 프로그램으로 평소 접근하기 쉽지 않은 수상스포츠를 생활체육과 접목하여 올해... ,고덕아이파크. 자산관리상담전문,https://blog.naver.com/yangwg2000,20190719
"제주도 동쪽 이색 액티비티 추천 :: <b>윈드서핑</b> &amp; 패들보드, 그제바람",https://blog.naver.com/okuoku1004?Redirect=Log&logNo=222358477999,제주의 아름다운 동쪽 바다를 제대로 느낄 수 있는 <b>윈드서핑</b>과 패들보드 체험이 그 주인공입니다.... 이런 체험이라면 제주에 여행 오신 분들도 쉽게 <b>참여</b>하실 수 있을 것 같아요. 2시간의 패들보드 체험시간을... ,애월아빠들 Blog,https://blog.naver.com/okuoku1004,20210520
제 26회 바다의 날 기념식 <b>윈드서핑</b>으로 행사참석,https://blog.naver.com/zionsung?Redirect=Log&logNo=222385365915,저도 제26회 바다의 날 행사에 <b>윈드서핑</b> 팀으로 <b>참여</b>를 하였기에 바다에서 사진을 찍을 수 없어서... 세일로 <b>서핑</b>을 즐기는 것이 저입니다. 금요일에 날씨는 화창했지만 바람이 거의 없었고 무더웠고 간혹가다... ,거제에 사는 이야기,https://blog.naver.com/zionsung,20210605
"[태안 만리포 0720] <b>윈드서핑</b>, 패들보드, <b>서핑</b> - 패들보드... ",https://blog.naver.com/cuspace?Redirect=Log&logNo=222437974258,"[태안 만리포 0720] <b>윈드서핑</b>, 패들보드, <b>서핑</b> - 패들보드 전문강사가 가르치는 패들보드... 훈련하기 - 패들보드 투어, <b>서핑</b>, 레이싱 체험해 보기 많은 관심과 <b>참여</b> 바랍니다. 문의는 댓글로 하면 되요.","바다캠프 서핑, 패들보드 윈드서핑 010 3258 6747",https://blog.naver.com/cuspace,20210720
2019 <b>윈드서핑</b> 카누 카약 클럽 회원 모집 공지입니다.,https://blog.naver.com/slpilates?Redirect=Log&logNo=221629919171,"8-11 ※<b>윈드서핑</b>, 카약 강습 : 목,금,토 13:00 ~ 18:00 ※선착순 접수(예비자를 포함하여 접수 중) ※1개 아이디당 최대 4명 신청 가능 ※1인 최대 4회까지 <b>참여</b> 가능 ▣ 참가대상 : 10세(초등학교 3학년)... ",SUP(패들보드) 타는 필라테스 이원장,https://blog.naver.com/slpilates,20190827
친구의 <b>윈드서핑</b> 배우기-임윤희<b>윈드서핑</b>스쿨 신양섭지해수욕장... ,https://blog.naver.com/greenhow?Redirect=Log&logNo=221670871805,"지난주 조용한 제주바다 늦은 여름휴가로 제주도를 찾은 두 친구가 <b>윈드서핑</b> 체험에 나섰네요. <b>윈드서핑</b> 기본자세 지상훈련 <b>윈드서핑</b> 기초 교육,지상에서 자세 연습 신양섭지해수욕장 모래사장에서 먼저... ","제주 윈드서핑, SUP,서핑,카이트 서핑 체험 강습 렌탈",https://blog.naver.com/greenhow,20191007
"나눔 발표-<b>윈드서핑</b>님,자운영님",https://blog.naver.com/zzoo0531?Redirect=Log&logNo=221883876656,분들이 <b>참여</b>해주셔서 놀라고 송구스럽습니다 그런 마음은 일단 뒤로하고 당첨 되신 두분 축하합니다<b>윈드서핑</b>님과 자운영님 축하 합니다 받으시고 1주일 후에 분갈이 해주세요 작아도 겨울 난 아이들이라 별... ,꽃길만 걷자,https://blog.naver.com/zzoo0531,20200331
