title,link,description,bloggername,bloggerlink,postdate
주민<b>참여</b> 주도형 새만금 <b>육상</b>태양광사업 본격화,https://blog.naver.com/ksu21cm1?Redirect=Log&logNo=222120834395,주민<b>참여</b> 주도형 새만금 <b>육상</b>태양광사업 본격화 총사업비 80%를 주민투자에 기반한 주민<b>참여</b> 주도형 <b>육상</b>태양광사업이 새만금에서 본격화한다. 전북 군산시는 20일 새만금 <b>육상</b>태양광 2구역(2... ,"태양광발전사업, 전문시공 인,허가 컨설팅 전문,EPC",https://blog.naver.com/ksu21cm1,20201020
"[뉴스 이슈] 대구<b>육상</b>센터에서 총 1,018명 혈장공여 <b>참여</b>",https://blog.naver.com/elim19?Redirect=Log&logNo=222094005563,"지난 9월 6일, 대구 <b>육상</b>센터에서 1,018명이 혈장공여를 마쳤다고 하는데요. 코로나에 걸렸다 완치된... 이번에 혈장공여에 <b>참여</b>한 이들은 대구의 한 교회를 다니는 성도들이었습니다. 여러 기사들에 의하면... ",마카롱,https://blog.naver.com/elim19,20200919
TIS <b>육상</b>경기에 <b>참여</b>한 학생,https://blog.naver.com/1986tiseagles?Redirect=Log&logNo=222268366503,"초등학생들은 축구, 크로스 컨트리, 배드민턴, 체스, 탁구 등 친선 경기에 <b>참여</b>합니다. 잘 짜여진 스포츠 프로그램은 훌륭한 스포츠맨십, 팀워크, 헌신, 근면 및 건강한 라이프 스타일을 서포트 하기 위한 신체... ",Tianjin International School,https://blog.naver.com/1986tiseagles,20210308
“새만금<b>육상</b>태양광 사업부지 토양오염 우려 없다”,https://blog.naver.com/sms1038?Redirect=Log&logNo=222414929539,"새만금<b>육상</b>태양광 2구역 사업을 추진하고 있는 군산<b>육상</b>태양광 주식회사는 지난 15일 환경단체 대표와 세아베스틸, 전북도 보건환경연구원, 전북도의회 나기학 의원 등이 <b>참여</b>한 가운데 새만금<b>육상</b>태양... ",오렌지 공인중개사 사무소,https://blog.naver.com/sms1038,20210630
"새만금개발공사, 우기 대비 <b>육상</b>태양광 현장 안전점검",https://blog.naver.com/leebangheui?Redirect=Log&logNo=222407643650,"공사가 추진 중인 새만금 <b>육상</b>태양광 1구역 발전사업과 3구역 발전사업은 새만금 재생에너지사업 민관협의회 지역상생방안에 따라 공사에 지역업체 40% 이상이 <b>참여</b>하고, 50% 이상의 지역 기자재 사용을... ",BANGABANGA,https://blog.naver.com/leebangheui,20210623
"[건국대] 제75회 전국대학대항<b>육상</b>경기대회 1500m 1위, 2위... ",https://blog.naver.com/dreamkonkuk?Redirect=Log&logNo=222401051646,2020 <b>육상</b>부 훈련 사진/2021 제주도 동계 훈련에 <b>참여</b>한 <b>육상</b>부 (사진 출처: 건국대학교 <b>육상</b>부) 새벽 5시 30분에 기상하여 체조나 스트레칭하며 몸을 푸는 것으로 훈련을 시작하는데요. 조깅을 70~80분 한 후에... ,건국대학교 공식 블로그 투데이 건국,https://blog.naver.com/dreamkonkuk,20210617
"제주도, <b>육상</b>해수양식장 내 ICT 융합시스템 구축",https://blog.naver.com/happyjejudo?Redirect=Log&logNo=222325932697,"<b>육상</b>해수양식장 정보시스템 흐름도 예시 제주도는 이달 말까지 행정시와 제주어류양식수협을 통해 <b>참여</b> 희망 어업경영체에 대한 수요조사를 실시하고 있으며, 최첨단 ICT 기술을 활용한 양식장 정보를... ",제주특별자치도,https://blog.naver.com/happyjejudo,20210428
충북<b>육상</b>연맹 제60회 충북도민체전성공개최 챌린지 <b>참여</b>,https://blog.naver.com/chungbuksport?Redirect=Log&logNo=222323706516,"#충북체육회 #충청북도체육회 #충북도민체전성공개최챌린지 #충북도민체전 4월 19일, 충북<b>육상</b>연맹이 14년 만에 진천군에서 개최되는 제60회 충북도민체육대회의 성공적인 개최를 위해 모두 <b>참여</b>하자는... ",충청북도체육회,https://blog.naver.com/chungbuksport,20210426
"잠실종합운동장 제2수영장 수심, 입장료/ 프렌젤 <b>육상</b> 수업",https://blog.naver.com/baekjeun?Redirect=Log&logNo=222247696895,"잠실종합운동장 제2수영장 수심, 입장료 등 고고다이브 자율연습반 프렌젤 <b>육상</b>수업 세부 다이비엥... 자율연습반에 <b>참여</b>할 수 있다. 같이 연습반에 온 다른 다이버분이 말씀해주셨는데 자율연습반을... ",똥꼬발랄한 블로그✈︎,https://blog.naver.com/baekjeun,20210218
[내꿈내일 기자단]누구보다도 빠른 홍석만 <b>육상</b>선수를... ,https://blog.naver.com/kead1?Redirect=Log&logNo=222221440665,제작에 <b>참여</b>해 장애인 맞춤형 실내운동을 적극 전파했습니다. 장애가 언제까지 극복하지 못하는 한계점일까요? 홍석만 선수의 사례를 보면 두 다리가 없어도 <b>육상</b>선수를 하는데 정작 나는 두려움 탓에... ,한국장애인고용공단 공식블로그,https://blog.naver.com/kead1,20210127
