title,link,description,bloggername,bloggerlink,postdate
전기기사필기 난이도 및 <b>자격증</b> <b>공부</b> 후기!,https://blog.naver.com/hausberlin?Redirect=Log&logNo=222392847959,"전기기사<b>자격증</b> 동회차를 노리신 분들은 미리미리 교재를 구매하여 <b>공부</b>하는 것을 추천 드려요! 실기 시험이 중간고사 기간까지 겹쳐서 어려웠지만, 최대한 효율적으로 <b>공부</b>하기 위해 에듀윌 온라인 수업을... ",아기상어뚜루의 행복한 공간,https://blog.naver.com/hausberlin,20210610
커리큘럼 만족한 바리스타<b>자격증</b> <b>공부</b>,https://blog.naver.com/ledyoungss?Redirect=Log&logNo=222389579174,"하루도 빠짐없이 강의를 들었고, 모르는 게 생기면 반복해서 학습을 할 정도로 열심히 <b>공부</b>를 하게 되었어요. 바리스타<b>자격증</b>의 취득 시험은 합격 기준이 있어서 일정한 점수를 내야 했어요. 100점 만점 기준 60점... ",낮잠자기 좋은 오후,https://blog.naver.com/ledyoungss,20210608
미술심리상담사<b>자격증</b> <b>공부</b>하면서 우울증까지 극복했어요,https://blog.naver.com/thingshyuk?Redirect=Log&logNo=222343617072,한국자격검정평가진흥원이라는 신뢰성이 보장된 기관이기 때문에 다른 부수적인 걱정거리 없이 미술심리상담사<b>자격증</b> <b>공부</b>에 박차를 가할 수 있었죠. 삶에서 하나의 목표가 생기니 할 일은 많고 더 바쁘게... ,내일도달린다,https://blog.naver.com/thingshyuk,20210509
동화구연지도사<b>자격증</b> 솔직한 <b>공부</b>과정,https://blog.naver.com/healingpraha?Redirect=Log&logNo=222360026865,그리고 오후에는 제가 저번에 취득한 동화구연지도사<b>자격증</b> <b>공부</b>할 때 배웠던 방법으로 동화책을 읽어주고 있어요! ^^ 기분이 좋아서 배를 통통! 하루를 온전히 아이의 태교에 전념을 하는 건 힘든 거 같습니다.... ,힐링인프라하,https://blog.naver.com/healingpraha,20210521
미술심리상담사<b>자격증</b> <b>공부</b>가 곧 힐링,https://blog.naver.com/kelly0625?Redirect=Log&logNo=222372588814,"자신이 <b>공부</b>했던 스웨덴으로 돌아갔답니다. 이후 한국에서도 예술심리치료가 서서히 붐을 일으키게 되면서 놀이, 미술, 음악, 춤과 심리학을 접목한 치료가 활성화 되어 저도 전공을 살려 미술심리상담사<b>자격증</b>... ",꿈꾸는 별의 미라클 스토리,https://blog.naver.com/kelly0625,20210528
매경테스트 <b>자격증</b> <b>공부</b>할 때 준비 사항,https://blog.naver.com/urjj?Redirect=Log&logNo=222401219380,일반적인 <b>자격증</b>은 다 취득한 상태인데 합격률을 더 올리려면 매경테스트도 준비해 두는 게 좋다고... 그때 느낀 점으로 기존에 <b>공부</b>했던 부분과 많이 다른 과정이라는 생각이 번뜩 들더라구요. 그 이후로... ,까르페디엠,https://blog.naver.com/urjj,20210617
컴퓨터관련 <b>자격증</b> <b>공부</b>하며 학위까지 취득하는법,https://blog.naver.com/dlthd57?Redirect=Log&logNo=222415859957,싶었던 <b>공부</b>이면서 <b>자격증</b>까지 대비가 되는 과정이라서 학점은행제를 통해 진행하길 잘했다는 생각이 들었습니다 솔직히 또 학원을 등록하고 하려면 돈도 많이 들었을텐데 <b>공부</b>도 하면서 학력까지 챙길 수... ,멩이 덩이,https://blog.naver.com/dlthd57,20210630
전산회계<b>자격증</b> <b>공부</b> 효율성을 최우선으로,https://blog.naver.com/minisun78?Redirect=Log&logNo=222375584296,"그런데 전산회계<b>자격증</b> <b>공부</b>는 손에서 놓을 수 없는 운명이었습니다. 경영학과 출신으로서 취업을 하자니 이번엔 1급 <b>자격증</b>이 거론되더군요. 취업난 속에서 변별력을 높이자니 다들 더 높은 스펙, 상급... ",희망찬 내일을 위해 도전하는 오늘..,https://blog.naver.com/minisun78,20210531
물류관리사 <b>자격증</b> 이렇게 <b>공부</b>하세요,https://blog.naver.com/eduwillgroup?Redirect=Log&logNo=222176399170,물류와 관련된 전공자라면 그렇다 말할 수 있지만 물류관리사 <b>자격증</b> <b>공부</b>는 처음 도전해 보는 것이었기 때문에 혼자서 할 생각은 못했어요. 더군다나 시험까지 기간이 얼마 남아 있지 않았기 때문에 시험에... ,에듀윌 공식블로그,https://blog.naver.com/eduwillgroup,20201219
청소년상담사3급 <b>자격증</b> 순조롭게 <b>공부</b>한 방법,https://blog.naver.com/tenlove1?Redirect=Log&logNo=222308881914,도중에 지루해서 청소년상담사3급 <b>자격증</b> <b>공부</b>를 그만두면 어떡하나 고민도 있었지만 학습에 흥미를 붙일 수 있도록 수업 자체를 딱딱하지 않게 끌고 가는 모습에 노력해주시는 게 보였어요. 발음도 좋으셔서... ,불량 안아키 엄마의 보금자리,https://blog.naver.com/tenlove1,20210413
"사회복지사1급 <b>자격증</b>, 응시자격과 <b>공부</b>방법!",https://blog.naver.com/rudghkwjd10?Redirect=Log&logNo=222357130561,많은 분들이 이 인강을 듣고 합격하였다는 것을 보고 저 또한 에.듀.윌을 통해 사회복지사1급<b>자격증</b> <b>공부</b>를 시작하게 되었답니다. 우선 이 인강의 경우 베스트셀러 1위 교재를 활용하여 강의를 진행하게... ,길위에서 감성을 만나다.,https://blog.naver.com/rudghkwjd10,20210519
아동심리상담사<b>자격증</b> <b>공부</b> 어떻게 하지?,https://blog.naver.com/yeas12?Redirect=Log&logNo=222341184688,제가 모든 사례에 능통한 상담가라고 아직은 말할 수 없지만 앞으로는 열심히 배워서 그러한 활약을 하고 싶다는 생각을 하게 됐고 이 아동심리상담사<b>자격증</b> <b>공부</b>가 그 시작이라는 마음으로 최선을 다하게... ,욕심없이 여행하기,https://blog.naver.com/yeas12,20210507
