title,link,description,bloggername,bloggerlink,postdate
부안 우금바위 일원(扶安 禹金바위 一圓)_<b>명승</b>으로 지정됐다,https://blog.naver.com/jcjkks?Redirect=Log&logNo=222423070587,"'부안 우금바위 일원'이 <b>명승</b>으로 지정된 것을 환영하면서, 그동안 <b>방문</b>했던 개암사와 그곳에서... <b>명승</b> 분류; <b>자연</b>유산 / <b>명승</b> / 역사문화경관 면적; 907,398㎡ 지정일; 2021. 06. 09. 소재지; 전북 부안군 상서면... ",쏠쏠한 일상,https://blog.naver.com/jcjkks,20210707
천연기념물센터(대전)_우리나라 천연기념물과 <b>명승</b>을 볼 수... ,https://blog.naver.com/jiyouls?Redirect=Log&logNo=222270397432,"입구에서 손소독을 하고 열체크와 <b>방문</b>기록 QR을 찍고 입장했습니다. 전시실은 1층으로 운영이 되고 있었고 천연기념물의 이해와 식물, 동물, 지질, 천연보호구역, <b>명승</b>, 한반도의 <b>자연</b>유산과 영상관, 메머드... ",열쓰의 즐거운 여행 & 리뷰...,https://blog.naver.com/jiyouls,20210310
<b>명승</b> 옛길 활용 콘텐츠 개발 및 보급,https://blog.naver.com/egalia2?Redirect=Log&logNo=222200757107,"<b>명승</b>은 유적보다는 <b>자연</b> 기념물적 요소가 더 큰 것을 말하고 있어, <b>자연</b>보다 유적의 요소가 더 큰... 홈페이지를 <b>방문</b>해주세요! http://www.mystorydoll.com/ 해당 포스팅은 마이스토리돌이 개발한 콘텐츠 입니다. 무단... ",MyStoryDoll,https://blog.naver.com/egalia2,20210112
성락원(城樂園)이 성북동 별서 (서울 城北洞 別墅)로 <b>명승</b> 재지정,https://blog.naver.com/gcman?Redirect=Log&logNo=222081878103,"성락원 <b>방문</b> 가능한지 별도 연락시 불가하고 개방 일정도 미정이라고 했는데, 금번 <b>명승</b>... 또한 얼마 남지 않은 조선시대 민가정원으로서 보존ㆍ연구의 가치가 있음 (경관성) <b>자연</b> 계류와... ",토미의 관광 연구소,https://blog.naver.com/gcman,20200906
[‘한국의 <b>명승</b>’ 명산 ②]오대산 소금강·구룡령,https://blog.naver.com/hanik1008?Redirect=Log&logNo=222212896278,"1m)은 자타가 공인하는 한국의 명산이며, 그 동쪽 자락에 있는 소금강은 한국의 <b>명승</b> 제1호이다. 정식... 아름다운 <b>자연</b>을 찾아 <b>방문</b>했을 가능성이 매우 높다. 당시 한양과 명주(지금의 강릉)를 오가던 길이 바로... ",hanik1008님의 블로그,https://blog.naver.com/hanik1008,20210119
부안 채석강과 적벽강 <b>명승</b> 제13호,https://blog.naver.com/parksb44?Redirect=Log&logNo=222218630902,대표 <b>자연 명승</b>지로 우리나라 열 번째 국가지질공원입니다 특히 채석강은 수만 권의 책을 쌓아올린... 데 <b>방문</b>하실 때는 물때를 잘 맞추어 가야 지질공원의 아름다움을 제대로 보실 수 있습니다. 특히 구두를... ,서천사랑은 여행중,https://blog.naver.com/parksb44,20210124
"보고 생각하고 느끼는 우리 <b>명승</b>기행2 : <b>자연</b>,<b>명승</b> 편",https://blog.naver.com/ominso?Redirect=Log&logNo=220016085198,'김학범 교수와 함께 떠나는 국내 최초 <b>자연</b>유산 순례기'란 부제를 달고 있는 이 책. 일단 책을 대강... 많이 <b>방문</b>했으리란 생각이 들었다. 책 속에 나온 <b>명승</b>지 중엔 내가 가본 곳도 꽤 있었는데 저자의 묘사는... ,"반디's 좋은 사람, 아는 사람★ 함께 즐거운 놀이공간",https://blog.naver.com/ominso,20140531
생태공원에서 <b>자연</b>과 친해지자! 여수여행 <b>명승</b> 순천만습지... ,https://blog.naver.com/okki7888?Redirect=Log&logNo=221648154572,올해는 순천<b>방문</b>의 해로써 입장료도 1000원 할인 해주고 있더라구요! 1인 8000원 대신 7000원으로 입장! 세계 5대 연안습지이자 전라남도 <b>명승</b>지로 유명한 이곳에 이렇게 여름이 다 끝나기도 전에 와 본 건... ,"죽전수학학원의 남다른 클래스, 수학맛집 금정수학",https://blog.naver.com/okki7888,20190915
"[‘한국의 <b>명승</b>’ 명산 ②]오대산 소금강·구룡령, 무릉계",https://blog.daum.net/koreasan/15607561,"[‘한국의 <b>명승</b>’ 명산 ②]오대산 소금강·구룡령, 무릉계 댓글 0 카테고리 없음 2021. 2. 20. 구룡령... 아름다운 <b>자연</b>을 찾아 <b>방문</b>했을 가능성이 매우 높다. 당시 한양과 명주(지금의 강릉)를 오가던 길이 바로... ",한국의산천,https://blog.daum.net/koreasan,20210220
"<b>명승</b>지 여행 (56)  :  <b>명승</b> 제108호, 강릉 경포대와 경포호",https://blog.naver.com/hahcr?Redirect=Log&logNo=222112398119,"○ 지정일 : 2013년 12월 30일 ○ 소재지 : 강원도 강릉시 저동 94 ○ 종류/분류 : <b>자연</b>유산, <b>명승</b> ○ 크기... 시인묵객들이 <b>방문</b>하여 관련 문학과 예술을 남긴 곳이다. 경포대 정자 내에는 율곡 이이가 10살 때... ",사빈의블로그,https://blog.naver.com/hahcr,20201011
