title,link,description,bloggername,bloggerlink,postdate
부천 댄스스포츠학원 명문 <b>자이브</b> 왈츠 탱고 프로강사 직접 티칭,https://blog.naver.com/bobori0913?Redirect=Log&logNo=222120489596,"<b>자이브</b>, 왈츠, 룸바, 탱고 원장, 프로페셔널 리스트가 직접 티칭하는 명문 부천 댄스스포츠학원... 너무나 멋지게 리모델링을 하여 서울의 많은 댄스학원원장님들까지 파티에 참석하여 정말 많은 분들이 <b>참여</b>... ",사랑스런그녀,https://blog.naver.com/bobori0913,20201020
잠실보컬] 댄스스포츠 특강! 라틴 <b>자이브</b>와 쌈바배우기,https://blog.naver.com/2playdance?Redirect=Log&logNo=221813363681,*2월 22일 (토)- 7~9시(2시간) 룸바기초/<b>자이브</b> 기초 누구나 <b>참여</b>가능합니다. 정말~~ 재밌는데 ㅋㅋ 함께해요~~~♡ *제이모션 댄스 02. 418.4181 문의주세요~~~~~^^ #왕기초댄스 #슈가맨 #운동 #댄스스포츠 #<b>자이브</b> #쌈바... ,J MOTION 뮤지컬/ 댄스/보컬/연기/오디션반/입시반,https://blog.naver.com/2playdance,20200218
6월 21일 (월) 개강 <b>자이브</b> 월/수 4:00~ 4:50 T. 한유나,https://blog.naver.com/cha_k_dance?Redirect=Log&logNo=222404397662,★수강생 모집 中 ★ <b>자이브</b> 월/수: 4:00~ 4:50 T. 한유나 통합루틴 순서를 기반으로 진행되는 수업이며... · 단체반은 수업이 진행되면 수업료 환불이 불가합니다. · 사전 등록 후 수업<b>참여</b>해주시기 바랍니다,CHA&K DANCE ACADEMY [차&케이댄스학원],https://blog.naver.com/cha_k_dance,20210620
"지루박 수업 시작 합니다 지루박단체반,룸바단체반,<b>자이브</b>단체반",https://blog.naver.com/this009a?Redirect=Log&logNo=222307097849,"분들의 큰 관심 사랑 부탁드립니다 강동구댄스스포츠학원 샤갈의무도회댄스학원은 지루박배우기,스포츠댄스배우기, 지루박초급,지루박고급,지루박수업 해드립니다 <b>자이브</b>배우기,룸바배우기. 꼭 <b>참여</b> 바랍니다",샤갈의무도회 댄스스포츠학원,https://blog.naver.com/this009a,20210412
2019 뉴질랜드 초등 5~6학년 차차차/<b>자이브</b> 댄스 대회,https://blog.naver.com/yanggun7201?Redirect=Log&logNo=221700965033,"몇일 전 제 두 딸들이 다니는 윌로우 파크 초등학교에서 차차차와 <b>자이브</b> 댄스 대회를 열었습니다.... 고학년 그러니깐 5~6학년만 <b>참여</b>를 할 수 있는데요, 역시 한국 사람들이 K-Pop의 영향일까야, 정말 춤을... ",뉴질랜드 이민 - 영어란?,https://blog.naver.com/yanggun7201,20191107
"관평동댄스스포츠 주말연습. <b>자이브</b>,차차차,룸바",https://blog.naver.com/azrael0907?Redirect=Log&logNo=221236848418,"단체로 <b>자이브</b>,차차차에 <b>참여</b>합니다. 선수반틈에서 커플곡 한번 뛰어보니 만만치 않군요. 차차차 기본루틴입니다. 동작이 확실히 깔끔하네요. 룸바 기본루틴입니다. 룸바는 아직 못배웠는데 동작이 더 부드럽고... ","""페르수""의 수공예악세사리",https://blog.naver.com/azrael0907,20180325
"2주 프로그램, 원예치료(심지화분 만들기), 댄스스포츠(<b>자이브</b>1)",https://blog.naver.com/gaeunhospital?Redirect=Log&logNo=221618730361,<b>자이브</b>를 배워보았습니다 처음 수업에 <b>참여</b>하는 환우분들을 위해 기본스텝부터 배워봅니다 락앤! 퀵아퀵! 퀵아퀵! 락앤! 퀵아퀵! 퀵아퀵! 강사님의 친절한 안내에 맞춰 차근차근 스텝을 밟다보면 &quot;처음인데... ,사람이 중심이 되는 가은병원,https://blog.naver.com/gaeunhospital,20190816
"신체활동게임, 사고력게임] 잠자는 달걀 '정글<b>자이브</b>'",https://blog.naver.com/1024kimmj?Redirect=Log&logNo=221590911114,#정글<b>자이브</b> 게임에선 절대 의자에 앉아서만 진행할 수 없답니다 그렇기에 정글<b>자이브</b> 게임을 처음... (카드에 있는 달걀 그림을 보고 난이도 조절도 가능하답니다) 처음엔 게임<b>참여</b>에 부끄러워 하던 친구들도... ,♥영재교실♥,https://blog.naver.com/1024kimmj,20190720
스윙댄스 동호회 <b>자이브</b> 린디홉을 배워볼까여?,https://blog.naver.com/tjwlsdl2014?Redirect=Log&logNo=220880808977,여러분들도 새롭게 시작하는 왕초보 을릉을릉 <b>참여</b>해보세여~~ 현재왕초보는 <b>자이브</b>와 룸바를 배우고 있답니다. 신배기수 분들은 룸바 차차 <b>자이브</b> 그리고선수반 선배님들은 각종 동호인대회 및 포메이션등... ,힐링과 건강을 소중히 여깁니다.,https://blog.naver.com/tjwlsdl2014,20161208
"아저씨 <b>자이브</b> 정말 잘 하네요, 난 왜 일케 안되지.....",https://blog.daum.net/thseaman/7072693,이번에도 또 가물거리는 순서와 동작을 되찾으려고 일주일에 한 번 <b>자이브</b> 강습에 <b>참여</b>했다. 사실 <b>자이브</b>가 전혀 처음이거나 생소한 건 아니다. 한때는 시중유통되는 순서로 거의 50번 60번까지 다 훑은 적도... ,청노루의 보물창고,https://blog.daum.net/thseaman,20091217
