title,link,description,bloggername,bloggerlink,postdate
[<b>잡담</b>] 타이어 저렴하게 교체하면서 겪은 인생 이야기ㅋㅋ... ,https://blog.naver.com/kgu3405?Redirect=Log&logNo=222425107791,"안녕하세요, <b>잡담</b>하는 멍짱입니다~! 오늘은 며칠 전 자동차 타이어를 교체하던 에피소드를 써봅니다. 포스팅도 적고, 타이어 저렴하게 교체하는 방법 공유도 하고, 몇 마일리지에 교체했는지도 기록하니... ",멍멍짱구 작업실,https://blog.naver.com/kgu3405,20210708
[<b>잡담</b>] 업그레이드가 진행 중인 <b>잡담</b>,https://blog.naver.com/jjggrr202?Redirect=Log&logNo=222389018318,"<b>잡담</b>1 새 이어폰 현재 적응 중 역시 귀 안까지 넣는다는 그 점 제일 어색합니다. 그 다음은 어떻게... <b>잡담</b>2 전에도 언급했듯, 무선을 안 쓰던 이유가 타임렉 때문이기도 합니다. 무선이라면 솔직히 피할 수 없는... ",오늘도 열심히 재능낭비,https://blog.naver.com/jjggrr202,20210607
<b>잡담</b>의 맥아리 / 박종한 교수,https://blog.naver.com/readandenjoy?Redirect=Log&logNo=222404891813,"맛있는 추어탕을 먹으면서 이런저런 <b>잡담</b>들을 주고 받습니다. 아툴 가완디, 《Beautiful Mind》, 올리버 색스에 대한 이야기를 주로 했습니다. 책을 매개로 해서 이야기를 하면 <b>잡담</b>의 밀도가 한층 깊어집니다.... ",readandenjoy님의블로그,https://blog.naver.com/readandenjoy,20210621
<b>잡담</b>,https://blog.naver.com/chriskj?Redirect=Log&logNo=222433978787,아니 지금 내가 하고 있는게 비정상인가....이런저런 생각하며 샤워하고 애 씻기고 취사버튼 누르고 디즈니 들으며 쓰는 <b>잡담</b>. 나의 금요일 퇴근은 아직 세시간 넘게 남았는데? ㅡ 그냥 갑자기 이 엿같은 코로나... ,KJworld,https://blog.naver.com/chriskj,20210716
육아일기라고 써놓고 <b>잡담</b>.,https://blog.naver.com/lysenef?Redirect=Log&logNo=222435945977,"해바라기 씨 공장에 부업 보내도 되게 컸어!!! ㅋㅋ 지노는 이걸 집 앞 화단에 심고싶다지만, 야외에서 심으려면 5월은 되야 한다고 함. (지금은 너무 늦었다고) 내년에 심어보자! #7살육아일기 #<b>잡담</b>만만세",고랑이네,https://blog.naver.com/lysenef,20210718
던파 시즌7 act.18 블레이드 패치노트가 혼란스럽다는 <b>잡담</b>,https://blog.naver.com/reishiki?Redirect=Log&logNo=222423990433,유출사건 등에 대한 해명이 없어서? 글쎄요 이유야 어찌됐건 결과는 내일이면 알겠죠 에이 설마 이거겠음? 자자 오늘 <b>잡담</b> 끗- by 좀 키우긴 할텐데 얼마나 할지는 모르겠는 고추맴맴 / 카시섭,주제없고 내용없고 성실하게만 쓰는 제로기랑 메모,https://blog.naver.com/reishiki,20210708
2021년 6월 23일 내 캐릭터 2개 + <b>잡담</b>,https://blog.naver.com/s_06_11?Redirect=Log&logNo=222410298615,아윽 <b>잡담</b>이 너무 길어졌네. 스케치. 내 캐릭터가 입고 있는 옷은 내가 입고 있는 옷 그대로 찍은 컷. 상체가 신축성이 없어서 만세~ 하면 교복마냥 그대로 훅~ 올라가는 게 단점이지만 그 외 장점만 있는 옷... ,카페인벡터,https://blog.naver.com/s_06_11,20210704
"2021. 07. 05, 월요일 - 잠이 안 와서 쓰는 <b>잡담</b>",https://blog.naver.com/dhfmrks4?Redirect=Log&logNo=222420385689,"2시간은 뒤척거리다가 이렇게 <b>잡담</b>을 쓰고 있어요 아이고!  + 구매 감사선물(=덤)에 대해서 말씀드렸더니 ↓ ㅋㅋㅋㅋㅋㅋㅋ 너무 귀여우셔 ㅠㅠㅠㅠㅠ 타인에게 상처받은 마음, 또 다른 타인에게 힐링받았네요!... ","즐기자, 소확행! ᕕ(ᐛ)ᕗ",https://blog.naver.com/dhfmrks4,20210705
슈퍼크로 최종 정산(?) + 2021년 강철의 대 감사제 관련 <b>잡담</b>,https://blog.naver.com/etirps1032?Redirect=Log&logNo=222428157453,관련 <b>잡담</b> 쓸겸 잠깐 들린거라 이 후에 또 뭐 쓸지는 애매하기는 하지만서두요;; 게임은 킹오파... 관련 <b>잡담</b> ▼ 슈퍼로봇대전 30 최근 스토리를 따라가는 것 보다 나만의 무엇을 키우는 욕심이 강해지다보니... ,언제나 공사중인 블로그,https://blog.naver.com/etirps1032,20210712
동방탄막카구라 공식 방송 '제4회 탄카구 단장의 <b>잡담</b> 라디오... ,http://simugung.egloos.com/5950164,단장의 <b>잡담</b> 라디오' 내용 정리 (2021/05/21) 에… 심유경입니다. 안녕하세요? 6/18 (금) 오늘 동방탄막카구라 측의 질문 답변 중심의 실시간 방송인 탄카구 <b>잡담</b> 라디오 방송 (제4회) 이 있었습니다. - 탄막카구라... ,심유경네 집의 책장,http://simugung.egloos.com/,20210618
