title,link,description,bloggername,bloggerlink,postdate
독꼬닷컴 클럽 <b>조각</b> 모임에 <b>참여</b>해서 만난 분과의 결혼,https://blog.naver.com/snu1922?Redirect=Log&logNo=221615632233,독꼬닷컴 클럽 <b>조각</b> 모임에 <b>참여</b>해서 만났던 분과 결혼합니다. 안타깝게도 혹은 다행스럽게도 제가... 클럽 <b>조각</b> 달림이 이렇게 천일야화가 되어가고 있습니다. 덧붙임. 독꼬닷컴에 애정을 갖고 <b>활동</b>하시는... ,그만 울자,https://blog.naver.com/snu1922,20190814
"서서울예술교육센터, ‘회복을 위한 7가지 <b>조각</b>’<b>참여</b> 가족 모집",https://blog.naver.com/withinnews?Redirect=Log&logNo=222367629622,프로그램에 <b>참여</b>할 수 있다. 양천구 지역을 기반으로 활발하게 <b>활동</b>하는 예술단체 ‘플러스마이너스 1도씨’(예술감독 김지영)가 공동으로 진행한다. 워크숍은 ▲오리엔테이션: 순간의 <b>조각</b>(6월19일)... ,위드인뉴스,https://blog.naver.com/withinnews,20210526
[대외<b>활동</b> 추천] 2020창원<b>조각</b>비엔날레 진행요원(도슨트)... ,https://blog.naver.com/daelimuc?Redirect=Log&logNo=222066833707,"2020창원<b>조각</b>비엔날레 진행요원(도슨트) 모집 공고 2020창원<b>조각</b>비엔날레 작품설명 및 관람안내... 장기 <b>활동</b> 가능하고 <b>참여</b>의지 높은 자 우선 선발 ❍ 근무편성에 의한 지정일 근무(평일, 주말 포함) 가능자... ",대림대학교 공식 블로그,https://blog.naver.com/daelimuc,20200822
호주 멜버른 모래<b>조각</b> 전시 <b>조각</b>가로 <b>참여</b> (Feat Animalia... ,https://blog.naver.com/jieodud?Redirect=Log&logNo=222293285056,외국 <b>조각</b>가들이 모여서 함께 작업을 하게 됩니다. 매일 하루 작업이 끝나면 함께 저녁식사를 하면서 각자 나라의 이야기나 재밌었던 에피소드 등을 얘기하며 시간을 보냅니다. 각국에서 <b>활동</b>하기도... ,모래조각가 지대영의 블로그,https://blog.naver.com/jieodud,20210331
"<b>조각</b> 둘, 그림으로 아이들의 꿈을 응원하다  | 비대면봉사<b>활동</b>... ",https://blog.naver.com/beonezone?Redirect=Log&logNo=222259114459,이번 <b>활동</b>은 치과 선생님들과 치위생사 선생님들등 병원 직원분들이 모처럼 붓을 잡고 봉사<b>활동</b>에 <b>참여</b>하신 후기입니다. 서울 강남과 인천에서 운영중인 라이브치과병원 임직원 및 가족 <b>참여</b>로 진행된... ,드림인공존과 함께하는 세상으로의 비행,https://blog.naver.com/beonezone,20210227
제22회 이천국제<b>조각</b>심포지엄 <b>참여</b>작가 특별전시회 개최,https://blog.naver.com/newsfactory?Redirect=Log&logNo=221613191478,이천국제<b>조각</b>심포지엄 <b>참여</b> 작가 특별전시회는 무료로 관람할 수 있다. 제22회 이천국제<b>조각</b>심포지엄은 이천설봉공원에서 이달 20일까지 진행될 예정이다. 심포지엄에서는 국내외 작가 9명의 작품 창작<b>활동</b>... ,미디어연합,https://blog.naver.com/newsfactory,20190811
일 년 반만에 쓰는 네팔 봉사<b>활동</b> 이야기 <b>조각</b>들,https://blog.naver.com/toathal?Redirect=Log&logNo=222157174184,"네팔로 교육봉사를 간 기간 : 2019-07-22 ~ 2019-07-31, 영상스탭으로 <b>참여</b>. 글로벌사회공헌단 메인 홈페이지.... 내가 영상 스탭으로서 해야 할 일은 단원들이 하는 교육<b>활동</b>을 영상으로 남기는 것. 그런데... 카메라를... ",flor que flamea,https://blog.naver.com/toathal,20201128
제20회 &quot;망루에 서다&quot; 산수유낭자 <b>조각</b>도슨트 <b>활동</b> <b>참여</b>,https://blog.naver.com/lms6084?Redirect=Log&logNo=221070404318,이천국제<b>조각</b>심포지엄 제20회 &quot;망루에 서다&quot; 산수유낭자 <b>조각</b>도슨트 <b>활동</b> <b>참여</b> 2017년 이천시 설봉<b>조각</b>공원에서 제20회 국제<b>조각</b>심포지엄이 시작되었습니다~** 이천문화원 <b>조각</b>도슨트들 동아리들은 3명씩... ,이천 산수유낭자 사랑 건강 이야기(산수유가공 체험),https://blog.naver.com/lms6084,20170809
[2021 장하다내인생]:: 대학생 대외<b>활동_</b>장 가르기 <b>활동</b> <b>참여</b>후기,https://blog.naver.com/duwldbs12?Redirect=Log&logNo=222364349605,부서져서 옮기기 힘든 메주<b>조각</b>들은 체를 이용해서 옮겨주었어요. 너무 열심히 옮겨서 그런가... 장나누기 <b>활동</b>때 보자꾸나 . . . 그럼 이만 포스팅을 마치고 10월에 있을 장나누기 <b>참여</b> 후 생생한 후기를... ,:일상,https://blog.naver.com/duwldbs12,20210524
"이천시, 제22회 이천국제<b>조각</b>심포지엄 <b>참여</b>작가 특별전시회 개최",https://blog.naver.com/kdesk1013?Redirect=Log&logNo=221611335229,제22회 이천국제<b>조각</b>심포지엄 <b>참여</b> 작가 특별전시회는 무료로 관람할 수 있다. 한편 제22회 이천국제<b>조각</b>심포지엄은 이천설봉공원에서 이달 20일까지 진행한다. 현장에서 국내외 작가 9명의 작품 창작<b>활동</b>... ,K스타방송,https://blog.naver.com/kdesk1013,20190809
