title,link,description,bloggername,bloggerlink,postdate
[국악알기] 유네스코 무형문화유산 <b>줄타기</b>와 현대 스포츠... ,https://blog.naver.com/gugak1951?Redirect=Log&logNo=222406315921,"한국의 전통 <b>줄타기</b>는 이처럼 연희자와 관객이 쌍방 소통하는 예능으로서, 모든 이가 함께 <b>참여</b>해... <b>줄타기</b>는 줄이 둥글어서 발끝을 <b>줄</b> 바깥쪽으로 두고 발 가운데 부분을 줄에 놓고 중심을 잡습니다.... ",국립국악원 공식 블로그,https://blog.naver.com/gugak1951,20210622
향교랑 <b>줄타기</b>로 놀자,https://blog.naver.com/najuhyanggyo?Redirect=Log&logNo=222392786445,지난 6월5일 토요일 나주향교에서 ‘향교랑 <b>줄타기</b>로 놀자’가 있었습니다. 사전 접수를 통해 <b>참여</b>하신 분들 모두 마스크 착용과 발열체크로 방역 수칙을 준수하며 공연을 관람했습니다. 남상동 어릿광대의... ,나주향교 굽은 소나무학교,https://blog.naver.com/najuhyanggyo,20210610
자유로움을 표현하는 전통 예술 <b>줄타기</b> 공연,https://blog.naver.com/noosps?Redirect=Log&logNo=222425013789,공연입니다 <b>줄타기</b>는 한국의 전통 공연 예술로 <b>줄</b> 위를 걷는 놀음으로 다양한 행사의 축제에서... 함께 <b>참여</b>하는 느낌을 받음으로써 만족도가 높은 공연이기도 합니다 또한 그들의 자유로움을 표현한 <b>줄타기</b>... ,모두캐스팅 노실장,https://blog.naver.com/noosps,20210708
"이호승, 한국 <b>줄타기</b>의 역사와 연행 양상  3학년 / 인문",https://blog.naver.com/bubsa0701?Redirect=Log&logNo=222234081706,"<b>줄타기</b>는 기예, 재담, 노래 등을 연행하는 방식으로 진행되며, 극적 상황에 따라 관중이 <b>참여</b>하기도 한다. 줄광대는 줄이라는 한정된 공간에서 기예를 보여줄 뿐만 아니라 <b>줄</b> 아래 지상의 어릿광대나 악공... ",정현법사,https://blog.naver.com/bubsa0701,20210206
[심층분석] 문재인 정부의 ‘美中 <b>줄타기</b>’  정말 끝났을까,https://blog.naver.com/futurekorea12?Redirect=Log&logNo=222421880258,아울러 미국의 중국 견제 전략 카드인 쿼드(Quad·미국·일본·호주·인도의 4국 연합체) <b>참여</b> 문제도 언급되었다. 그동안 미국과 중국 사이에서 소위 ‘<b>줄타기</b> 외교’를 해 온 상황이 더 이상 먹히지 않게 됨을... ,미래한국,https://blog.naver.com/futurekorea12,20210706
[부산 영어과외] 신중히하다 / 아슬아슬 <b>줄타기</b>하다... ,https://blog.naver.com/tobemaven?Redirect=Log&logNo=221872283830,정말 고공에서 아슬아슬 <b>줄타기</b>하는 상황과 비슷하네요! 미드 영어회화 다영팩 수업에도 <b>참여</b>해서 더 다양한 영어표현 배워보세요. 다영팩 선생님들이 기다리고 있어요!!!! 온라인 수업도... ,다니엘 영어 팩토리,https://blog.naver.com/tobemaven,20200325
매년 가는 동래읍성축제에 <b>줄타기</b> 권원태 명인님과,https://blog.naver.com/cristal59?Redirect=Log&logNo=221839643797,"마술공연도 있고, <b>줄타기</b>, 뮤지컬 등 다양한 공연과 이벤트, 먹거리가 있어서 말 그대로 즐기기... 대표적인 축제로 자리잡고 있네요. 작년엔 그러지 못했지만 올해는 다양한 축제에 아이들과 <b>참여</b>해봐야겠어요.",☘행복을 드리는 종합정보.,https://blog.naver.com/cristal59,20200306
[6~7세 AHA! 과정] Bric Q 와 함께하는 곡예사 <b>줄타기</b>!,https://blog.naver.com/bundanglego?Redirect=Log&logNo=222369882604,"Bric Q 는 학생들을 스포츠 맥락에서 물리 과학 탐구에 <b>참여</b>를 시켜주며, 힘, 동작, 및 간단한 기계원리에 대한 이해를 촉구시켜줄 수 있는 교육 프로그램입니다. 오늘 소개해드릴 수업 '곡예사 <b>줄타기</b>'에서는... ","아이들이 행복한 교육 - 상상하고, 창조하라!",https://blog.naver.com/bundanglego,20210530
바이든 '반중 노선 동참' 압박 예고…韓 '<b>줄타기</b> 외교' 시험대,https://blog.naver.com/lstak?Redirect=Log&logNo=222136570406,바이든 '반중 노선 동참' 압박 예고…韓 '<b>줄타기</b> 외교' 시험대 확 바뀌는 美 외교정책…한반도 영향은 美... “쿼드 <b>참여</b> 압박 이어질 듯” 전문가들은 트럼프 행정부의 대중(對中) 견제 정책이 바이든... ,독특의 작은 도전,https://blog.naver.com/lstak,20201105
"중국, 미얀마 쿠데타에 '<b>줄타기</b>'…&quot;난처한 입장&quot;(종합)",https://blog.naver.com/bonsng?Redirect=Log&logNo=222230439209,"중국, 미얀마 쿠데타에 '<b>줄타기</b>'…&quot;난처한 입장&quot;(종합) 군부·정부 모두와 좋은 관계 유지…서방 개입... 등에 <b>참여</b>하고 있다. 중국 상무부에 따르면 중국은 2019~2020년 회계연도 기준 미얀마 전체 교역의 33... ",코베캄포럼,https://blog.naver.com/bonsng,20210203
