title,link,description,bloggername,bloggerlink,postdate
뉴질랜드 학교의 미니 <b>철인삼종경기</b>(Triathlon) @ 마운트... ,https://blog.naver.com/jerrynuri?Redirect=Log&logNo=222254693892,보통 <b>철인삼종경기</b>(Triathlon) 이라고 알려져 있는데 무시무시한 코스들을 세 종목이나 해내야 하는건데... <b>경기</b>를 마치고 쉬고 있는 시언이네요. 다른 학생들은 벌써 수영을 마치고 들어와 있기도 합니다. 참 열심... ,뉴질랜드 비전유학,https://blog.naver.com/jerrynuri,20210224
"트렉 마돈 SLR6 디스크 스피드 - <b>철인삼종</b>, 트라이애슬론 자전거",https://blog.naver.com/withbike1125?Redirect=Log&logNo=221806083995,"마돈은 <b>철인</b> 전용 자전거로 인해 타는 방식과 장소에 구애받지 않길 바라는 <b>철인삼종</b>, 타임 트라이얼... 있고 <b>철인</b> 3종 <b>경기</b>도 <b>참여</b>할 수 있는 그런 자전거를 찾는 분들이 계신다면 트렉 마돈 SLR 6 디스크... ",트렉 공식대리점 위드바이크,https://blog.naver.com/withbike1125,20200212
함께하는 TRI 2XU 마지막 12주차 경주 아시안컵 <b>철인삼종</b> 대회.,https://blog.naver.com/sofitgym_blog?Redirect=Log&logNo=221588274696,TRI 2XU 1기 참가자들 모두 오늘을 위해 주말을 반납하여 열심히 훈련에 <b>참여</b>하셨는데요. 드디어 대망의 <b>철인삼종 경기</b>를 눈 앞에 두고 있습니다. Previous image Next image <b>경기</b> 하루 전날 <b>경기</b>부스 앞에... ,소핏짐공식블로그,https://blog.naver.com/sofitgym_blog,20190717
[필리핀 세부 자유여행] 피노이 아쿠아맨과 <b>철인삼종경기</b>,https://blog.naver.com/vina2006?Redirect=Log&logNo=221317647629,1km의 달리기를 해야 하는 엄청난 코스의 <b>철인삼종경기</b>가 다음 달 8월 5일에 세부에서 열린다는 것이다. 세부 시티에서 막탄 섬까지 총 131.1km(70.3마일)의 거리에서 진행되는 이 대회의 <b>참여</b>비는 무려 400달러.... ,"상상 이상의 즐거움, 비나투어",https://blog.naver.com/vina2006,20180713
[제이드래곤의 <b>철인</b>3종<b>경기</b>완주기20181021]<b>철인삼종경기</b>... ,https://blog.naver.com/coach_kwon?Redirect=Log&logNo=221382449082,"나 역시도 작년 2017년에 처음으로 <b>참여</b> 했고, 올해 두번째로 <b>참여</b>하는 대회이다. 은총이와 함께하는 <b>철인</b>3종<b>경기</b>(<b>철인삼종경기</b>)대회는 푸르메 재단과 협약해서 참가비 전액을 은총이와 같은 어린이들 재활... ","제이드래곤, 어썸리더스쿨",https://blog.naver.com/coach_kwon,20181022
[이벤트]캐나다 휘슬러 - <b>철인삼종경기</b>(IRONMAN) 2017,https://blog.naver.com/chssha86?Redirect=Log&logNo=221066162515,언젠간 직접 <b>참여</b>할 날을 꿈꾸며... <b>철인 삼 종 경기</b>는... 진짜.. 빡 샌 듯... 훈련 많이 해야 될 것 같아요~ 될 것 직접 하는 것도 물론 중요하고 특별할 것 같지만... <b>철인</b>들 응원하며 느끼는 감동도... ,다니엘 블로그,https://blog.naver.com/chssha86,20170803
"7번째<b>삼종경기</b>, 여수 <b>철인삼종경기</b> 올림픽코스",https://blog.naver.com/huckster?Redirect=Log&logNo=220749281542,"<b>삼종경기</b>는 주로 바닷가에 <b>경기</b>가 많기 때문에 ( 제주, 통영, 여수, 삼척.... ) 서울에서 가려면 비행기를... 많이 <b>참여</b>한거 같다. 자전거레벨은 거의 최상급들로 상당한 내공들이 있어보이는... ) 수영은 저... ",나모스의 일상 메모 ~~~ since 2012.10,https://blog.naver.com/huckster,20160629
시리아 난민 지원을 위한 <b>철인 삼종경기</b> 집밥다녀오다,https://blog.naver.com/ayee222?Redirect=Log&logNo=221314243841,#평등세상을향한집밥 7.6.금 &quot;시리아 난민지원을 위한 평화의 <b>철인삼종경기</b>&quot; 양평생활체육공원에 집밥이... 난민지원을 위해 철삼<b>경기</b>에 <b>참여</b>하고 집밥 음식 맛있게 드셔주신 분들께 감사드립니다~~ *난민문제에... ,경일사랑,https://blog.naver.com/ayee222,20180707
<b>철인삼종경기</b> 중 가장먼거리를 담당하는 종목 총거리는요?,https://blog.naver.com/supplies2?Redirect=Log&logNo=220639026396,드림보이는 <b>철인삼종경기</b>를 완주하고 인생의 참 맛을 알게되었다고나 할까요 오늘부터 제가 하는... 요구하는 <b>경기</b>로서 1970년대 미국에서 시작된 이래 전 세계에서 수많은 동호인이 <b>참여</b>하는 인기 스포츠... ,[공식] 문정동맛집 더스테이크/더스테이크닭한마리,https://blog.naver.com/supplies2,20160226
Triathlon - <b>철인 삼종경기</b>의 날.,https://blog.naver.com/flyinganne?Redirect=Log&logNo=220654274821,"하자면 <b>철인 삼종경기</b> 대회가 있었다. 우리 학교에서만 하는 것은 아니고 (뉴질랜드 전역인지는... 이것은 우리나라로 치면 일종의 학교 운동회로 1년에 한번, 전 학년이 다 <b>참여</b>하는 <b>경기</b>로 아이들은 수영... ",애니의 유쾌한 비행,https://blog.naver.com/flyinganne,20160314
빈탄 <b>철인삼종경기</b>,https://blog.naver.com/scribble_h?Redirect=Log&logNo=221014704924,드디어 기다리고 기다렸던 <b>철인</b><b>경기</b> 날이 다가왔다.정말 기다리기만 했다.. 운동은 하지도 않고 ㅋㅋ... 넘게 <b>참여</b>했다고 한다 가슴이 신나서 뛰어오르기 시작한다 ㅋㅋㅋ 이제야 실감이 나는구만<b>경기</b> 시작 전... ,Dynamic Indonesia,https://blog.naver.com/scribble_h,20170526
트렉 스피드컨셉 7.5 트라이애슬론 (<b>철인삼종경기</b>) 로드자전거... ,https://blog.naver.com/pinkyvelo?Redirect=Log&logNo=220614210987,지구상에서 가장 빠른 트라이애슬론 (<b>철인삼종경기</b>) 로드자전거! 트렉 스피드컨셉 7.5 트라이애슬론... 추후 트라이애슬론 대회도 <b>참여</b>한다고 하시니 트렉 스피드컨셉과 함께 대회에서도 좋은 성적 거두시기... ,트렉 바이시클 스토어 분당,https://blog.naver.com/pinkyvelo,20160131
2018년 10월 21일 은총이와 함께하는 <b>철인삼종경기</b> 참가하다... ,https://blog.naver.com/nike1116?Redirect=Log&logNo=222055187616,있었던 #은총이와함께하는<b>철인삼종경기</b> 대회 전날 20일 등록하고 자전거 검수 차 대회장소로 갔었다 그때 #나혼자산다 에서 #성훈 이 이 대회 참가한대서 더 이목이 집중되었었지 갔을 때 성훈은 수영사전연습... ,내 인생은 2021 전후로 바뀐다 [골계의 끄적임 공간],https://blog.naver.com/nike1116,20200808
