title,link,description,bloggername,bloggerlink,postdate
'강원 <b>춤</b> 여행' 춘천인형극장... 자금 지원' <b>참여</b>기관 협의회 개최,https://blog.naver.com/limyk3217?Redirect=Log&logNo=222352934783,- 강원도·5개 은행·강원신용보증재단 - 「3·3·3 자금 지원」 <b>참여</b>기관 협의회 개최 □ 강원도립예술단(단장 경제부지사 김명중)은 오는 6월 10일(목) 오후 7시 30분 춘천인형극장에서 기획공연 “강원 <b>춤</b>... ,Evergreen With Life,https://blog.naver.com/limyk3217,20210516
국립해양생물자원관 해양생물댄스챌린지 씨큐박사와춤을 <b>참여</b>... ,https://blog.naver.com/juice3202?Redirect=Log&logNo=222171849586,#국립해양생물자원관 #해양생물댄스챌린지 #씨큐박사와춤을 <b>참여</b>완료 by고져스쥬스 주말에도 집콕 너무너무 지겹네요 히잉 그래서 저 아이들과 아주 재미있는 챌린지 <b>참여</b>해보았어요! 그것은 바로... ,이야~ 기분좋다,https://blog.naver.com/juice3202,20201213
파라과이 학교 <b>춤</b> 행사인 Intercurso에 <b>참여</b>하다,https://blog.naver.com/qhdk8243?Redirect=Log&logNo=221642476720,# INTERCURSO 파라과이 <b>춤</b> 공연 행사 우리 학교에는 일 년에 한 번씩 진행한다는 Intercurso라는 것이 있다. 각... 그리고 우리 학교는 중학생부터 고등학생까지 있는데 중학생 아이들도 여왕에 <b>참여</b>를 한다. 그 중학생... ,Coram Deo,https://blog.naver.com/qhdk8243,20190908
함께 <b>참여</b>한 &quot;미얀마 민주화를 응원하는 <b>춤</b>&quot; 동영상 촬영,https://blog.naver.com/shmichelle?Redirect=Log&logNo=222353413341,시위에 <b>참여</b>한 시민뿐 아니라 어린아이와 출퇴근하던 일반 시민들의 죽음이 보도되는 상황이... 영상으로 <b>참여</b>해 줄 수 있냐는 제안을 해주셨어요! 저희 앙헬&amp;로레나는 바로 <b>참여</b>하기로 했는데 혹시 함께하실... ,앙헬탱고 (천사탱고),https://blog.naver.com/shmichelle,20210516
천안 흥타령 SCHOOL 춤클래스에 <b>참여</b> 하다,https://blog.naver.com/iloveupo?Redirect=Log&logNo=222087870405,"춤클래스에도 <b>참여</b>하고! 정신 사납긴 하지만 완전 신난다!!! © mertguller, 출처 Unsplash 몇년간 댄스의 근처에도 못 갔었는데 갑자기 <b>춤</b> 소나기가 쏟아진다 쏟아져~ 이럴땐 시원하게 맞는게 최고ㅋㅋ 공부하기... ",달보드레의 즐거운 도전 일기,https://blog.naver.com/iloveupo,20200912
떨림 부산시립미술관 전시회 도슨트 듣고 영혼의 <b>춤</b> 수업 <b>참여</b>하기,https://blog.naver.com/kandy5004?Redirect=Log&logNo=221787345125,둘째가 듣는 수업이 &quot;영혼의 <b>춤</b>&quot;이라는 주제를 가지고 있었는데 시오타 치하루의 영혼의 떨림 전시와 연계해서 하는 수업이라 둘째는 수업을 할 때 전시회를 관람하는 것으로 하고 저랑 막내만 유료 티켓을... ,깐따별 이야기,https://blog.naver.com/kandy5004,20200128
&lt;스윙&gt; 공연 속 움직임을 배워보다! 오픈 워크숍 <b>춤</b>.사이 <b>참여</b> 후기,https://blog.naver.com/kncdc3472?Redirect=Log&logNo=221615068888,"바로 저희 국립현대무용단 대학생 커뮤니케이터 <b>춤</b>. 사이도 워크숍에 <b>참여</b>하였습니다! 본격적인 안무를 배우는데 앞서, 온몸에 집중하여 몸을 충분히 이완시켰습니다. 이유진·서보권 무용수님께서... ",Korea National Contemporary Dance Company,https://blog.naver.com/kncdc3472,20190813
실용무용 류형준 교수 제6회 국제 <b>춤</b> 그랑프리 심사 <b>참여</b>,https://blog.naver.com/youboraq?Redirect=Log&logNo=222350920338,"실용무용 류형준 교수 제6회 국제 <b>춤</b> 그랑프리 심사 <b>참여</b> 지난 5월 1일날 진행된 제6회 국제 <b>춤</b> 그랑프리 (International Dance Grand Prix)에 한국예술원 실용무용에서 현대무용부터 무용지도법, 안무 원리... ",한국예술원 공식 네이버 블로그,https://blog.naver.com/youboraq,20210514
2019 천안흥타령춤축제 농산물한마당큰잔치 기운찬 <b>참여</b>... ,https://blog.naver.com/guc5792203?Redirect=Log&logNo=221658792006,흥겨운 <b>춤</b> 축제 현장에 많이 방문해주세요. ● 2019 천안흥타령춤축제 대략적인 일정 ▶ 기간 : 9월... 천안흥타령춤축제 <b>참여</b>합니다. 천안흥타령춤축제 현장에서 진행되는 2019 농산물한마당 잔치에... ,평생건강기운찬,https://blog.naver.com/guc5792203,20190925
"순례자 미사 <b>참여</b>, 대향로가 춤을 추다, 은퇴부부의 여행이야기",https://blog.naver.com/hl2xli?Redirect=Log&logNo=222315114869,"com/hl2xli/220128607014 산티아고 순례 38일째, 산티아고 데 콤포스텔라 대성당에서 12시에 열리는 순례자 미사에 <b>참여</b>했습니다. 대성당으로 들어가니 주일 미사가 열리고 있었습니다. 우리는 발소리를 죽여가며... ",세 살짜리도 다 아는 이야기,https://blog.naver.com/hl2xli,20210419
"실용무용학과 류형준 교수, '제6회 국제 <b>춤</b> 그랑프리' 심사 <b>참여</b>",https://blog.naver.com/tjfsksdyd?Redirect=Log&logNo=222350917618,"지난 5월 1일, 부산 영화의전당 '하늘연극장'에서 진행된 '제6회 국제 <b>춤</b> 그랑프리(International Dance Grand Prix)'에 실용무용학과 류형준 교수님이 심사위원으로 <b>참여</b>하였습니다 :) 제6회 국제 <b>춤</b> 그랑프리는 지난... ",일상을 담아내는 공간,https://blog.naver.com/tjfsksdyd,20210514
망포발레전문학원:)그랑J발레 화성국제민속춤페스티벌'<b>참여</b> ❣,https://blog.naver.com/grandjballet?Redirect=Log&logNo=221670591292,"9월29일 화성시후원.화성무용협회에서 주관으로 그랑 J발레 학생들이 공연에 <b>참여</b>했어요. 작품은 창작... 대회(콩쿨)에 나가서 좋은경험도 좋지만, 거리에서 <b>춤</b> 축제(페스티벌)로 공연을 하니, 꼬마 무용수들... ",Grand J Ballet,https://blog.naver.com/grandjballet,20191007
신상과자 빠닭 후라이드치킨맛 빠삭한닭칩 먹고 춤이벤트 <b>참여</b>... ,https://blog.naver.com/atasirasiku?Redirect=Log&logNo=221902144056,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아! 그리고 현재 빠닭 <b>춤</b> 추기 이벤트를 진행하고 있어요. 위의 영상에 나오는 춤을 추고 본인의 인스타그램에 업로드 하면 경품 5만원 현금지급한다고 하니 참고하세요! #빠닭후라이드치킨맛,gracey's Beauty Rules~*,https://blog.naver.com/atasirasiku,20200411
직접 보여주는 북한의 <b>춤</b> - 소통<b>참여</b> 프로그램 '소모임 무용' 소개,https://blog.naver.com/hhilo?Redirect=Log&logNo=222340368152,탈북민이 직접 보여주는 북한의 <b>춤</b>?! 남북통합문화센터 대학생 서포터즈 2기 세 번째 활동 ! 소통<b>참여</b> 프로그램인 '소모임 무용'에 참관하고 직접 간단한 인터뷰도 진행해보았습니다. 오늘 소개해드릴... ,"positive, active",https://blog.naver.com/hhilo,20210506
‘2020 춤으로 만나는 아시아’ 국민공공외교 프로젝트 <b>참여</b>,https://blog.naver.com/gnujinju?Redirect=Log&logNo=222152321792,9월 29일 거제문예회관에서 한·몽 <b>춤</b> 공연 무관중으로 진행 11월 21-22일 부산시청자미디어센터에서... 프로젝트에 <b>참여</b>하게 됐다는 소식입니다. 매년 실시하던 '춤으로 만나는 아시아'의 사업 가능성을... ,경상국립대학교,https://blog.naver.com/gnujinju,20201123
"씨큐박사와춤을, 해양생물댄스챌린지 <b>참여</b>했어요.",https://blog.naver.com/forshyjh?Redirect=Log&logNo=222171989040,"여러분들도 아이들과 심심하고 지루할때 해양생문댄스 따라하기 챌린지에 <b>참여</b>해보세요. - 씨큐박사... 이벤트 <b>참여</b> 완료!! (노래를 따라불러주셔도, 원하시는 해양생물 댄스 춤만 짧게 추셔도 무조건 OK!)... ",소만이의 일상,https://blog.naver.com/forshyjh,20201213
응원해요! 시민들과 함께하는 지방분권 플래시몹 <b>참여</b> 후기,https://blog.naver.com/mopaspr?Redirect=Log&logNo=221624733951,대구 한복판에서 다같이 <b>춤</b> 춘 사연? 대구 동성로 야외무대 부근에서 시민들이 모여 다함께 춤을 추는... 플래시몹 <b>참여</b>자를 모집했습니다. 지방분권 플래시몹에 <b>참여</b>를 희망하는 대구 시민들은 SNS와 거리모집... ,대한민국 행정안전부,https://blog.naver.com/mopaspr,20190822
성격유형에 따른 맞.<b>춤</b>.형.... ‘상상만개’ <b>참여</b> 학생/학교... ,https://blog.naver.com/artezine?Redirect=Log&logNo=222163133990,프로그램에 선정된 학생들은 ‘성격유형검사’를 거쳐 ‘체험형 프로그램’과 ‘심화형 프로그램’에 <b>참여</b>하게 됩니다. <b>참여</b> 예술가 및 프로그램 소개는 공식 홈페이지 '상상만개 누리집(https://go3.gold... ,한국문화예술교육진흥원,https://blog.naver.com/artezine,20201204
[함께하는 육아맞집 공모전 <b>참여</b>]  아빠와 함께 춤을❣️,https://blog.naver.com/ablebe?Redirect=Log&logNo=222376907761,#육아맞집 #저출생극복캠페인 #대한민국정부 세상이 변해가고 있음을 느낀다. 사랑하는 아이들과 함께하는 당연한 육아가 육아맞집이라는 새 언어가 만들어 지는 시대에 낯선 괴리감 마져 든다. 세상 사람들.... ,트래블호 라이프 TRAVELHO LIFE,https://blog.naver.com/ablebe,20210531
한사모 댄스컴퍼니 | 보훈댄스페스티벌 | 시민<b>참여</b> 예술공연... ,https://blog.naver.com/hansamo_dance?Redirect=Log&logNo=222384176509,#무작_춤을만들다 국립국장에서 열리는 보훈댄스페스티벌 첫공연으로 시민<b>참여</b> 예술공연 무작 춤을 만들다 공연에 한사모 댄스컴퍼니 회원님들이 <b>참여</b>하여 멋진공연을 선보였습니다 이번 공연은... ,Hansamo Dance Company,https://blog.naver.com/hansamo_dance,20210604
[2019 천안흥타령춤축제 거리퍼레이드 함께 <b>참여</b>할 사람을... ,https://blog.naver.com/yeji73?Redirect=Log&logNo=221631061701,2019년! 천안 흥타령 춤축제가 돌아왔다!!! 열정을 함께 불태울 흥타령춤축제 거리댄스퍼레이드 참가자를 모집합니다. 대상 : 15세~24세 열정 넘치는 남녀 (댄스 초보자 가능) 혜택 : 봉사점수 6시간 부여... ,켈리의 아름다운 정원,https://blog.naver.com/yeji73,20190828
"김재한 교수, 제 4회 국제춤그랑프리 무용콩쿠르 심사 <b>참여</b>",https://blog.naver.com/youboraq?Redirect=Log&logNo=222011929942,"실용무용예술계열 김재한 교수, 제 4회 국제춤그랑프리 무용콩쿠르 심사 <b>참여</b> 지난 20일 토요일, 부산 영화의 전당에서 제 4회 국제춤그랑프리 (International Dance Grand Prix)가 열렸습니다. 이 행사는 국제 <b>춤</b>... ",한국예술원 공식 네이버 블로그,https://blog.naver.com/youboraq,20200625
동시 접속 인원 100명 <b>참여</b> 시 BTS 어깨춤을 보실수 있습니다,https://blog.naver.com/ksy996?Redirect=Log&logNo=222437133152,210719 한국NGO레인보우 김선영이사장입니다 6일 후 그를 만나다 유튜브 라방 동시 접속 인원 100명 <b>참여</b> 시 남궁인 의사조교수작가님의 BTS 어깨춤을 보실수 있습니다 유튜브 라방 주소 '선넘는 선영... ,한국NGO레인보우,https://blog.naver.com/ksy996,20210719
&lt;새봄새춤&gt; <b>참여</b> 이벤트,https://blog.naver.com/incheondance?Redirect=Log&logNo=222291248660,페이스북 페이지 이벤트 입니다. &lt;새봄새춤&gt; 공연 이벤트 <b>참여</b>하시고 상품권 받으세요! https://www.facebook.com/permalink.php?story_fbid=272490147711171&amp;id=106392490987605,인천시립무용단님의 블로그,https://blog.naver.com/incheondance,20210329
면역강화!똑똑 <b>춤</b> 챌린지 <b>참여</b>방법,https://blog.naver.com/appear3809?Redirect=Log&logNo=222155295946,면역강화!똑똑 <b>춤</b> 챌린지 <b>참여</b>기간 : 2020.11.01-11.30 <b>참여</b>방법 : 누구나 쉽게 따라할 수 있는 '똑똑춤'을 유튜브와 페이스북을 통해서 배워본 후 동영상으로 촬영해 주세요. 자신의 SNS에 #똑똑창원 #창원똑똑춤... ,오늘민스-Today Mins story,https://blog.naver.com/appear3809,20201126
