title,link,description,bloggername,bloggerlink,postdate
애플기기 및 윈도우 기기에서 xbox <b>콘솔</b> <b>게임</b> 플레이하기,https://blog.naver.com/padamu1?Redirect=Log&logNo=222335199501,간단히 정리하자면 Xbox 컨트롤러와 같이 xbox game pass와 연동되는 <b>게임</b>패드와 얼티밋 등급의 game pass를... xbox <b>콘솔</b> 기기의 위치가 반영된것이 아닐까 생각되네요. (아이패드는 해외에서 제공받는 것 같은... ,MYWATT의 IT블로그,https://blog.naver.com/padamu1,20210503
차세대 <b>게임</b>기로 <b>콘솔</b> <b>게임</b> '부흥' 올까,https://blog.naver.com/tech-plus?Redirect=Log&logNo=222089199231,지난주 마이크로소프트(MS)가 차세대 <b>콘솔</b> <b>게임</b>기 '엑스박스 시리즈 에스(Xbox Series S)' 정보를 공개했다. 하이엔드급 <b>콘솔</b> <b>게임</b>기 시리즈인 '엑스박스 시리즈 엑스(Xbox Series X)'와 함께 오는 11월 10일 출시될... ,테크플러스,https://blog.naver.com/tech-plus,20200914
"<b>콘솔</b><b>게임</b>순위 2020년 7월 27일~2일, 페어리테일 출시!",https://blog.naver.com/114632?Redirect=Log&logNo=222056597025,"끝으로 베리드 스타즈가 <b>콘솔</b>시장에서 큰 흥행을 하였는데, 이를 시작으로 한국 <b>콘솔</b><b>게임</b>도 많이 나왔으면 좋겠네요! 정말 좋은 소식으로 8월 1주차 <b>콘솔</b><b>게임</b>순위를 마치도록 하겠으며, 다음에도 더욱... ",소냉순,https://blog.naver.com/114632,20200810
[<b>게임</b>] 나의 기억 - 나의 <b>콘솔</b> 역사,https://blog.naver.com/barrior?Redirect=Log&logNo=222190061942,"그렇게 부모님이 사오신 현대 컴보이로 인생 처음 <b>콘솔</b><b>게임</b>, 아니 <b>게임</b> 자체를 처음 접했었다. 나의 첫 <b>콘솔</b> 현대 컴보이 94년까지 후우욱!! 후우욱!! 세상의 모든 먼지를 날려버릴 듯한 기세로 팩의 칩... ",유람하는 달,https://blog.naver.com/barrior,20201230
"스칼렛 스트링스 솔직한 플레이 후기, 엑스박스 <b>콘솔</b> <b>게임</b> 추천!",https://blog.naver.com/jjang986?Redirect=Log&logNo=222424728204,"개인적으로 카툰렌더링 그래픽을 선호하는 편인데, 그동안 출시되었던 엑스박스 <b>콘솔</b> <b>게임</b>들 중에서 독보적이라고 생각이 들었어요. 스칼렛 스트링스의 스토리보다 더 큰 특징으로 이야기하고 싶은 건 역시... ",주리오의 겜잇이야기,https://blog.naver.com/jjang986,20210708
5G스마트폰 노트20으로 <b>콘솔</b><b>게임</b>을? 엑스박스컨트롤러 써보니~,https://blog.naver.com/dicagallery?Redirect=Log&logNo=222059774575,"매월 100여가지 <b>게임</b>을 16,700원 정도에 이용할 수 있는 클라우드 <b>게임</b> 서비스인 XBOX GAME PASS 를 통해서 <b>콘솔</b><b>게임</b>을 폰으로 즐길 수 있었다. 기존에도 이런 액세서리들은 많았지만 헤일로나 기어스 같은 완성도... ",함영민의 디카갤러리,https://blog.naver.com/dicagallery,20200813
<b>콘솔</b><b>게임</b>추천 PS5 타이틀로 돌아온 저지아이즈 리마스터,https://blog.naver.com/meniereman?Redirect=Log&logNo=222341426803,연간 작품 우수상을 수상하며 명작 타이틀로 <b>콘솔</b><b>게임</b>추천을 받은 명작이 다시 돌아온 것이죠. PS5 &amp; 엑스박스 시리즈엑스 플랫폼으로 발매된 이번 리마스터 버전에서는 최신 <b>콘솔</b> 하드웨어 성능에 걸맞은... ,매니에르의 게임 블로그,https://blog.naver.com/meniereman,20210507
"48형 LG 올레드 TV 48CX <b>콘솔</b> <b>게임</b>, PC 모니터로 인기 만점!... ",https://blog.naver.com/soary81?Redirect=Log&logNo=222280905612,게이머라면 새로운 <b>콘솔</b> <b>게임</b>기가 출시되거나 고사양 컴퓨터로 업그레이드를 하고 나면 늘 거기에 걸맞은 디스플레이와 오디오 장치에 욕심이 생기는 건 당연하다고 봐요. 저 역시 <b>콘솔</b> <b>게임</b> 기기를 지표... ,소라윙즈의 소소한 IT/게임 리뷰,https://blog.naver.com/soary81,20210319
차세대 <b>콘솔</b> <b>게임</b>의 제작비용이 올라가는 이유.,https://blog.naver.com/blue9954?Redirect=Log&logNo=222042403934,"<b>콘솔</b> <b>게임</b>가격은 첫 CD<b>게임</b>기였던 플레이스테이션 1, 세가새턴이 제시한 6~7만원선에서 20년 넘게 유지되어왔습니다. 그러나 많은 게이머분들이 다음 차세대기 <b>게임</b>의 가격은 지금보다 비싸질것이라는... ",환상정원,https://blog.naver.com/blue9954,20200726
PS4 독점 <b>콘솔</b><b>게임</b> 갓오브워,https://blog.naver.com/kimcoco1?Redirect=Log&logNo=221812217128,그런데 4 라는 말을 잘 안 붙히고 새롭게 시작된 <b>콘솔</b><b>게임</b>이라는 뜻으로 그냥 God of war 합니다. 우리말로 해석하면 신들의전쟝이라는 뜻이죠. 그렇다고 신이 막 나오는건 아닌데 (나오긴 나오죠) 이번 작품은... ,재빈짱의 초보사진사,https://blog.naver.com/kimcoco1,20200217
[<b>콘솔</b><b>게임</b>리뷰] 젤다무쌍 대재앙의 시대,https://blog.naver.com/zzminuda?Redirect=Log&logNo=222212326484,<b>콘솔</b><b>게임</b> 리뷰는 이걸로 두 번째네요. '젤다무쌍 대재앙의 시대'는 무쌍 시리즈에 속하는 무쌍류 <b>게임</b>이며 다수의 적을 상대하는 액션 <b>게임</b>입니다. 하지만 얼마 전 너무 재미있게 즐겼던 '젤다의 전설 브레스... ,늘늘 블로그,https://blog.naver.com/zzminuda,20210119
"엘든 링 발매일과 <b>게임</b> 관련 정보, 다크 판타지류 <b>콘솔</b> <b>게임</b>... ",https://blog.naver.com/dbsgns2011?Redirect=Log&logNo=222396955124,기본적으로는 <b>콘솔</b> <b>게임</b>과 pc 형태로 출시되고 있으며 무엇보다 프롬에서 밀어붙이고 있는 대규모의 스케일을 거느리는 신작이기에 저 또한 역시 기대의 끈을 놓치지 않고 있습니다. 원작 얼음과 불의 노래을... ,청비대제(청룡비둘기)의 휴식공간,https://blog.naver.com/dbsgns2011,20210613
"<b>콘솔</b><b>게임</b> 수납 거치대 HHC-P5028 리뷰, 닌텐도부터 플스까지... ",https://blog.naver.com/kkodug9?Redirect=Log&logNo=222387749704,"내가 고른 건 HHC-P5028이라는 제품으로 닌텐도 스위치, 플스4, 엑스박스까지 <b>콘솔</b><b>게임</b> 타이틀을 모두 수납할 수 있다. 그리고 좌우를 보면 조이스틱까지 거치할 수 있는 거치대가 마련되어 있어 꽤나 실용적이다.... ",영원한도시 블로그,https://blog.naver.com/kkodug9,20210607
모바일 <b>게임</b>에서 <b>콘솔</b>과 PC 등으로 플랫폼을 확장해야 하는... ,https://blog.naver.com/moyeu119?Redirect=Log&logNo=222428926022,모바일 <b>게임</b>에서 <b>콘솔</b>과 PC 등으로 플랫폼을 확장하는 것은 선택이 아닌 필수로 수익 증대를 돕는 베스트 파트너가 되어주리라 믿는다. 엑솔라 홈페이지 바로가기 본 포스팅은 엑솔라로부터 소정의 원고료를... ,놀던청년,https://blog.naver.com/moyeu119,20210712
