title,link,description,bloggername,bloggerlink,postdate
[리뷰] 국립<b>현대무용</b>단 &lt;그 후 1년&gt; 오픈리허설_김보라 안무 '점.',https://blog.naver.com/kncdc3472?Redirect=Log&logNo=222358567885,국립<b>현대무용</b>단 SNS나 블로그에 수시로 <b>참여</b> 정보가 업데이트되니 관심 있으신 분은 꼭 확인 부탁드려요! '점.' 오픈리허설은 실제 <b>무용</b>수들의 연습실에서 진행되었는데요. 연습실 벽에 기역(ㄱ)자 모양으로... ,Korea National Contemporary Dance Company,https://blog.naver.com/kncdc3472,20210520
젊은그들_<b>현대무용</b> 그룹 아나키스트 리더 김학용,https://blog.naver.com/cu1985?Redirect=Log&logNo=222363079713,"그는 2017년 배수화, 김현아, 이재진, 이재형 등 <b>현대무용</b>, 한국<b>무용</b>, 힙합, 탭댄스 등 다양한 장르의... 또 점차 여러 문화기관의 기획 공연에 <b>참여</b>하며 기반을 닦아나가고 있다. ‘<b>무용</b>은 어렵고 난해한 것’... ",월간 대구문화,https://blog.naver.com/cu1985,20210523
대망의 <b>현대무용</b>협회 콩쿠르,https://blog.naver.com/mvholic?Redirect=Log&logNo=222412350560,#PD #아빠 #예능 #육아 #<b>무용</b> #<b>현대무용</b> #콩쿠르 #<b>무용</b>콩쿠르 #<b>현대무용</b>협회 #한국<b>무용</b>협회 #CODAKO #한국<b>현대무용</b>콩쿠르 #강동아트센터 이번 주말도 어김없이 <b>무용</b> 콩쿠르가 열려 <b>참여</b>하게 되었습니다. 딸아이가... ,PD아빠의 예능육아,https://blog.naver.com/mvholic,20210628
앉아서 말하는 <b>현대무용</b> #4 안무가편 - 이가영,https://blog.naver.com/sidance_fest?Redirect=Log&logNo=222045039858,앉아서 말하는 <b>현대무용</b>의 마지막 순서! 안무가편 Part 2.에 <b>참여</b>해주신 모므로움직임연구소 이가영... &lt;앉아서 말하는 <b>현대무용</b>&gt;을 통해 <b>무용</b>을 처음 접하시는 분들에게 가볍고 신선한 내용으로... ,서울세계무용축제 SIDance,https://blog.naver.com/sidance_fest,20200729
[<b>현대무용</b>]1년간의 변화 5가지,https://blog.naver.com/jininus?Redirect=Log&logNo=222380745479,"ㅋㅋㅋ 그러던 중 평소 하고 싶었던 <b>현대무용</b>이 떠올랐다. #원데이클래스, #<b>무용</b>학원, #숨고 등등을... 위치도 집 앞 역과 이어지는 라인이고 30분 내외라 바로 <b>참여</b>하겠다 말씀드렸다. 이렇게 시작하게 된... ",이제는 과거가 되어버린 이야기,https://blog.naver.com/jininus,20210602
몸의 움직임으로 코어 힘을 길러보세요! &lt;춤추는 <b>현대무용</b>&gt;,https://blog.naver.com/bsccorkr?Redirect=Log&logNo=222285891817,"위한 <b>무용</b> 수업이 시작됩니다. ‘춤추는 <b>현대무용</b>’ 강좌에서는 몸의 원리와 신체능력, 창의성, 협동성 등을 증진시킬 수 있는 흥미로운 프로그램으로 구성되어져 있어 누구나 <b>참여</b> 가능하며, 이를... ",(재)부산문화회관 공식블로그,https://blog.naver.com/bsccorkr,20210324
"40주년 맞이한 국내 최장수 <b>현대무용</b>축제 MODAFE, 5월 개막",https://blog.naver.com/koreatheatre?Redirect=Log&logNo=222326299564,"▲ 국립<b>현대무용</b>단 &lt;빨래&gt; ⓒ 고흥균_국립<b>현대무용</b>단 이 중 대한민국 <b>현대무용</b>의 시작과 전설이 된 안무가들을 만날 수 있는 [MODAFE Museum 'Legend Stage'], 대한민국 <b>무용</b>의 지표라 할 수 있는 국가... ",연긍정의 일 + 공부 로그,https://blog.naver.com/koreatheatre,20210428
사슴이 아니라 원숭이라고? &lt;국립<b>현대무용</b>단 어린이 <b>무용</b> '루돌프'&gt;,https://blog.naver.com/mcstkorea?Redirect=Log&logNo=221732524694,Previous image Next image [▲(좌) 자유소극장 좌석 안내도 Ⓒ문정 / (우) 자유소극장 내부 좌석 Ⓒ국립<b>현대무용</b>단(정민선)] &lt;루돌프&gt; 공연 중에는 다양한 관객 <b>참여</b> 활동도 이루어진다. 어린이들은 <b>무용</b>수를 따라... ,도란도란 문화놀이터,https://blog.naver.com/mcstkorea,20191210
정철인T 와 함께 하는 <b>현대무용</b> 레파토리 워크샵!,https://blog.naver.com/tanz_station?Redirect=Log&logNo=222054863861,쿠폰으로 <b>현대무용</b> 워크숍을 <b>참여</b>할 수 있는 특별한 기회. 8월의 마지막을 <b>현대무용</b> 워크숍과 함께 마무리 해보시길 바랍니다. 요코하마 댄스컬렉션 초청공연과 국립<b>현대무용</b>단 활동 등 다양한 작품... ,Seoul Tanz Station,https://blog.naver.com/tanz_station,20200808
"공연 빅데이터로 본 대세 공연, &lt;무인도 탈출기&gt;&lt;국립<b>현대무용</b>단... ",https://blog.naver.com/gokams_kopis?Redirect=Log&logNo=222414974723,&quot;_ 박보라 공연칼럼니스트 <b>무용</b> 2위: &lt;국립<b>현대무용</b>단 - 힙합 HIP合&gt; 2021.08.20~08.22 예술의전당 CJ토월극장... 김보람·김설진·이경은이 <b>참여</b>합니다. 지금 가장 힙(hip)한 안무가들이 보여줄 합(合)은 어떤... ,KOPIS 공식블로그,https://blog.naver.com/gokams_kopis,20210630
초등학교 4~7일차 <b>현대무용</b> 출강 후기,https://blog.naver.com/sudeok7?Redirect=Log&logNo=222406144253,"ㅎㅎ 난 수업의 70%놀이로 하고, 30%는 <b>현대무용</b>의 뜻과 <b>무용</b>적 의미로서 수업을 지도하려 하는데, 그걸... 담임선생님이 중간에 수업에 들어오시더니 1시간 20분정도 거의 끝까지 다 <b>참여</b>를 하셨다. 나도 편하게... ",.,https://blog.naver.com/sudeok7,20210622
